Num,Setting,P,Q,R,F,Dist_ave,Dist_std
4,A,0.4437222678550153,0.5391468475328535,0.7017755673842666,0.5660138800603234,0.02946443795948021,0.013148079502973784
4,B,0.45093741134005133,0.5378386652717473,0.7422272875509728,0.5742806767160343,0.027256978130780214,0.0120364682317689
4,C,0.4196456112171955,0.5492298302155605,0.6749252372745996,0.5485962287580886,0.030101586918730376,0.013650327471183835
4,D,0.4797026269436604,0.5404811128337876,0.7438650848159148,0.5973558406422335,0.02796977231961253,0.012286885400754755
4,E,0.4440043346081609,0.5410133315576623,0.732839661133413,0.5703044819808204,0.027696653623729847,0.012100197049874552
5,A,0.5232524103590471,0.658606691345308,0.7326058014936595,0.6568039542975205,0.02558361745381702,0.009835461752475343
5,B,0.5614203100778894,0.6350307837826543,0.8310665969101599,0.6923205532654441,0.021188240755487007,0.008235151076170509
5,C,0.5293742156612781,0.6490972236539755,0.7602854375489653,0.6639680562570927,0.026072719315413696,0.01008745446097901
5,D,0.5701529423080675,0.6445903565824259,0.8118618713653517,0.6985790289225091,0.022432293139345725,0.008892745405461843
5,E,0.5381370809604717,0.639908052795004,0.7815639303951492,0.6711847227977649,0.02121718174962758,0.008197199226339418
6,A,0.5593105496950618,0.7478500420284674,0.7194187683867173,0.6927115508994687,0.019702597103039156,0.006767738293226116
6,B,0.5928163619184155,0.745349266722353,0.7767140114111168,0.7246416573135958,0.017539272288135864,0.006338370264529703
6,C,0.5862914309215205,0.7410040679207298,0.7694394589044055,0.720403697437585,0.020001192253899135,0.006978788427781965
6,D,0.6480690758265925,0.7456533912847183,0.8281408282373137,0.7688732638212044,0.018460509977168086,0.006605823070799379
6,E,0.6045367072984884,0.7430213980545941,0.7832154370363378,0.7341926178417889,0.019533369390486516,0.006618480119314768
7,A,0.6639957040017352,0.8050905713488771,0.8041431242691017,0.7845665895375569,0.01681617552114234,0.005225972596773875
7,B,0.6807802765880693,0.8118147856004353,0.8181722557374727,0.7982545279372124,0.016170739850242057,0.005096822682209309
7,C,0.6614291469890192,0.805159868102964,0.8061196233026455,0.7841223076476628,0.015329892707845884,0.004878238064799205
7,D,0.6968823195019953,0.8174567663109629,0.828448137258529,0.8100760559858354,0.01567942357856774,0.0049340472291751905
7,E,0.6804496952306537,0.8097156195281935,0.8188468396004078,0.7973034835887186,0.017087296962693618,0.005330303431593678
8,A,0.6730344022884378,0.8510523890893383,0.7802250293842735,0.7929352498487557,0.014948746633098049,0.004186491326743321
8,B,0.6984040151696675,0.8612007799673768,0.8007130891261784,0.8137316625614567,0.013960136270225063,0.004123213342992806
8,C,0.6704591713798593,0.8561113483335765,0.7759078237232757,0.7920805370887276,0.013814839241759826,0.003908628053634434
8,D,0.7241039103726755,0.8625155482400821,0.8234048579507156,0.8313201710637145,0.01398345904558489,0.004220340826097636
8,E,0.7077704518771395,0.8496294043385417,0.8210959155944763,0.8191329358716497,0.015772491531415894,0.004592492404879715
