Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],Sum_of_Width
1,0.3291829134657742,0.333611685911693,0.3291829134657742,0.3336116859116929,0.15818513406586904,0.236148502892576,0.10548560061067025,0.17459156367595027,0.15592687678382441
2,0.3438358270409711,0.3556976823063505,0.30641648199864024,0.34383584859269406,0.16329721085996302,0.2304111622330191,0.10329741654443528,0.1532083704239267,0.16630612711198076
3,0.4,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.2,0.2,0.0
4,0.271450476974857,0.41245787852177085,0.20705712144187666,0.2820140645572988,0.20705712144187657,0.28201406455729905,0.10311432143352181,0.23483495107149938,0.4226419174157361
5,0.30198106785040946,0.37609368334143517,0.259813544082171,0.3117852939194562,0.18804671855687705,0.27648027324883767,0.1299067720410855,0.1558926469597281,0.24050379493891413
6,0.2906780779375784,0.38774696548873766,0.20118307753634043,0.2906780779375784,0.1938734827443688,0.29194762111201633,0.14270961970703946,0.20118307753634043,0.3431114841493457
7,0.3396263489510837,0.4445340212592319,0.21502037861820245,0.29175943840761154,0.2150208677511894,0.23893387505776814,0.08529177641150257,0.16981329354341038,0.2900812565360439
8,0.3841351022913052,0.4104302001171137,0.19479840839189017,0.2777263743114363,0.19206760061514622,0.20521510005855684,0.1316548196818426,0.20397239453270896,0.19468813803963161
9,0.2889650961403692,0.42925232946205827,0.21462538696679653,0.3681875654883986,0.16949959133338743,0.3020069465468954,0.10597788736818302,0.12148519669391157,0.44186407638252767
10,0.3287698209451657,0.34894807132293365,0.24671889312112558,0.35612890292037447,0.1694736232473641,0.24671900529591195,0.11376764958565849,0.18947403356146608,0.2825400262013723
11,0.2779227788750638,0.3720708789956726,0.1847572186052297,0.2935478181119475,0.2779228039866694,0.2846087951637446,0.11772562355582245,0.19144408270585003,0.28334314995442944
12,0.2644337402713655,0.3376973820124664,0.3238084365392109,0.39289067342058376,0.1912906496124319,0.2670490116521683,0.10793611035172636,0.11489399614004697,0.2250621264505308
13,0.2861786019997894,0.3320507628198736,0.27254755514089923,0.29138695765455114,0.27254755514089923,0.29138695765455136,0.11068335492972116,0.14321825465971488,0.11608586557738197
14,0.31275775888068036,0.39644563900478225,0.19320912567608362,0.27418590295984296,0.2575190608121827,0.31275783080246855,0.1243650623284821,0.12875961953547752,0.22429798460514253
15,0.30198106785040946,0.37609368334143517,0.259813544082171,0.3117852939194562,0.18804671855687705,0.27648027324883767,0.1299067720410855,0.1558926469597281,0.24050379493891413
16,0.29452102776259026,0.41591901788177077,0.2021425929198589,0.2945210277625903,0.20795950894088536,0.2653080130102031,0.11748537911430601,0.20214343260779521,0.3557829825247189
17,0.2779227788750638,0.3720708789956726,0.1847572186052297,0.2935478181119475,0.2779228039866694,0.2846087951637446,0.11772562355582245,0.19144408270585003,0.28334314995442944
18,0.32274967317782643,0.4087676927530418,0.23464298060269473,0.3227496731778263,0.17009521180772447,0.23464298060269476,0.1362558975843473,0.17009589029384414,0.2725124736548141
19,0.3655115632408804,0.4130769826395633,0.20653849131978164,0.3366393859273162,0.15934101206281717,0.2295385837408076,0.10659815128248823,0.18275582978634544,0.32402156418806505
20,0.2779227788750638,0.3720708789956726,0.1847572186052297,0.2935478181119475,0.2779228039866694,0.2846087951637446,0.11772562355582245,0.19144408270585003,0.28334314995442944
21,0.37849387935798806,0.4291821494578292,0.2092719071524231,0.2430513888846152,0.2092719071524231,0.24305138888461514,0.09843033367392393,0.1892470454361822,0.2090639453264835
22,0.3713410415698654,0.41540297462352566,0.19254994894833108,0.32397335948357936,0.1856705694646554,0.20770148731176283,0.0991714970074307,0.20418912159084948,0.3025338860194347
23,0.30052272084027987,0.37914026328663475,0.2742172084177026,0.32775036606319397,0.1895700581270021,0.27429986910698373,0.10423815373806304,0.15026136042013996,0.2629037177539048
24,0.27792280398666935,0.2846087951637446,0.2779227788750638,0.3720708789956727,0.18475721860522962,0.2935478181119476,0.11772562355582251,0.19144408270585003,0.28334314995442966
25,0.2861786019997894,0.3320507628198736,0.27254755514089923,0.29138695765455114,0.27254755514089923,0.29138695765455136,0.11068335492972116,0.14321825465971488,0.11608586557738197
26,0.3127576639552691,0.3964457339301935,0.25751915573759393,0.3127577358770573,0.19320912567608364,0.27418590295984296,0.12436506232848213,0.12875961953547752,0.22429798460514247
27,0.32274967317782643,0.4087676927530418,0.23464298060269473,0.3227496731778263,0.17009521180772447,0.23464298060269476,0.1362558975843473,0.17009589029384414,0.2725124736548141
28,0.4259346240447058,0.4259346240447058,0.21296729242305099,0.29840595016395177,0.15355754195063526,0.22516244496830273,0.09324815482425594,0.16478936758039156,0.22858477351470388
29,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0
30,0.3438358270409711,0.3556976823063505,0.30641648199864024,0.34383584859269406,0.16329721085996302,0.2304111622330191,0.10329741654443528,0.1532083704239267,0.16630612711198076
31,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.28571428571428575,0.28571428571428575,0.14285714285714285,0.14285714285714285,0.0
32,0.27242773693358946,0.30602089092273166,0.2094002436666606,0.28379140461518737,0.27242773693358957,0.30602089092273166,0.14051041421136581,0.20940068179414395,0.2104677365095892
33,0.3841351022913052,0.4104302001171137,0.19479840839189017,0.2777263743114363,0.19206760061514622,0.20521510005855684,0.1316548196818426,0.20397239453270896,0.19468813803963161
34,0.301981067850409,0.3760936833414354,0.18804671855687718,0.2764802732488379,0.2598135440821711,0.31178529391945586,0.12990677204108558,0.15589264695972796,0.24050379493891422
35,0.25981354408217106,0.31178529391945636,0.30198106785040957,0.37609368334143484,0.18804671855687688,0.27648027324883767,0.1299067720410855,0.15589264695972815,0.24050379493891402
36,0.25981354408217106,0.31178529391945636,0.30198106785040957,0.37609368334143484,0.18804671855687688,0.27648027324883767,0.1299067720410855,0.15589264695972815,0.24050379493891402
37,0.3287698209451657,0.34894807132293365,0.24671889312112558,0.35612890292037447,0.1694736232473641,0.24671900529591195,0.11376764958565849,0.18947403356146608,0.2825400262013723
38,0.268894320625768,0.3977277336148067,0.19673214573975167,0.3611148296265271,0.16425290158017405,0.2689383868290529,0.15759549993837102,0.1847441820455486,0.42505026423187053
39,0.30198106785040946,0.37609368334143517,0.259813544082171,0.3117852939194562,0.18804671855687705,0.27648027324883767,0.1299067720410855,0.1558926469597281,0.24050379493891413
40,0.4114980003948806,0.46185318437202416,0.23054878227785625,0.2856003650119518,0.11915263008184684,0.2063717072892772,0.1360216599889108,0.14895367058325237,0.20555785451301103
41,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0
42,0.32274967317782643,0.4087676927530418,0.23464298060269473,0.3227496731778263,0.17009521180772447,0.23464298060269476,0.1362558975843473,0.17009589029384414,0.2725124736548141
43,0.4114980003948806,0.46185318437202416,0.23054878227785625,0.2856003650119518,0.11915263008184684,0.2063717072892772,0.1360216599889108,0.14895367058325237,0.20555785451301103
44,0.32274967317782643,0.4087676927530418,0.23464298060269473,0.3227496731778263,0.17009521180772447,0.23464298060269476,0.1362558975843473,0.17009589029384414,0.2725124736548141
45,0.3841351022913052,0.4104302001171137,0.19479840839189017,0.2777263743114363,0.19206760061514622,0.20521510005855684,0.1316548196818426,0.20397239453270896,0.19468813803963161
46,0.3150938659842063,0.42244504367989244,0.2311470613239624,0.3332757298566947,0.15754694760249188,0.17474627754454158,0.13341036332260217,0.23233471068560863,0.32560352353347455
47,0.2742172084177027,0.32775036606319397,0.30052272084027987,0.37914026328663464,0.18957005812700206,0.27429986910698384,0.10423815373806301,0.15026136042013993,0.26290371775390475
48,0.2489879769563756,0.3404634688430123,0.2337730863867143,0.26214590805055654,0.2337730863867143,0.2621459080505567,0.1702315494017686,0.24847901592430183,0.22646860173685462
49,0.2889650961403692,0.42925232946205827,0.21462538696679653,0.3681875654883986,0.16949959133338743,0.3020069465468954,0.10597788736818302,0.12148519669391157,0.44186407638252767
50,0.30198106785040946,0.37609368334143517,0.259813544082171,0.3117852939194562,0.18804671855687705,0.27648027324883767,0.1299067720410855,0.1558926469597281,0.24050379493891413
51,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0
52,0.30052272084027987,0.37914026328663475,0.2742172084177026,0.32775036606319397,0.1895700581270021,0.27429986910698373,0.10423815373806304,0.15026136042013996,0.2629037177539048
53,0.301981067850409,0.3760936833414354,0.18804671855687718,0.2764802732488379,0.2598135440821711,0.31178529391945586,0.12990677204108558,0.15589264695972796,0.24050379493891422
54,0.32274967317782643,0.4087676927530418,0.23464298060269473,0.3227496731778263,0.17009521180772447,0.23464298060269476,0.1362558975843473,0.17009589029384414,0.2725124736548141
55,0.30052272084027987,0.37914026328663475,0.2742172084177026,0.32775036606319397,0.1895700581270021,0.27429986910698373,0.10423815373806304,0.15026136042013996,0.2629037177539048
56,0.3532453891973172,0.43916129824830896,0.21958056725415392,0.31918657777756954,0.1499778569361161,0.18443522682520902,0.14997785693611612,0.18443522682520902,0.2544366593525932
57,0.38413510229130526,0.4104302001171137,0.1920676006151462,0.20521510005855687,0.19479840839189022,0.2777263743114362,0.13165481968184253,0.203972394532709,0.19468813803963153
