Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],Sum_of_Width
1,0.2912068252720592,0.3537067631513577,0.29120682527205916,0.35370676315135774,0.13698301252881412,0.2992241475313576,0.11836213235931894,0.15560353073367555,0.3244824091354972
2,0.26689110401351146,0.4139494544833795,0.18080599787693216,0.29047595273170757,0.13344542421185157,0.4156145671703033,0.07389360420597474,0.2249238953063397,0.6899277393834601
3,0.27455339179449434,0.3415181330777718,0.20758934991487535,0.2745536417941193,0.16294653528888586,0.28794620642048374,0.16294653528888586,0.28794620642048374,0.38392837542571717
4,0.2298765198791385,0.2923772375860155,0.21851336456949744,0.3245736574483906,0.21851336456949738,0.32457365744839073,0.058475447517203086,0.33309675098186664,0.549242606929327
5,0.29770434711167226,0.3310398262040247,0.26398396999018797,0.302015183217942,0.16551991310201236,0.3279651060262479,0.11034653520521123,0.20142511914270148,0.3248904691818323
6,0.2481524990859189,0.29987732641595155,0.1951970732377774,0.2838667796983355,0.14993866320797578,0.41533225949997277,0.1413179181767059,0.26631748067736216,0.530787692583244
7,0.38526175053480577,0.4031187842431112,0.1847361592810192,0.3125627270995348,0.19263106719216105,0.29849487172632244,0.09168759319982041,0.13150704672322516,0.29136685958438724
8,0.3918019851438537,0.4372562982639414,0.19590088836473735,0.2604844094873726,0.17030582944676054,0.2214960494474325,0.11409654375382645,0.20865799609207553,0.255789506581644
9,0.2610604621845325,0.3149070408340105,0.15745352041700522,0.45418881836579283,0.19448572676321366,0.3402728114948087,0.0671883390863251,0.21044328085431152,0.639623903097847
10,0.2679994164641656,0.35258573347205685,0.24115720547870328,0.3337889933036052,0.15907492050770472,0.27376600197819784,0.10249101254162744,0.2691367162539391,0.4585548900155979
11,0.27090742765787446,0.30424112809415976,0.15290208117467716,0.28653258886267136,0.2709075615862737,0.40900312613840994,0.08355653872979928,0.2219495477561344,0.4434527817027508
12,0.28681605691163314,0.3095433328067296,0.28681605691163314,0.3095433328067295,0.2690937630635781,0.29171815797483797,0.0891952103483529,0.15727408917650587,0.13615782552960567
13,0.2926846006326644,0.32459949834703766,0.22984842836318292,0.3001474244531504,0.2926847271080064,0.3366562311424446,0.0811498489457321,0.1422292410077816,0.20726478990082842
14,0.279899354866194,0.3193745929206732,0.15968729646033658,0.3578604766025724,0.2525700032649194,0.33103954425390314,0.09651256311921103,0.20305616851219016,0.42266156457867793
15,0.27009687056885084,0.3034324710699612,0.2602945991682139,0.34240091695068764,0.15171623553498056,0.33946123067882833,0.13014729958410692,0.20245037644437058,0.37548999028769553
16,0.29691827178047764,0.3683477192187329,0.17549030421270373,0.2969184698194241,0.18417369710946704,0.3390759038266944,0.0670870698047436,0.2719885642277566,0.5526613141852159
17,0.27090742765787446,0.30424112809415976,0.15290208117467716,0.28653258886267136,0.2709075615862737,0.40900312613840994,0.08355653872979928,0.2219495477561344,0.4434527817027508
18,0.28388477160225417,0.35259905943877967,0.2401021041231002,0.2881956077085239,0.17300989848577414,0.27271092863493757,0.10827384697347797,0.2812237830331524,0.3894587576307871
19,0.25946293807536713,0.31501914238872764,0.1575095711943638,0.47252676852363584,0.1575090134998562,0.34004860344906945,0.11050027989739131,0.1874236829715889,0.6300363946660434
20,0.26691704929615234,0.3383457370874401,0.15977464175948275,0.3026313197939979,0.2669172723536109,0.345864924708279,0.08458643427186001,0.23496262072917704,0.443609204637788
21,0.30942262126567166,0.36781921732990486,0.176662976653539,0.3592034605531299,0.17666346578652592,0.35920280475378197,0.09631398826287693,0.15471146539456998,0.4818738960627732
22,0.2679994164641656,0.35258573347205685,0.24115720547870328,0.3337889933036052,0.15907492050770472,0.27376600197819784,0.10249101254162744,0.2691367162539391,0.4585548900155979
23,0.21187523421477844,0.3113843867680801,0.2659298457921034,0.41998333655942194,0.15569219338404006,0.38562661053056896,0.08005735254599311,0.16945104020501403,0.57289074812617
24,0.29060707609580777,0.36203552052752874,0.24606147836064418,0.2951526989647357,0.16708922954788774,0.2786702748601387,0.083232696349135,0.2771510252941221,0.42601903929305057
25,0.28192768268481594,0.3107741708934829,0.28192783433353064,0.32140134952925714,0.2679896765521671,0.3056696734176152,0.062154834178696584,0.16815477841043447,0.21199994450157947
26,0.290054289828291,0.3456101066370165,0.24459990339035895,0.2900544667511876,0.17280505331850826,0.3789432297141866,0.08640245847738637,0.1915304918830647,0.4122765899709109
27,0.28388477160225417,0.35259905943877967,0.2401021041231002,0.2881956077085239,0.17300989848577414,0.27271092863493757,0.10827384697347797,0.2812237830331524,0.3894587576307871
28,0.36953134103527085,0.4283547831946776,0.18476563843399008,0.3007503043653073,0.15941269823638304,0.26275003254749935,0.08709221826024771,0.20734298392662395,0.3983962080682165
29,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666669,0.16666666666666669,0.0
30,0.3223805342786312,0.3848805841370222,0.2897988646576373,0.3311525658858897,0.16119030560080475,0.26215150908517915,0.08431535287949365,0.16413028347534214,0.28462988516686627
31,0.09933086433799163,0.2996276053592526,0.2840025780828549,0.3840032439956084,0.2840025780828549,0.38400324399560837,0.09903262180823771,0.16599726433759165,0.46726271537612196
32,0.26919631118556153,0.3160714365574723,0.1660714977669549,0.28482148435084453,0.2691964702255664,0.3562498240737022,0.10535711774137962,0.23303585809851843,0.38035720616107493
33,0.3918019851438537,0.4372562982639414,0.19590088836473735,0.2604844094873726,0.17030582944676054,0.2214960494474325,0.11409654375382645,0.20865799609207553,0.255789506581644
34,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0
35,0.23711650188857766,0.3772712678335729,0.30074742915967706,0.39667919733458046,0.1830779455862441,0.3133298231941344,0.08775977296825353,0.10401806203495989,0.38259670079449526
