Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],Sum_of_Width
1,0.2783842513741959,0.3868435754033454,0.1975759746305563,0.2783842513741959,0.1931377272551968,0.2828224987495554,0.12822120093146375,0.16133602872925876,0.02664913500902203,0.06664535654320972,0.35206342159913045
2,0.28034166321759735,0.4228998262682665,0.14748518272546804,0.28034186321759735,0.14681276363251028,0.1774195069360444,0.14096660875608882,0.15801047329740733,0.09890934831650978,0.14681276363251028,0.3709688667036516
3,0.25381140219098475,0.37323312493896965,0.18661656246948483,0.2885943263857905,0.1813025177783528,0.26733814762126246,0.11985433205961876,0.17613812148498492,0.026205763975059013,0.12690570109549237,0.46441884305299974
4,0.27158458603511926,0.31096439566164635,0.26330588049368064,0.31924310120308497,0.15548219783082318,0.28600737334995197,0.08969781066071945,0.14412032902382738,0.05018256016282711,0.10941176557831966,0.33949392963366065
5,0.4219029485537701,0.4565600358237202,0.14163789973698476,0.21095147427688504,0.1733304764521779,0.2316883574669887,0.07306833989940949,0.17333067645217787,0.038614726244498125,0.07891506509338794,0.3028912182263194
6,0.3271949840105647,0.4645020370064483,0.11692928917166812,0.32719498401056474,0.1359091626126942,0.2833830171615772,0.040859283811730686,0.15245703428440657,0.04707108077675276,0.10449912715359266,0.6640723992331792
7,0.26127504325109074,0.26883430259174457,0.26127504325109074,0.26883430259174457,0.20021194638092943,0.26127504325109074,0.08961143419724818,0.20776790095967843,0.05027746189983736,0.13063752162554537,0.27469814203960724
8,0.2522933662083321,0.3710781878360516,0.1855390939180258,0.3267949722967002,0.13793291458601076,0.3284356158846511,0.052644205173830456,0.13697426951803007,0.06568712317693022,0.14262025140143741,0.611806593873741
9,0.29902874329907037,0.4020598217376853,0.16424291546769454,0.30431214319872896,0.17543453955920732,0.1796637928122675,0.12793808544761726,0.19950083069826524,0.04987520767456631,0.09794392010489757,0.3669610171036888
10,0.2684008683327024,0.3693643511198582,0.24171917642517413,0.2702414718745307,0.16306375702854162,0.24790833334734355,0.1209197204113996,0.16627866396180196,0.060923445843659094,0.091180211654989,0.2899460639170466
11,0.3257748336236198,0.35022896190631825,0.21688150895592628,0.3257748336236198,0.1628872168118099,0.2163357515561774,0.1468073120800323,0.16486691194488376,0.018148905472806794,0.07229376402480578,0.2590004461116099
12,0.3313758847012803,0.3650040703970323,0.18914894638101235,0.3313760847012803,0.10992475797374676,0.19713012743208844,0.12166802346567746,0.20357176661869714,0.04087558035543823,0.10992475797374676,0.4140136142456899
13,0.31224922362542396,0.32855189289228337,0.31224922362542396,0.32855189289228337,0.11062590061904735,0.15612461181271198,0.11062590061904735,0.15612461181271198,0.06571037857845667,0.11918636352261007,0.17707874586520148
14,0.28395265192574937,0.3614340491519651,0.16035714434009368,0.301407062959271,0.24647513339554072,0.28395265192574937,0.07850485498412231,0.1603573443400937,0.033489673662141214,0.09006943331527362,0.39444108338470546
15,0.2501220481778323,0.2913537429133349,0.2363034370024299,0.3051723540887373,0.23129821175022958,0.2501222481778323,0.08544185735787285,0.2363034370024299,0.03046339878000524,0.08341926474929569,0.3327420938632602
16,0.26497633967929446,0.3751162108114361,0.16911707635849474,0.2781969564480941,0.18139986905850225,0.30369957238084466,0.06832097016678244,0.09337874662642547,0.09120302758060589,0.1745912308895199,0.4499654343126404
17,0.2386077722599393,0.3627859251117764,0.24219037922530479,0.3509619329773737,0.06599553991106398,0.2386077722599393,0.11009419850046576,0.26052531447039345,0.050137418996767665,0.08009374628697581,0.5859493822129171
18,0.26832312024068095,0.2998427393520475,0.28334222351395805,0.3026130832726966,0.14336085053632186,0.2872283524188378,0.13972770230492762,0.1611797097703774,0.021054525713381553,0.09332769287677069,0.28838315538146
19,0.18042783937835194,0.2551326203765962,0.25155601955101947,0.37171753131030116,0.15486710619081748,0.2563400842776947,0.07323401693329856,0.19174538252431084,0.08544669475923158,0.17953270469837782,0.5089366463745617
20,0.266385478903307,0.4558995310733279,0.1730269658504561,0.266385478903307,0.19109268503476318,0.2140930066762094,0.09206180784011259,0.19109288503476318,0.05352325166905235,0.09643890901470124,0.44781962140461756
21,0.2628437770610792,0.26284577706107914,0.21721050454522578,0.30847904957693256,0.1542395247884663,0.3420574180764488,0.1025202520234379,0.24430544124881348,0.039130612525162714,0.06636764309335405,0.4481106581132561
22,0.2749598269483814,0.3674823945148191,0.22885773526533768,0.28685733693274396,0.134455159658754,0.2795307628208242,0.09561911231091468,0.15623511060055081,0.03626044129587043,0.139742119651804,0.45969544904148396
23,0.2648566686648798,0.36639462988594496,0.1780204924974862,0.30037853292485706,0.18869218076792504,0.2785690857030542,0.09097101177643017,0.19329396738630172,0.048846108559974746,0.08997732183314626,0.45722707546660823
24,0.28864874669629303,0.3345647998034311,0.32031763608673935,0.32604037220786375,0.16302018610393187,0.20821500432965334,0.06393020103974395,0.14432437334814652,0.06625732016634298,0.08468136021785388,0.19565181981389743
25,0.28189625679057684,0.4287562014701298,0.16864996986028863,0.28929022097178375,0.20708511040900385,0.2252505046755599,0.08483521732242374,0.17818235462549117,0.043768375766273696,0.09228578810846812,0.427530139702866
26,0.25564047710392623,0.3302580552348977,0.2749585418633314,0.2853669841622167,0.14968879935445684,0.2749585418633314,0.11008601841163257,0.21858985238661383,0.04315871205570755,0.05729401756388604,0.33293490242189105
27,0.3102296161978217,0.37143734694832836,0.18571867347416418,0.3308882809675622,0.1643771183360615,0.19664183117381062,0.0926562751253006,0.10986717786835283,0.07820295120844094,0.15998072870015723,0.3376307313164223
28,0.3031746796260758,0.41992754919436714,0.14864156378965104,0.3031746796260758,0.1909045535701306,0.2024243316417692,0.12460550245363583,0.1911358779984611,0.04169014687167495,0.07432111522815886,0.38196710737766393
29,0.27851953933070894,0.3270546538990575,0.20760003430424542,0.27851953933070894,0.15843242749575123,0.28407351957929816,0.12076974978741481,0.15843262749575124,0.056814703915859646,0.12978320486120415,0.35572709033204
30,0.3924140507815466,0.4018207782353724,0.1849883025338139,0.23564793060920988,0.17360882450326584,0.23196547840513917,0.07633346988985143,0.17360882450326584,0.03333846505546155,0.09627387548307355,0.27863377447212145
31,0.2010863056567576,0.44192594297784343,0.2506050168262057,0.29613736724782963,0.14806868362391482,0.21264676684634595,0.07228488638026,0.2010863056567576,0.04444581984206934,0.13171290494201632,0.5670185753415855
32,0.26951662186185127,0.40885055930827635,0.20442527965413818,0.24313015132720814,0.20442527965413818,0.24313015132720814,0.1081574171908853,0.14291109192633922,0.04069513681902973,0.13475831093092563,0.34556052963991485
33,0.24914617972788355,0.3403049333303658,0.19956211297413662,0.2736147941035488,0.1701524666651829,0.3429945318432035,0.1331602149472477,0.13860855244411333,0.05127474982212009,0.10118146414219785,0.3934085517268584
34,0.3127548037235351,0.35569504945010905,0.24572714347921476,0.3661887409490079,0.09754374407803841,0.24572734347921477,0.07009705592393764,0.15637740186176755,0.040687637883223104,0.10920107917195176,0.466379229824102
35,0.30881134355193807,0.4437546318335064,0.10455829984462814,0.30881134355193807,0.15525336201959894,0.20460581388879973,0.1013339895782103,0.18383518949273334,0.024794582404818244,0.16424144383382883,0.6104968452016126
36,0.4137516884500624,0.42684729046486447,0.15427030772387149,0.250979309447146,0.18068564019542688,0.2068758442250312,0.04932928908291946,0.1559278519508362,0.05019586188942919,0.11113691657041254,0.30353442531658104
37,0.27018064980917045,0.3048994792594828,0.2776169910874668,0.29746313798118645,0.1479243778102199,0.287904861539928,0.13465589080267348,0.15288417373165314,0.02964133617254252,0.09682910180567633,0.2799615086358536
38,0.27534845774695044,0.400299214420025,0.15095640328774856,0.27534845774695044,0.1199689110031584,0.25115102590647476,0.12557551295323738,0.1975031571738658,0.06887366366897424,0.1349751960926151,0.518554102679862
39,0.23002096177337297,0.28443764147071776,0.24958454221029389,0.28098191757137914,0.16339276041885445,0.24958454221029389,0.1422188207353589,0.2707584818937894,0.03903049984391736,0.08998983187202235,0.351504830036405
