Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],Sum_of_Width
1,0.2802758257571819,0.3624643631695416,0.1963879383453789,0.2950912589287454,0.16901840783323469,0.29605674945438964,0.1317404359631547,0.14013797281050408,0.019382812080352037,0.10944423565751689,0.40638916004139536
2,0.24866781337489968,0.43173522233755446,0.14193758044458837,0.2486678133748997,0.13958161289052834,0.197041993326656,0.14107472649643146,0.1551094899475406,0.07442525854749582,0.2217584892594057,0.5086260164921127
3,0.2675569944387246,0.39638111368433393,0.18528694362137318,0.26685996457968275,0.18528694362137318,0.26643724055618057,0.09853472324569634,0.1624372910733646,0.027917496927506107,0.1433012882517648,0.47083379629065325
4,0.2650339511706056,0.29703619722053415,0.2543744144227413,0.30769573396839855,0.12419332271490488,0.31037427618287294,0.11509680978607159,0.13912702949805883,0.03912067131762515,0.14794759371818728,0.4043616611761033
5,0.4058626707232321,0.41798382621385793,0.15817950210618145,0.2038323871162974,0.17855999743661716,0.2142307722935599,0.08034725123807647,0.21135861477897536,0.025768094182838697,0.10387688391036369,0.3025649686261084
6,0.29044934127463007,0.4903510285031468,0.14870556281629685,0.29044934127463007,0.16493311581546638,0.27080577886155327,0.04623374160316981,0.164933123582458,0.04067148306230913,0.09246748320633963,0.6180135108562556
7,0.24167333742986624,0.2830526309383282,0.2416733374298663,0.2830526309383282,0.18171639386099275,0.2703804429554087,0.06251289855732356,0.23688877983011558,0.046779019277496905,0.1522705287822734,0.45129002688890835
8,0.23910935402677422,0.29625234541343876,0.14812611556373984,0.37971627813597375,0.12669750869928048,0.37040816528304804,0.051566652431426295,0.19366489608093168,0.06693866775025539,0.12752001661513165,0.7351234030570477
9,0.2944764463582927,0.41049201342954483,0.1649286884026628,0.2944764463582927,0.15882108630544442,0.18195029802865553,0.10792861757202235,0.22498468440580366,0.056246171101450915,0.10569554803783018,0.4351979805202537
10,0.27593753160171025,0.33003390613504086,0.2331256565741086,0.2759376743922773,0.1427419927394088,0.28043644986073774,0.10004290261503608,0.20315522169068156,0.0591805516721474,0.0994081127188516,0.37794272959517794
11,0.3138740516367841,0.3369032784040618,0.2639280672278607,0.3426075382088617,0.15693689997531096,0.17845111904494004,0.1426506997936461,0.1727389966490816,0.003933414626188465,0.08797593443326449,0.23735373348041927
12,0.27468199916170233,0.40906655638552597,0.18436312278740105,0.3190660187147502,0.11050971662077638,0.19941339621168508,0.11804405921891203,0.1920556484728569,0.040554377912356505,0.1522451045140335,0.5436934485977034
13,0.2928925978059206,0.324471583219777,0.2928925978059206,0.324471583219777,0.12754528364296,0.15770411846885973,0.12754528364296,0.15770411846885976,0.035648620719106634,0.1591242130058587,0.24695123276626435
14,0.26826446014181055,0.3221082920970201,0.1341320848933116,0.29673743579832534,0.22315990826118356,0.31369653345760123,0.09131297518374477,0.175456492637231,0.024275350207353226,0.15085646732241872,0.5177104426251927
15,0.2459218699906355,0.3018152921805323,0.2202752835309456,0.2750075667482947,0.2202752835309456,0.2664356304873946,0.061557616684218976,0.2629971445033269,0.01722872048061301,0.12848559186309272,0.4694824515652825
