Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],Sum_of_Width
1,0.23681810692996932,0.3957692214493892,0.16252019793612427,0.31628866418967927,0.1581493320948396,0.29134049720401195,0.11403091133813237,0.15814433209483963,0.04723702123156363,0.11970171553145088,0.5624888609387417
2,0.2717214017219264,0.4009059561060675,0.13098842297746965,0.3096973604299555,0.13363481870202248,0.19082722633429444,0.12097666579934613,0.1816220345881751,0.0973975908225845,0.16222852251815847,0.49056219995330186
3,0.18594326558093546,0.4001348074930393,0.1862215576213492,0.27566643526658385,0.15669571193126242,0.2682799738440623,0.11245414101440254,0.2205628808938615,0.08722374743886507,0.10681747891563817,0.5429231528263705
4,0.24789287063661974,0.3495887848749943,0.1829276185866764,0.3700068544148749,0.14234560615813602,0.27646223650077567,0.08945238843447614,0.14929321579112317,0.0691180591251939,0.12291236547712973,0.5365269141177955
5,0.35114168155861275,0.4414531045213342,0.15196830727250116,0.19814819651998672,0.17556909077930638,0.21039735826295275,0.10056319703287495,0.1878167525222724,0.06604989883999557,0.11689241269016298,0.3094156490334182
6,0.38559165728887745,0.39949239060771,0.19311024029607973,0.2063865503116303,0.15006444291990206,0.23552281436897626,0.08078923252813366,0.16959352698876004,0.07199791010003943,0.10745123458989124,0.23689303373393553
7,0.22731606433428048,0.26379348400659425,0.19701747069373707,0.3546146472487266,0.18503377599741982,0.24555320274186593,0.10202630506686594,0.20935156054086707,0.09251688799870991,0.12277660137093296,0.39217899181797355
8,0.20730698099968792,0.437481346205878,0.1369332264717631,0.3519481056460955,0.09123791534431672,0.3154321728538382,0.07691107701015296,0.15943171956349675,0.06388573634127415,0.15943171956349675,0.8474501276656103
9,0.22444067422182726,0.3604573184524976,0.19507568635019404,0.29239928430864226,0.1356890506322411,0.29239928430864226,0.09749956945522753,0.20700671964040357,0.07316491996561546,0.12186749266470907,0.5482601987497895
10,0.2483889696534914,0.3971783244367329,0.2134291468289919,0.298587002679739,0.1382560598639058,0.2537877318718912,0.11395218073618262,0.17519681210651344,0.06169487045830639,0.09952890136424543,0.44855754491824384
11,0.2099143319132989,0.37221350796778274,0.1461769219901775,0.34034180300622197,0.12163118124909986,0.22596021591965573,0.12814244593329674,0.29105958660720743,0.04293182416415922,0.12162818124909988,0.7024065894999356
12,0.23150494281394923,0.4174972172601829,0.17136911624258816,0.32449858003706605,0.10580644239916381,0.21501426974146165,0.10816786001235537,0.22957865424108623,0.04711132135410927,0.1494515958980373,0.6720806343556683
13,0.1966530700591677,0.43179470276876114,0.16629475357053608,0.3639748678952979,0.03713343759433915,0.2958582656868567,0.12474846693396119,0.14793079951009502,0.07963067940280215,0.15598095657818312,0.7910791848783876
14,0.2371639094414021,0.39188516721291444,0.15726376916357915,0.27453310969054845,0.1598002805556459,0.31452153832715823,0.08320077367690187,0.19550671220854665,0.059072541661395236,0.1270521980619077,0.6069974510021513
15,0.22345368958722975,0.3569692202575607,0.17873395773722028,0.2982597591293963,0.20155975906670104,0.2458338796273935,0.10419353433292591,0.23849452509997496,0.0596247979416604,0.09287687721993704,0.46486852266852513
16,0.2706053366761812,0.37452012725206324,0.2020426903977096,0.3174140671667839,0.16385569838073027,0.2517778013351147,0.09475444218061574,0.10655872510508616,0.10087439599439202,0.11759671551132314,0.3357348727407423
17,0.2279134542976141,0.3817058767626451,0.17843168102904283,0.36581666544809766,0.03432506810915259,0.292683231709617,0.06408885001454528,0.27212183990523686,0.0680316266429759,0.11488170608107295,0.8544186398133389
18,0.25070241707658963,0.34423462383330933,0.24688476680065027,0.2980687480527391,0.14849271221719657,0.2724707574266947,0.12082439598258793,0.15165236144410676,0.05907657853097417,0.10759263863515159,0.3480382587840029
19,0.15047891164135727,0.2917772556926844,0.20570105341074352,0.3778594579746253,0.1458916278463422,0.23911472774749276,0.12560204402268665,0.20956545571211427,0.09518751802324438,0.15882194792870935,0.554277690111252
20,0.24067752364096437,0.4491127293317051,0.10882581456160524,0.31484947246722805,0.17575262003251496,0.21889702480111406,0.10001405771502477,0.19732232241681452,0.06577577413893818,0.12877266089409078,0.6179084198219049
21,0.21629053803027892,0.29461616632223303,0.16267389853426775,0.3694515127386374,0.13833719621432458,0.32118164802520943,0.09420711975516516,0.255451018844256,0.0626402026276601,0.08515069890796792,0.6517020896766073
22,0.24506887002778294,0.36182762824753184,0.23643223522944912,0.2745468507373967,0.1613641390941593,0.26206284878944847,0.08516393099447428,0.13322802633006608,0.06896672989717326,0.17133874065251797,0.40600818951392215
23,0.21370234885593276,0.41387943102971836,0.17295686385546755,0.2528452972882896,0.16479519880657767,0.26260449890528786,0.05863483017152335,0.24688168223127013,0.08239759940328883,0.13130224945264393,0.6150263178144197
24,0.25095254314934223,0.37355573657924224,0.25047095235781375,0.3366931381735941,0.14679152263285195,0.21268247291944126,0.08334371407809714,0.15612456993214613,0.07806478496607305,0.11132056521139805,0.3807529656316436
25,0.2507065309986405,0.4122590289119542,0.13514413515105558,0.32233171228658275,0.17031692381200597,0.24194810509994819,0.07593413034133364,0.2063427817836506,0.0681267695248024,0.11688988209002618,0.5995430203443238
26,0.1922223842296288,0.37823109433558966,0.21859983707294034,0.32665761113957054,0.15011919752844016,0.2726282241062554,0.09927508481965436,0.1960497303858002,0.06815743102656385,0.09805940535555702,0.5432521306455453
27,0.25273119674273914,0.4336570672827731,0.17269558765953014,0.34538757532194025,0.15062731467004192,0.20790870707623443,0.07331162582532091,0.1255704585804775,0.05570504647462721,0.1824054203663158,0.5898584572554817
28,0.24781701944029685,0.4514493943561091,0.12832648787718115,0.29878262928817,0.12912982760427308,0.22945636784583548,0.13349459483607864,0.2022505810270014,0.039485612075079404,0.13980748564997486,0.6434929163341816
29,0.24313542201109836,0.36456529060519,0.18241908771405255,0.3038473563081442,0.15192667815407207,0.26076421056014043,0.10533572424091373,0.17804021910276804,0.07821688987048148,0.13174912143313916,0.47793239601876364
30,0.3502171439942864,0.3953870233842717,0.17776975757363214,0.2721144471676481,0.1740778174632214,0.20433742973163707,0.07838259134113126,0.1864000418446395,0.0624669916534642,0.09884675584606792,0.31417139594852883
31,0.24087565384950915,0.3636856475581167,0.16442507627258376,0.318360662743431,0.12069755975400369,0.19766710298942736,0.07919420104417663,0.3022763173704796,0.06045699680742925,0.15236078161084293,0.6687010245445951
32,0.2511423778608297,0.4023586021814448,0.17511328296822026,0.28685930766372314,0.1912039385680904,0.22667333219794347,0.10529583829903674,0.13554655145304687,0.08693109651374033,0.13887567229392425,0.3806269315801651
33,0.2744104323112465,0.41095407944293105,0.1660500381893547,0.24801007802852637,0.1829273793481696,0.2657891249907741,0.10429153824820778,0.17103150671412712,0.07003267821063458,0.10650314451602844,0.4045758673847739
34,0.2475949716796356,0.4640113732682629,0.17790208623697462,0.3040584120788725,0.1357856783340206,0.2243656864288322,0.056580674382688004,0.17790108623697465,0.03172634897231233,0.1800736823814264,0.7008204807887376
