Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],Sum_of_Width
1,0.23403860748809177,0.39619548413035577,0.16251608091363262,0.3151120458092238,0.15756102290461188,0.2933617265776158,0.11676929882881838,0.1575560229046119,0.0544881507901348,0.11240155965290333,0.5492536781494212
2,0.26591006310100673,0.4063363514087609,0.12576529859183022,0.3074262675081825,0.13544495046958696,0.19285286613559974,0.12160671566719504,0.18111923780139796,0.09939184101384654,0.16414640830259333,0.503762262313069
3,0.17467448123724488,0.39618374329015754,0.175906961765476,0.29326766371546054,0.154490442758429,0.2781391912640192,0.11726888118868471,0.21060307053689287,0.09036091794528592,0.10910464629834923,0.5745966302097589
4,0.2487623206143204,0.3492338979562301,0.18263409897709615,0.36878294520296506,0.14219245236992678,0.27570352209003063,0.09051965456838036,0.14949855464263762,0.06892838052250765,0.12374417305590486,0.533926185895537
5,0.3532594148182304,0.4478979847921425,0.15296556491563718,0.2002888499025932,0.1742604676459751,0.20883397327535771,0.10076785291672022,0.1828040910187396,0.06676344996753109,0.11215835074707287,0.30396649947181187
6,0.3922777410187976,0.4025921889696506,0.19054599869519567,0.21205219027445493,0.14558151143669903,0.234506410839493,0.07863658624466208,0.16628974704995983,0.07126605840874406,0.10625156706234315,0.24338420839180308
7,0.2339583182802739,0.2662090081519911,0.18890583255999369,0.35351151383122226,0.1853388559803637,0.2500820917875611,0.09744508486788497,0.20683882065674655,0.09266942799018182,0.12504104589378054,0.40336496064260347
8,0.20673921382770694,0.43654071424585733,0.1418746751716477,0.34564034677071165,0.09200706788784636,0.30866978672959544,0.08462455424851734,0.15913295672266234,0.06563772767279263,0.15913295672266234,0.8182335223829782
9,0.2281137726327713,0.35175473799908963,0.2031250817515778,0.28992725531593044,0.1392997344526594,0.28992725531593044,0.09664708510531017,0.2033083154625554,0.07463492769729839,0.12326183426687705,0.5163587967207659
10,0.24397076739076398,0.39828068822365537,0.21719470859372042,0.29836722792898,0.13294441586421937,0.25777846826060025,0.11498103404786968,0.17423759184729573,0.06314241245540991,0.09910268538748562,0.45553332329603363
11,0.21192847454313452,0.3709546068590535,0.1468625395827949,0.3384186393788837,0.12132179474041965,0.22588938662781455,0.131024596334336,0.29143720736776063,0.040843959825382775,0.12131879474041968,0.6960372699478642
12,0.23090015891136584,0.426355528299322,0.15788474438395317,0.3286253436053439,0.10868557340753054,0.21229138147881665,0.10954344786844797,0.2304429271771042,0.0364654693115339,0.15880542555658148,0.7130412122343368
13,0.18386982090196635,0.4309014185672605,0.15897059857763557,0.3762188502405563,0.028760134504511092,0.2968300423139557,0.1257767719484296,0.1576659398845713,0.07020716031610827,0.17079926274500515,0.864831027502698
14,0.24135436724640955,0.39557570946857323,0.15656573490903114,0.263651402508272,0.16424069613532769,0.31846203835749143,0.08575975865241361,0.19148015987982228,0.05718424438437022,0.12572588845828878,0.5897903973448956
15,0.22797724442348805,0.3400135559787169,0.1751773644605085,0.30777555751484176,0.20486392010698834,0.2510859020733211,0.09602640381186076,0.2414741276543418,0.06036969858025212,0.095236225395681,0.47117073723380487
16,0.2688967395296574,0.3756179629261438,0.20076964809941988,0.3166090907273804,0.1639528058642104,0.25136861096315377,0.09429414960607482,0.10853186307495385,0.10271098420471758,0.1172481450042879,0.3387513453918396
17,0.2221065068416838,0.3808698816646008,0.18918996450755726,0.36681933377076775,0.02734496522895663,0.29199851791872716,0.060253847376493974,0.2780023158058291,0.06950174561812397,0.11391292126725991,0.8632059408543691
18,0.24586820282408076,0.3489312780259439,0.24946870381401126,0.29900060322302097,0.1414333539307378,0.27422865351851605,0.11863549696759526,0.1555991565509208,0.05903557242021007,0.107798978724963,0.3711173400867296
19,0.15047891164135727,0.2917772556926844,0.20570105341074357,0.37785945797462533,0.14589162784634224,0.2391147277474927,0.12560204402268665,0.2095654557121142,0.09518751802324421,0.15882194792870935,0.554277690111252
20,0.24013727479474695,0.45230110237936566,0.105638851179705,0.3156159664514234,0.17454690589768082,0.22315450650067895,0.09553602539774703,0.19884820619917987,0.0662844020663933,0.1279367591330791,0.6357130813274539
21,0.23017002659019523,0.2933233336041291,0.16168207510603752,0.36181128508828686,0.13087484004858108,0.3248525995503688,0.0836331349095854,0.2617436800971622,0.06466055222182654,0.08724847278382736,0.6579587422475486
22,0.22065962773544032,0.36591614715348464,0.24030282834010097,0.28930497209974015,0.15495584112207825,0.27018235172340044,0.08826871673997352,0.13688949302952677,0.0632786846331049,0.17024133742315012,0.4650686028586042
23,0.21599473529857777,0.4021616856435741,0.1830208823412334,0.24896358825592216,0.17986981433747054,0.25211465625968504,0.07277286858677226,0.22910953397818715,0.08993490716873527,0.12605732812984247,0.5168135845344216
24,0.2499825410311147,0.374715273010734,0.2497333533575508,0.34003605121258357,0.14744285114253358,0.21135182453752405,0.08054425294105332,0.15617195351046215,0.07808847675523109,0.11193342250121299,0.38841704954503325
25,0.24524172003455846,0.41927691044499205,0.1337698166264789,0.32093066389672764,0.17179398329141143,0.24748892715358062,0.06716479810337689,0.2094587604886481,0.06750171584635406,0.11737270411387168,0.6290559321956404
26,0.18713124790842264,0.3792299870249697,0.21665935745097903,0.336516242523153,0.14264141054799445,0.276587299987066,0.09659131164877541,0.19637702164706347,0.0691471999967665,0.09911892126481006,0.5756589448941242
27,0.2503325073177633,0.43133445582838675,0.1722035181462821,0.34440343629544423,0.1504698632637665,0.21054908624610563,0.07658320222384254,0.12594025076981089,0.05603132890748072,0.18215235100111746,0.5887591602817298
28,0.23766379551502242,0.45410449838235384,0.12406705224893491,0.2967801106105281,0.11975278447353388,0.24661595021534732,0.1316627277622827,0.20616871344755602,0.028162934134647044,0.15502143320979356,0.7173814117311579
29,0.24668761892402752,0.3659020629691026,0.18545935701452912,0.30629184094656503,0.15314892047328255,0.2510095451846355,0.10743941288621377,0.17499748319665132,0.07638699415375555,0.13267676425123687,0.4617553930963828
30,0.36127300930558237,0.399704519476059,0.19024388219541033,0.24682293555517987,0.17743104547191813,0.20305771891890256,0.07824419815354744,0.1814611591700973,0.06183540188428838,0.09992612986901475,0.2619449259785068
31,0.20275675262460674,0.39259416779451123,0.16865080302788224,0.32701051529671177,0.1239164545811485,0.20309806071556322,0.07928398635206316,0.2963570494294223,0.05979877419793912,0.14653343598015162,0.7311864584327203
32,0.24416702686677774,0.4002498316312372,0.17099798227891433,0.2900723176479056,0.1880509395016722,0.23710563181010155,0.11003083729367177,0.13415748974733524,0.08698179470373378,0.13818614851865063,0.39954283871046037
33,0.2726483940355773,0.41038141194404343,0.17008241179282355,0.24544856661541245,0.1834226570680362,0.2672089590738561,0.10517013621810714,0.1689780703723269,0.07126466766013144,0.10539472521968547,0.3948234664506488
34,0.2543821843176308,0.4658699126613143,0.1800645242447363,0.2951246456125056,0.13305693834259336,0.2270691101468792,0.057533060683884696,0.18006152424473626,0.026777075500983488,0.18006102424473627,0.696372433820343
35,0.24826348398845874,0.41907715355246367,0.1001494208626104,0.3298808919198652,0.10545357646655637,0.26890955456063614,0.09359228275679812,0.20692450160602735,0.04057056877298748,0.1871785655135963,0.8239413343051776
36,0.3922777410187976,0.4025921889696506,0.14558151143669903,0.234506410839493,0.19054599869519567,0.21205219027445493,0.07863658624466201,0.1662897470499599,0.07126605840874405,0.10625156706234316,0.24338420839180325
37,0.24586820282408076,0.3489312780259439,0.24946870381401126,0.29900060322302097,0.1414333539307378,0.27422865351851605,0.11863549696759526,0.1555991565509208,0.05903557242021007,0.107798978724963,0.3711173400867296
38,0.21832009174988948,0.4422631544485645,0.18970172206169136,0.18970372206169137,0.1554623814247077,0.22394306269867503,0.05030060535784947,0.2799910177413775,0.06061352039386203,0.18970072206169136,0.6512033580239998
39,0.17709512341581166,0.32198930767028977,0.17709812341581166,0.3219863076702898,0.1849378170712806,0.24954041554305073,0.12477200777152536,0.2534632623707852,0.06238600388576268,0.1267316311853926,0.5474218488796161
40,0.3612142398475561,0.4066820049876566,0.193347791551311,0.2133392134393456,0.193347791551311,0.2133392134393456,0.08497223877102288,0.1304140039171231,0.0916543735476463,0.11168912894768196,0.1509271294623056
41,0.1390292468294328,0.3682394399581171,0.21045810293987605,0.29681058384767384,0.10814431544108022,0.30876760054083763,0.08104067915799987,0.253631843393775,0.07759739866761976,0.1562807892235878,0.7674605139279826
42,0.25096606911709096,0.2933608279676957,0.16804012943409982,0.2689136940398422,0.23750335042502754,0.26442478780915435,0.07983931773314734,0.18598775435685105,0.11875167521251377,0.13221239390457717,0.28979891615624104
43,0.3221352448011627,0.3927632589208642,0.17345228929729967,0.29820482623316025,0.13245352162687662,0.17872412593050674,0.11114398774012565,0.22631938686356315,0.06278698716236955,0.10201637142407152,0.3960559387443317
44,0.18675144984612838,0.308421584961731,0.24547859381756743,0.3713737761058945,0.12768546866982158,0.24758551740392967,0.09645116712805535,0.18795100125281566,0.053536969892968723,0.17476447092108777,0.5801927012909172
