Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],Sum_of_Width
1,0.2714211299604453,0.3669978485898858,0.20385036749413663,0.2714211299604454,0.1834989242949429,0.2599535757565573,0.1266958114045931,0.1435547075938708,0.07068090407308954,0.10192560087203317,0.287705725545585
2,0.2863998711140131,0.37826167287106316,0.165417112648781,0.28639989859621784,0.14932825063226618,0.16887638408145356,0.12024698431584521,0.17654588133999993,0.11919569376809366,0.1493282506322662,0.3188241750420015
3,0.21120809505674604,0.36165511061028754,0.18082755530514377,0.2755949521554776,0.18082748284576322,0.25535076925846323,0.12487808755790235,0.2112083313372301,0.08218833885831318,0.11626127701467306,0.44014088075226293
4,0.274368756409035,0.3260024681199362,0.24752487046492244,0.313775015695171,0.1612378231477006,0.24752487046492244,0.1024655749471141,0.13823094743622327,0.07801474971543143,0.11085492359954333,0.2727764506315927
5,0.3813409641937307,0.3990219159714398,0.16626136418941545,0.19067048209686535,0.17200169273587304,0.2124984099242325,0.11945047106137201,0.17200174310605734,0.06730222893494045,0.11945072778607331,0.18728655776933667
6,0.393428062917377,0.3971640428943103,0.19277626502250808,0.20598977357673665,0.1575995890489078,0.21974414376000767,0.0988401114194466,0.15759960653564994,0.07064457135963362,0.10621383346542228,0.17342280046425373
7,0.2318877639269037,0.2592145631230077,0.23188753535475687,0.3238038536143896,0.19317481741585035,0.24005089162326435,0.10621047264427505,0.19629152911948636,0.09658741953526129,0.12089115364280471,0.2805039822459055
8,0.28374731047787555,0.3563203474975329,0.1781601737487665,0.30487974194427603,0.152439870972138,0.2576486149038287,0.102132450030713,0.14187365523893777,0.08092417994699388,0.14187365523893777,0.4051920296470262
9,0.23974901005186572,0.34124503153090185,0.21914698414925074,0.26087254760004397,0.1884527242779773,0.24403586101784852,0.11202428387863198,0.19285009649318985,0.09204996892566461,0.10957349207462537,0.2971540574332192
10,0.2785007925126544,0.36107344483003556,0.22915785648233844,0.2813673671916452,0.16842461185441576,0.2291578564823385,0.12035781494334521,0.1684246290322451,0.07029703411775826,0.09323859255322345,0.2665237801789757
11,0.24085627150657615,0.3317833028168905,0.20746162287187872,0.28508912737390435,0.14254456368695226,0.19736708591601154,0.1873596834975875,0.2408562715065762,0.06197170164294141,0.10471036918068119,0.3196123135881278
12,0.28865288030873854,0.3743709384730065,0.1923959444193594,0.30068411532458394,0.12536358296083108,0.19239601556470154,0.1247903128243355,0.1991387411797291,0.07309007153603528,0.12911739740867906,0.39141441590140036
13,0.22315265280309723,0.38044727536883227,0.19022363768441614,0.33938907461933654,0.13173489478247483,0.22315265280309723,0.12896529381174068,0.14224351195499488,0.10748694915002495,0.13320405702198526,0.43687314353649237
14,0.26362080948632227,0.34547211666056465,0.16219130196547318,0.2602871958897204,0.23032751138813645,0.26362080948632227,0.12390729136149645,0.16219132244181061,0.06018198755087532,0.12819965376927822,0.3195421964953925
15,0.24074501515928298,0.34073832910914925,0.21332397808784856,0.26669341958845705,0.20623774614247278,0.24725339840499444,0.11357934781925041,0.2171666370420072,0.06478155002317476,0.08948057862336264,0.32266472553594105
16,0.29082548912617046,0.35753156933562025,0.2272753982188449,0.2919640930740715,0.17797927141474917,0.23281977621158498,0.09643480177574926,0.10570814765794792,0.10520200942249669,0.1142594437627648,0.20456606008397898
17,0.2349671922364384,0.35132749275675146,0.23826408915410324,0.2998985887440678,0.10548770339467875,0.234967208121452,0.11710916425225046,0.2382641408572912,0.07422671708828804,0.10548770339467875,0.4598902677484823
18,0.2730402720400322,0.32823909366092424,0.2562581014994417,0.2870605216141768,0.16237689986810705,0.25627848644365303,0.12812905074972084,0.14440525573564506,0.07091552837394786,0.0932967900143514,0.21856029493750084
19,0.19272934572425615,0.25076282167602787,0.25076282167602787,0.32616152470613824,0.1630807623530691,0.22411050138313823,0.14428586464530965,0.19272937217987188,0.10961156503139897,0.1457654206247621,0.2790592811398766
20,0.26575312366038395,0.39015835831683143,0.18318443383057698,0.26575312366038395,0.17962415030069018,0.21636550937208013,0.11583875350852754,0.1877808371453131,0.0702276457285968,0.12531406447661597,0.3707437859424491
21,0.24085707668539502,0.2751471641946711,0.21398095940129425,0.32251035019624147,0.1612550935440844,0.28524421388935384,0.1348096899598346,0.21615859028572046,0.06959115022951415,0.08044571161389065,0.35901206035975514
22,0.23942018218247513,0.3624173692250451,0.2395217509606912,0.28468218023269476,0.1723747779899966,0.24734711642547663,0.09416697626518448,0.12062303706498692,0.06628572239110278,0.17316088726234632,0.37646118042109955
23,0.24387067797797873,0.3664764613165292,0.18323823065826458,0.24448999978755065,0.19165881221657094,0.24387071895987758,0.11747163405058873,0.19412692679106375,0.09286117876163691,0.12193535947993879,0.34179893266992006
24,0.2873169463459367,0.34157804108908174,0.2812812267172195,0.30995573217617334,0.15497786608808667,0.20189753784088568,0.09419773860635969,0.14365849121817909,0.08419392839039452,0.10094249152768306,0.19606458770400584
25,0.28331219720187134,0.3806228882473515,0.17689951415648683,0.28331219720187134,0.19031144412367576,0.21817539155025084,0.10423636394838014,0.17689951415648683,0.07502623859046106,0.1112042508231644,0.3404284839582498
26,0.25095289656966024,0.3331539935808371,0.24912029699476493,0.2936302025625225,0.17058903320100635,0.25179222047651567,0.11013777383127495,0.17828432506783015,0.07096499635670532,0.09137426135888274,0.29647000609317636
27,0.31348755838216247,0.372040700433579,0.18602035021678948,0.32350095781166066,0.16175047890583033,0.19719360042687523,0.09459749721024938,0.108850272908104,0.08581480451366812,0.15674377919108123,0.3166586215426004
28,0.2631639296434659,0.40757026660283574,0.17689550398318912,0.2631639932487792,0.18091178219612322,0.18799115575217842,0.13446870656987306,0.1980330465616483,0.09045589109806162,0.09734572434384546,0.3082083730185742
