Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],Sum_of_Width
1,0.27309168658110966,0.3962635097468708,0.21105487478935384,0.27309168658110966,0.1936800888330396,0.2638086978469536,0.12302337750367386,0.16713965989628987,0.02385447515365059,0.07499194306794847,0.3505909942783449
2,0.286871461832234,0.41927259066754785,0.14808896238993083,0.286871661832234,0.14501983715975236,0.17435569750897795,0.13975753022251597,0.15679514991896576,0.09794727130808908,0.14501983715975236,0.3646298741749556
3,0.14093028135981825,0.38476855032942214,0.1886396022388945,0.29304366632000795,0.18522715794862135,0.2606693245298325,0.13033466226491625,0.21709266499278207,0.056811150040240094,0.14248293997546493,0.5961142922950191
4,0.2691438302875217,0.31081080464801664,0.26161258435341866,0.32689040382621076,0.15540540232400835,0.2833234372440513,0.08968931493400552,0.14217849056678944,0.053001864519200366,0.10794386729677699,0.3422940071636905
5,0.41199149083996456,0.4456380541628636,0.13870321877418418,0.20599574541998228,0.17805088861238066,0.23770441398967146,0.07870294172387843,0.17805108861238067,0.039617402331611914,0.08554475553308226,0.30586811543596054
6,0.4105812829720258,0.4403167413991249,0.14582284963181463,0.2052906414860129,0.1530436556327402,0.2807898045313748,0.046931153191970845,0.1530436556327402,0.04593047873450755,0.11824973678768809,0.3953811596738819
7,0.2518302069454463,0.27782356988458196,0.2518302069454463,0.27782356988458196,0.19414839154563324,0.2518302069454463,0.09260785662819399,0.22013844972286412,0.056052438025082744,0.12591510347272314,0.30706179982039494
8,0.24864638393551838,0.38225417651891436,0.18301647288537592,0.327729721970509,0.1509594133385589,0.29716841548731354,0.09581098867811472,0.12985948988382104,0.0529451907981977,0.13160974650367666,0.5372431007284689
9,0.23434198278505425,0.3901515432609233,0.21069944042743957,0.2622822289071394,0.17377313372301625,0.23434198278505428,0.12518195701327295,0.21691112670489038,0.045471739861596736,0.10684486453161303,0.42106349237924057
10,0.26699896708644566,0.37412179834536663,0.23737498372289823,0.26699896708644566,0.16491024582130534,0.2508580335293933,0.11993897936472413,0.16671951790524775,0.06113294098859121,0.09094556614958205,0.2992877660320708
11,0.24720765552843957,0.35677722049281635,0.20191415323664286,0.28883589562579987,0.14441794781289993,0.24429943049382283,0.16982460698214955,0.24720765552843957,0.025634681595277497,0.0738807527037117,0.42200190968918094
12,0.33045288453788846,0.3358193894406035,0.20454173904146083,0.3430513450368677,0.10619945854240986,0.20454193904146084,0.11193979648020116,0.20722475815948502,0.049007335005266814,0.10722135471435558,0.39571757278554553
13,0.2534135621060962,0.3932111488410793,0.18080226635174484,0.3401841566867821,0.10503378932153751,0.26614376898355796,0.14385961940607556,0.15002426809375763,0.05044824224493652,0.1168791779644324,0.5328850411392188
14,0.2709526778820704,0.3603716966358916,0.17481391750519604,0.3291681102164148,0.19487549006611765,0.2709526778820704,0.08914166929233819,0.1780389836337949,0.036574234468490535,0.09511054241761568,0.46728402157157456
15,0.24542386368883948,0.29757323798175955,0.2333897369953268,0.31602765950133827,0.2171748188962805,0.24542386368883948,0.09398918375682067,0.23547961810152832,0.03286339625967486,0.08265462112959254,0.3543180008061158
16,0.2604376610916612,0.3821057221249131,0.17823302949563935,0.2708905618051529,0.177566982794347,0.282306832917961,0.07045796806773197,0.10270373846194789,0.08752471769542224,0.1877727855452231,0.4515592817103962
17,0.2643310380248719,0.338063145199194,0.21962673797481058,0.3011309955348487,0.0990133428278484,0.2643310380248719,0.1116296442112032,0.25746252931295327,0.04301871364783552,0.10139281524156257,0.5247610466268608
18,0.2698820172516105,0.30129411034940484,0.2816537211801628,0.2965383286926349,0.14580582101306308,0.2870988295253989,0.1381039614178518,0.1622829320963785,0.02262938851335739,0.09471088996013721,0.28385018124790884
19,0.17930777419827282,0.2460591695064986,0.2401102270343507,0.36567866064688226,0.1559203654948898,0.2644179471795123,0.07762996574217756,0.1948878718401173,0.08813931572650409,0.18784870263079484,0.5177847036076103
20,0.2652055056710779,0.44957301261912985,0.1744895928008728,0.265205505671078,0.19163759442350237,0.20938871542807197,0.098510857861836,0.19163779442350237,0.05234717885701799,0.10200424224391068,0.4356185407713858
21,0.24491813618616132,0.28496335273312823,0.1859335696549959,0.24541995494310953,0.2449181361861614,0.28496335273312823,0.14248167636656411,0.2524607599149644,0.04157540789554594,0.07236565338624099,0.2803461474211427
22,0.26078760326908257,0.41934817625542853,0.21281253141631606,0.27209142412185267,0.14124287693343424,0.2659032836983012,0.09069714137395089,0.1493724264644726,0.04147856137694014,0.14626597509022096,0.505962571260552
23,0.25621983713763896,0.3879677808940557,0.19398389044702785,0.24335460787413654,0.20041210654280972,0.26523585265954774,0.11359225451531156,0.20041210654280972,0.05290476248830906,0.08591680089835299,0.3657742977378055
24,0.2932824250839122,0.337930951025209,0.32090055775966214,0.3336162970062853,0.16582045285849992,0.19634576469576562,0.08817421999990904,0.1466412125419561,0.05310800747686812,0.06418011155193243,0.157428673642297
25,0.2852825205203724,0.43316986895038423,0.1664422435112144,0.29048174693785056,0.20396997876777445,0.20976876668397143,0.09249214186824134,0.17817130289556277,0.04285407802543795,0.09736735183919043,0.4179180746139189
26,0.25767629322613284,0.3302888602476197,0.27688461678283066,0.28463529359392287,0.1461976408684255,0.27688471678283066,0.11009628674920657,0.22056217322503557,0.04049013740703923,0.056283981116956136,0.33731004993273017
27,0.30668422714541166,0.38441778742946275,0.1832172974539852,0.26953981348985534,0.19220889371473138,0.220619078717337,0.08803876091611416,0.11485888859925038,0.08707313896114638,0.15334211357270583,0.2855553636172225
28,0.3141731471117968,0.40433513855560943,0.10732668830318394,0.31417314711179684,0.19037504700192498,0.19196829498545537,0.13198323696354197,0.19037524700192499,0.047593811750481246,0.10769624121428428,0.417096137738142
29,0.26870821451763066,0.3256799940670964,0.20073728459757045,0.26870821451763066,0.15924186295320733,0.3085270472540813,0.11891236990653689,0.16029106398412232,0.06170540945081626,0.1274885387513077,0.3813897171484768
30,0.3858713530129992,0.40033179697916205,0.1859823217638657,0.24327236314762218,0.17456100840258837,0.23079452122889377,0.07787734905507408,0.17456100840258837,0.0311358592116247,0.09561241879558122,0.28914421710769556
31,0.22303959544687396,0.47272176884571065,0.19987110520476417,0.26108380738033843,0.13449520607868792,0.20261300284398837,0.10242448511355115,0.22303959544687393,0.05252464098285674,0.12818679265635446,0.575289934346532
32,0.2884816267048841,0.4007706878415097,0.20038534392075485,0.23918245917843478,0.20038534392075485,0.2391824591784345,0.11015829008127508,0.13846539288381488,0.0387475829376951,0.14424081335244204,0.32368362486927194
33,0.24710695474383515,0.3475104844182848,0.19777474238738932,0.26628661722404867,0.1737552422091424,0.3516917973285868,0.12819062718415813,0.1334638603517448,0.053749215679411835,0.1004704584733979,0.39884643559212607
34,0.3504450479099575,0.3946216212547285,0.1947037268897802,0.32840952383599276,0.1712693352530045,0.20644953834913407,0.06991297642168484,0.17522252395497875,0.023331038504236828,0.08563466762650225,0.38067575004267246
35,0.30402889773596126,0.41634260894159086,0.10141661818400724,0.3040288977359613,0.15146914308760853,0.19128710010710484,0.0951663577629801,0.234350196520329,0.039577983156135324,0.16233219676832128,0.6166820001466148
36,0.40676555553396754,0.430755550535165,0.1593755135347329,0.25578578367655536,0.15540591276458865,0.20338277776698377,0.05464903903479576,0.1593755135347329,0.04725978310594832,0.1272445705125298,0.3530883920519337
37,0.2711352867134307,0.30342134681430677,0.2801698731899751,0.3059932893987948,0.14895863711095186,0.28561755438690484,0.13288055965368992,0.1482161978435538,0.02747775487477408,0.09612950001361807,0.2787557769143566
38,0.2592861847572669,0.41435535795275874,0.1766114253553439,0.1766134253553439,0.1279535174902427,0.2580794919317946,0.11821183267887991,0.262177844073973,0.07297228428074147,0.13373863612365494,0.48992951087505027
39,0.20457229587215847,0.2807405764731109,0.23409644413971392,0.3112929169170712,0.172417470113508,0.23409644413971392,0.14037028823655545,0.2757420979937783,0.03654253474678515,0.1101289313676044,0.4240019337825578
40,0.37876766539130213,0.40858736053982314,0.1998069698797785,0.2332929427235578,0.19451315697712812,0.19980722226088393,0.06937185060292433,0.12648733894303224,0.08171747210796462,0.10764802057360529,0.1516457700818047
41,0.18658786010617745,0.31259675022674016,0.22201320103657524,0.2435378593683723,0.15321032823539582,0.35492132508348684,0.11704830650886944,0.20851165863254334,0.059153554180581144,0.14241915662125854,0.5239734998648021
42,0.23219815722215156,0.31943396072031205,0.1903095165463226,0.2402774621929632,0.2402774621929632,0.2508320861479114,0.10647798690677068,0.20489987870096232,0.09515475827316128,0.1201387310964816,0.2711642377172613
43,0.3651758781256238,0.3948799662191319,0.16442475275908325,0.29066078493773423,0.12289414676539502,0.1825879390628119,0.14533039246886711,0.22312385377444546,0.027825883904066085,0.08309640198284103,0.3486978919539293
44,0.21708028700882318,0.23671572243544273,0.23419896295688222,0.3204627514556474,0.15530774364066552,0.2646445971014402,0.10682091715188247,0.2729823211424981,0.03647895346605251,0.15530774364066552,0.5002262715513881
45,0.27018440394034204,0.2934500893907287,0.17040378273999193,0.2799601213955606,0.14672504469536435,0.17759730824785752,0.1286805599489183,0.25724037885714246,0.08574679295238083,0.19001151783171302,0.3965188314460048
46,0.26844821511944383,0.43584153374652645,0.21792076687326323,0.28970457772163616,0.09603852724523029,0.27385971178884183,0.11260941862813353,0.14713752681169337,0.04904584227056445,0.10939387979466654,0.511874459726729
47,0.18976049663525377,0.5422552827680889,0.1284736145993884,0.186383316745758,0.186383116745758,0.32330552151460334,0.05945811219220519,0.1897604966352538,0.04618650307351477,0.14803353909017586,0.7794763135077598
48,0.2707125515694387,0.36998924727088206,0.26386636311852346,0.2712460404665464,0.19174130993433225,0.27256479842271625,0.08722064011805333,0.09587065496716612,0.07399784945417641,0.1027905446781655,0.22492257161095217
49,0.2827670466778121,0.29236668025131457,0.16533692785972204,0.30722985039466266,0.1461833401256573,0.21064163265619817,0.09678957183215312,0.28997371696967,0.04337430537308828,0.165336927859722,0.5310976162631346
50,0.3328159235213667,0.34221124719953644,0.15507017663019373,0.26286341501507665,0.1640592879839981,0.17345429737645357,0.13143170750753833,0.2980585943901901,0.037883373073799444,0.10215197730184727,0.35747906256620776
51,0.1984951759622455,0.2629929292463,0.2629929292463,0.35974089250571517,0.1984951759622457,0.2629929292463001,0.13149646462315004,0.17987044625285745,0.032099997268783535,0.11082305968610259,0.3528405138745505
52,0.32143357717423465,0.3361425395348913,0.22206929809829312,0.32276971616227335,0.16071738858711732,0.2244392209917263,0.11159177722978843,0.1343935453502256,0.055408287822303476,0.11103464904914656,0.2575593421765261
53,0.33037452466007317,0.36374357225291803,0.18187178612645902,0.2486085479788154,0.16634514085125238,0.2730712449276898,0.10258674808163264,0.17250252660296272,0.05461424898553796,0.10628165953265886,0.32841510259008966
54,0.2250878333830223,0.2701624803544694,0.23913268830417644,0.267149182451198,0.20813250410152695,0.23913268830417644,0.1350812401772347,0.26411390262987755,0.036812886387540635,0.1151945939067775,0.3115056952929979
55,0.300087011311523,0.34801771602400283,0.2066646494140957,0.300087011311523,0.14213533594526567,0.25488246909273826,0.12744123454636913,0.2317899021398444,0.016034671900809715,0.07285999831382847,0.41527419376387376
56,0.3049268880238678,0.33893600195282025,0.13987213048428945,0.3049268880238678,0.16021426173398656,0.2043209748720753,0.14923507781258816,0.1726963671757556,0.08069658440568958,0.14417482551505928,0.33011011507915666
57,0.40004911608326016,0.40935643823891227,0.1998411450375366,0.30134418803287993,0.1265631727427497,0.20220492843141774,0.12093898907865559,0.13334957201138137,0.03766802350411,0.06868442683909676,0.229879107107376
58,0.3108387127642538,0.4032506159304756,0.13352570397235475,0.3297292715982476,0.15826902634711146,0.1741104591179032,0.1344168719768252,0.24101905312780555,0.043350694054349576,0.07148959111067324,0.43919798177021047
59,0.24283824085358094,0.39351827365356173,0.22942920596992378,0.29662788906618975,0.15438485698040383,0.22942920596992378,0.07722360835686479,0.24283844085358094,0.04372425262817352,0.08998602566779669,0.504799670422106
60,0.22643466103795806,0.24207156037916816,0.21994733677029615,0.2866333316742952,0.14191642089928216,0.24166303984894413,0.1433166658371476,0.2766110706731153,0.07948949198051122,0.14191642089928216,0.3777908469496098
