Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],Sum_of_Width
1,0.13479164441156066,0.404371671309705,0.11532112035275524,0.2800521109092863,0.0978586952669846,0.29447157979965366,0.06739582220578023,0.377407371686457,8.154812442403264e-7,0.22832916857657312,1.16926380456335
2,0.1111354738465355,0.37340862393007457,0.06223668558045983,0.2648291446139663,0.06620804361988947,0.2943471885858814,0.08410115269838739,0.44453074493483896,7.779384630393283e-7,0.29920216425150375,1.3526357326325298
3,0.07711639035577564,0.3855790213801395,0.06660050414363078,0.3330003229191,0.06660050414363078,0.3330003229191,0.038557462578203146,0.3139682409795099,7.325996847831938e-7,0.3855764979812252,1.5022488123581497
4,0.1877460221846823,0.32855443643694615,0.18774437941301889,0.35201000250443126,8.213858317309856e-7,0.2899014237676754,0.039114412862710266,0.336013809204808,0.03733629711481002,0.2415783951250859,1.0961161340778938
5,0.28106113129503957,0.4684222901552419,0.14052887929928182,0.2740141700931802,0.14052887929928182,0.2634832169449638,0.05270001608546865,0.22250560470974765,0.018330998827659126,0.13842481329013517,0.7337001903865377
6,0.3162745971393086,0.5271096922434299,0.105426083105696,0.2899047666222136,0.08477000290941564,0.2542982313961902,0.026356520776424013,0.16472449209478307,0.01317841109620728,0.2179572026163318,0.9079887699458971
7,0.18673309888905631,0.37345387344699227,0.18673309888905631,0.37345387344699227,0.08003014382104827,0.25855453420226465,8.402953037219447e-7,0.1867336590859254,0.031122743345045185,0.32318413457831563,1.0307601495209804
8,0.1645812134950297,0.3840155487642429,0.0925775428682964,0.2962472088098757,0.0822917176715391,0.2777311473728568,0.047273916884372436,0.31269954443962944,0.02743118973719316,0.3151509699569642,1.1716888386871385
9,0.12162964443343043,0.36487920314326355,0.12162964443343054,0.4054182864988432,0.08845720876269376,0.33907425734743235,0.047696538146364334,0.24325408786625913,0.02948573625423126,0.23847539311405108,1.182202455939699
10,0.18818625918327075,0.3250489931347406,0.13686329793582314,0.2737224814627728,0.09854149034414833,0.2956221101653937,0.06569432689609887,0.2627693011657003,0.04562109931194116,0.30793064040011026,0.9301870526574354
11,0.16595998927426603,0.3872280812989396,8.297912334951133e-7,0.34574674838383673,0.08297999463713296,0.42552750541247597,0.10527251652819507,0.2279006515848081,0.005843557856499994,0.25354012523261205,1.2798862238253448
12,0.12685590779345368,0.38055828551034204,0.10486547249787315,0.3445591046203949,0.04998913007491625,0.34829656049476737,0.07316239887228324,0.2926406819452255,7.864891682606644e-7,0.2790716717015756,1.2902526085446109
13,0.08893358919618681,0.2979700072166754,0.09032298835633508,0.3729373830364646,0.04661871726260199,0.3612828007858549,0.046618717262602014,0.3729390026740521,7.225768015178693e-7,0.3223760716324259,1.4550105306909455
14,0.17270232284665035,0.4317460998934501,1.3251463921476056e-6,0.27344400007957326,0.13672286197938274,0.2734419789798311,0.08634993093024677,0.3645843437047222,8.203287189246649e-7,0.2610063161110325,1.2084454775372184
15,0.1596101446488328,0.3192210123910707,0.12857489353448423,0.30857884071551356,0.12857489353448417,0.45000935014322363,7.714508655346867e-7,0.26601814484944264,7.714508655346867e-7,0.2394111772812169,1.1664770507609352
16,0.11673315323838038,0.3980822101428196,0.05687042060716436,0.32143618183192624,0.08871715949604322,0.3535754381302749,0.03891105107946016,0.35019145060455203,0.03891105107946009,0.23657188378991867,1.3197143289989832
17,0.07907893022528559,0.3953903018343825,0.07907893022528552,0.4612857234555875,0.04349394978630788,0.2381668803197748,0.04502411438195966,0.2899449259745648,0.026359643408428533,0.3421766003884233,1.4539288639454657
18,0.1710613407546739,0.31302132683477424,0.17106288030661243,0.3991370985158135,0.04016327972329398,0.27711985426457597,0.08553028548935233,0.31459576999065253,0.012776159809668373,0.21553200431058267,1.038812107832798
19,0.0881112708786111,0.29736939978954824,0.12199891736891831,0.3776069417043076,0.08811127087861152,0.36344602585749536,0.033040691984017385,0.2643280469860742,0.060999359561540664,0.30498807499087555,1.2154769786566022
20,0.122521676925826,0.3675614096224909,0.09905973251029691,0.29717764560732446,0.09905973251029694,0.39623082555145217,0.033019393528910215,0.2586537337387885,0.04084051586628756,0.2858753341383262,1.2109978973167648
21,0.1560898346025828,0.3967176459325212,0.09105265801118777,0.34911573867690826,0.07804491730129137,0.27386400707708125,0.035806403585761266,0.30063378661306206,0.022763164502796997,0.29591184369680695,1.2324860439927596
22,0.13770054682554073,0.4130901598628695,0.17594757564268743,0.4398649802743901,0.06885027341277039,0.28790490063524676,0.06090576240003526,0.24361170094746523,7.917664656922822e-7,0.17212330823252897,1.113190099905001
23,0.2022856302619294,0.36424931567374425,0.10114402674040614,0.3034296570023355,0.08428719466558351,0.2713574958242151,0.0674293511602708,0.2697091867683498,0.0411158844076643,0.2949922574955012,1.0074758255282916
