Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],Sum_of_Width
1,0.2756323484950431,0.3411196389262658,0.19862308148213614,0.3526316155079501,0.13781617424752154,0.2558762098186199,0.11587188524980514,0.15418749685532723,0.030430375169809565,0.13781117424752157,0.4832522707113691
2,0.2717214017219264,0.4009059561060675,0.13098842297746965,0.3096973604299555,0.13363481870202248,0.19082722633429444,0.12097666579934613,0.1816220345881751,0.0973975908225845,0.16222852251815847,0.49056219995330186
3,0.2323345414062024,0.4173627882304603,0.1699162220350987,0.28593024971339953,0.14426309968974005,0.27310368854072026,0.08301300973871531,0.19564771614219814,0.04349624172023264,0.15493244278323265,0.6539537708200217
4,0.2578247684050725,0.3493735166030164,0.21703155613468383,0.3065552010142478,0.1532776005071239,0.2699572575715703,0.09128442375786569,0.15032154199692055,0.08726679285815529,0.11710734115134326,0.3866297166741971
5,0.35717538183064335,0.4013211447017717,0.18086918727716414,0.2048295836244499,0.18086918727716414,0.2048295836244499,0.09850041008254523,0.19284688545080703,0.051881841834481246,0.12687679429652352,0.2614079833960039
6,0.3172061325010893,0.46115331241842594,0.19459036122987883,0.2665689511885471,0.11529132810460649,0.2228212993538414,0.10991093020124623,0.1332829755942736,0.06388638130348442,0.11528832810460649,0.39822973331938927
7,0.23740636553425729,0.2992204074394636,0.23740636553425729,0.2992204074394636,0.15745290416546104,0.26831152934400326,0.0894384145432392,0.1986613892451224,0.07872645208273055,0.13415576467200163,0.3991389962801091
8,0.21983441214288157,0.45306138083023184,0.1405962410145134,0.3697569000857328,0.14191122534256514,0.28000244057653545,0.050016713808017976,0.16632898278743463,0.0676058257731192,0.11088587763896789,0.7600711638378053
9,0.25003026417861685,0.39721136707013305,0.2276441226519046,0.3236655346969819,0.13782791433722164,0.17614792028587384,0.10787393854145833,0.18487292300576375,0.0568991008948244,0.1378269143372216,0.4394493187919483
10,0.2670841432600075,0.43071310386114947,0.21960948886437007,0.2844109369266238,0.1345809341492995,0.22490002694178102,0.13831469010160702,0.14142625435181388,0.06467612355562789,0.09428429798771969,0.3514692401381759
11,0.26293746860265477,0.3574133015425127,0.17871398410458966,0.3105144406500546,0.11847344719828312,0.253791388506025,0.15508833539343472,0.2023322994824113,0.054251903844820204,0.10648343067521421,0.4610697217124354
12,0.23150494281394923,0.4174972172601829,0.17136911624258816,0.32449858003706605,0.10580644239916381,0.21501426974146165,0.10816786001235537,0.22957865424108623,0.04711132135410927,0.1494515958980373,0.6720806343556683
13,0.2892577774123857,0.3138838619371247,0.2892577774123858,0.3138838619371247,0.12712057074342767,0.15078448126594904,0.12712057074342767,0.15078448126594904,0.10052422560587078,0.1373823916763546,0.13343815616500448
14,0.2371639094414021,0.39188516721291444,0.15726376916357915,0.27453310969054845,0.1598002805556459,0.31452153832715823,0.08320077367690187,0.19550671220854665,0.059072541661395236,0.1270521980619077,0.6069974510021513
15,0.23951248533668146,0.41263410602123907,0.1922174478652362,0.2851608958252491,0.17783713956105102,0.20658975615742126,0.12426608741884054,0.2094450033478662,0.05922106188205864,0.09311601658435659,0.41389155587226434
16,0.2561488343835676,0.3855239530637511,0.18981353357867195,0.3208333937236594,0.16041969686182966,0.2868448725888096,0.07749356999415093,0.10694435763008854,0.08238177984602164,0.13359600832944946,0.4674851706715163
