Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],Sum_of_Width
1,0.2136252711224194,0.2249448852466695,0.20741448302159476,0.2526960743924041,0.12926144751926166,0.3007833075345084,0.12754496013114971,0.21378178815173096,0.05857783835624141,0.12926144751926166,0.06317401859810103,0.07893447840665747,0.4008039625024641
2,0.177787203858919,0.23295801526219861,0.11750718577165231,0.24842520342562413,0.12421260171281207,0.20179609474907328,0.11647900763109931,0.20952968883078604,0.17842746658213277,0.18750492261514368,0.08224004202911653,0.12313256753144228,0.40669298482853605
3,0.11604271713384132,0.3180952563700975,0.21414175059522286,0.2503481952442643,0.15904762818504875,0.23539289770716182,0.12517409762213216,0.2434918167049948,0.07507787695865166,0.10215811993171232,0.03981955631906343,0.12121008722780907,0.5413927463720797
4,0.207572995423858,0.207574995423858,0.2075733287571913,0.35204871797422416,0.10039855210691584,0.2075733287571913,0.1261300882402784,0.21955665997613746,0.06112286362403354,0.12911582188262227,0.05488916499403436,0.12644348283965529,0.48462601370737707
5,0.1435169944021652,0.21374063449696934,0.13723524711964047,0.29180864194388445,0.12976162651747597,0.3292780911682001,0.09661857512057609,0.15600071690462902,0.10975936372273337,0.20852094686261324,0.04024216733894763,0.1435169944021652,0.6857320515569226
6,0.14471139269988167,0.29216071250858633,0.1624994097643914,0.27437269544407655,0.16067634228895675,0.16341127683544207,0.12622983467869,0.1624994097643914,0.09738690416952878,0.19134229215199183,0.06276600434208916,0.161943725351974,0.4914602241129244
7,0.16941545654638063,0.32075498499135097,0.18537012488160434,0.18546483005793227,0.16037749249567548,0.19935841505385896,0.09929957577712617,0.20948845288770002,0.1480036915942819,0.19859915155425234,0.03643468311805248,0.08743314104178432,0.4021979511737579
8,0.19737749783466005,0.2681376159564454,0.2434133449659987,0.25464741725463547,0.12566377871743648,0.2619628254808515,0.07671590256226321,0.19737749783466005,0.08350122203150633,0.12981784799522617,0.065145412292055,0.09623963707426189,0.4163656831921607
9,0.20422794027242996,0.24882206634019216,0.17431856957335168,0.22930310057130565,0.156675651122775,0.22805018517230294,0.10946347211493215,0.21089125977746317,0.07601672839076765,0.13570602335816837,0.047427383562361355,0.17909761974394972,0.4637405099267642
10,0.19596111188648396,0.29600738005752397,0.17544363657433465,0.24233141415162984,0.14800369002876199,0.2130518060555124,0.14072567809329964,0.19086259941093234,0.08077713805054329,0.17728859675212108,0.035699338907173944,0.10384761003168255,0.4467788129188047
11,0.2543209787333167,0.26491604300670335,0.21740342621127956,0.2775251472538164,0.10907752546254963,0.1632921650342748,0.1257608801990211,0.21740342621127956,0.07473255641366564,0.12732115392954022,0.05916917208200344,0.10907752546254963,0.3190709217963279
12,0.1672364337005552,0.2729141993699818,0.16419364159908503,0.22793599319211524,0.1364570996849909,0.25567253510620935,0.11396799659605761,0.23537979238426215,0.10630405267978216,0.1903588284847038,0.04226794225098196,0.08731148495127478,0.5391456669770942
13,0.18277163132904295,0.22431283422054515,0.20500852470432535,0.214635848488751,0.1064134124593753,0.20489404838708264,0.20489404838708264,0.2147503248059937,0.1062989361421326,0.20500852470432535,0.044862566844109025,0.08614929952723424,0.29950176026786424
14,0.19739691095031345,0.22020793896079907,0.20880142495555626,0.20880342495555626,0.15229658560828888,0.23801998612753453,0.11900999306376726,0.27904439055084834,0.07173429693873923,0.16936989520421722,0.03195773444219381,0.10335741824218596,0.4376061080822825
