Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],Sum_of_Width
1,0.18973017213960036,0.2390444494728008,0.17108003922718162,0.28011671955317763,0.12228589212516493,0.31944694103191557,0.12381445000372979,0.2153033733328331,0.005013352546443375,0.19410393314962093,0.05920211199353967,0.08085856542399222,0.6577479639286804
2,0.11830904154649424,0.29064110611623906,0.08312289445353764,0.2925617202645862,0.09867158805407718,0.22767528941646475,0.10733818407552367,0.2163226475072105,0.1624079829028776,0.19427377951168595,0.03033432754133386,0.1783414386099695,0.7996319628523116
3,0.07482230710368831,0.373713518074827,0.12215704046439951,0.3223297630635912,0.13132665688869086,0.24879196057028188,0.11112246812891359,0.2620673179630371,0.04816165453869026,0.12852550261414397,1.3565337173143677e-6,0.17698045405601875,1.0248170326838
4,0.17522541028757582,0.21842160607394556,0.17522541028757582,0.3896023349850161,0.10076758739923,0.2045236449472191,0.10495521976990693,0.24549168219104087,0.01782089331684883,0.17522149167337198,0.043806352571893956,0.14893836649637499,0.7643982527339374
5,0.11232054735875793,0.23486358146246547,0.029174738381119975,0.4089007300485564,0.03995372783842513,0.42811120601315966,0.04514594845374659,0.2009870660532354,0.08787152294243553,0.22962281950879407,0.009457338461840464,0.1735907734774633,1.352152353127349
6,0.0637120057958191,0.3831993075276658,0.13774311699425074,0.29209870970537427,0.13774311699425074,0.172390956362855,0.11086796121297887,0.16461550563653038,0.013491744737266165,0.28979268347771053,0.05851710856858492,0.17582778298671356,0.955849891393699
7,0.14540334396345575,0.35180469518789204,0.15983781966920652,0.19724915309387636,0.09149264880596013,0.2672684402585855,0.08927124319077072,0.22162595799059326,0.0443300774290509,0.30211876302431495,0.036571748294119924,0.09302610909217425,0.8661862372948725
8,0.15827474772497202,0.3053440325296047,0.20079075642414773,0.2810081091457606,0.11574028434078398,0.27910335312904433,0.05600705781308564,0.22271755685589545,0.0630837019590002,0.15394483860715816,0.043535694526537924,0.12044986694400904,0.7251355144229448
9,0.08398707585041953,0.37460499619217513,0.12508144046883482,0.2727988616260708,0.07812267355669981,0.3019691910500945,0.09883350605034613,0.22168507243227414,0.06915180232051422,0.1383442659353697,0.05122019124332704,0.18420092327387433,0.987206621019717
10,0.1658322606371203,0.32305719494507945,0.08836704065677488,0.33165334155934234,0.09079876789757052,0.27765301795909536,0.12520610396861875,0.19784984829763858,0.07405684463949289,0.1820139808416338,0.04138463767682524,0.102126960920808,0.8287086890471951
