Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],Sum_of_Width
1,0.19014662107483038,0.24952286741991084,0.1911159480608701,0.27004853025391484,0.12791230101653478,0.2605480739038476,0.12220443466141373,0.21741308948767846,0.06643119004561998,0.1367896578718775,0.058233905219200056,0.1096333809843017,0.48791119984306186
2,0.17164136109711106,0.23162858471593428,0.12064412918289585,0.22557379817444254,0.11278689908722127,0.2089446124182267,0.11185191415255058,0.20245851144051463,0.16273163165215598,0.22069155634177925,0.08582059721522221,0.1452264045219455,0.46904693522568597
3,0.12667927462275905,0.2797329326617734,0.18822022298512345,0.2602088608776374,0.1398664663308867,0.24136471684948868,0.11108857332298867,0.25217798010477466,0.056004863168221064,0.15766120303696374,0.04526332060909933,0.14173158543028386,0.6657545579218436
4,0.16566411423996194,0.2520281715016684,0.18341925183928542,0.33392023442906704,0.08578301258831066,0.22941514687609568,0.11772471148428958,0.2222451172256161,0.058657844303734885,0.1532806631291073,0.041176129277360404,0.1566856031055027,0.6951498725341143
5,0.11075780995323009,0.24450525999166192,0.13586825226426116,0.26701702575245134,0.13191716533513773,0.29045664045148817,0.09288298087866893,0.18931449036100648,0.09681888015049601,0.22336734271926853,0.058624316000488765,0.15846983614184093,0.7462611908354347
6,0.15033136152914742,0.26427697036229086,0.15526084286265504,0.25740258430823115,0.11788720849622213,0.22799527056550836,0.1034130343894147,0.20627578782451492,0.08809232345409695,0.19879757056096806,0.057273258287483614,0.17299378735946688,0.6554839419619604
7,0.16620010720891754,0.29968457151254085,0.15347317227209153,0.21888057504197345,0.1425226599426136,0.2142026619538064,0.09598951830167855,0.21160870022775802,0.13765582792102973,0.2086539290297104,0.03339565859717531,0.11773261799070467,0.5415261115129875
8,0.1668589062256027,0.27134572480407265,0.2191073144189448,0.2806939020337402,0.12819838496588568,0.2457778954835317,0.09519723757820271,0.18012290216100388,0.07747798401384678,0.14365193242659824,0.058966988227566186,0.13260082766100448,0.5083863691399022
9,0.17690494943246549,0.26462470037995606,0.15266255809880647,0.24001126734322473,0.1544087401973153,0.23649986949735655,0.09914738797792744,0.22055221105973297,0.06908684625547284,0.16178566576224562,0.054265751812252495,0.1700500521832442,0.5870475324515201
10,0.1983281203805631,0.2755246607304192,0.1744966564473378,0.2365685234084092,0.13192228625131966,0.22709355168543668,0.1268469452934367,0.2098179580622425,0.07885617446946973,0.1806716281009433,0.03501936171960006,0.12485413345082207,0.5090609108765459
11,0.23162789275508103,0.2791504703264964,0.20116177024874823,0.27185335631572694,0.09871181539160732,0.17222597841562706,0.12651097874605924,0.210437587208175,0.07235489579590505,0.14411313731464728,0.06398934351067699,0.12786277397124943,0.41128660710384424
12,0.1678445101163862,0.25015561040926887,0.16094956644483271,0.2381582374540194,0.12422494974308096,0.23892851985634375,0.10739590069887274,0.2345490924866214,0.10017776657269772,0.2021590070157028,0.03685689663599402,0.13859994256617936,0.6051008195762712
13,0.16641482419925566,0.25183596970948524,0.17659495277300577,0.23390805819906227,0.10787193693929838,0.19464071621964074,0.17659495277300583,0.23390805819906255,0.10787193693929827,0.1946407162196407,0.04701818654950885,0.10869969127973562,0.43526641965325436
14,0.17144177698140492,0.245498561149027,0.1789717687980135,0.23612765489981805,0.14568137642097204,0.2339323102175935,0.11696615510879675,0.2605728116079122,0.06981726502823364,0.17660694812719424,0.03505009238564144,0.12933327927539276,0.5641431305538754
15,0.1741980661866568,0.2798217818980918,0.16071203168442502,0.227196878555621,0.10869108360098029,0.21445633747557083,0.15071822542649435,0.21807766060469672,0.055507438457016306,0.1239055135924368,0.09327392729936394,0.19344105521864607,0.5137984546901265
16,0.1876547589279796,0.22606542207943459,0.1876547589279796,0.22606542207943459,0.20817858370853315,0.2696309501754972,0.13481547508774863,0.19293708874371898,0.07915370444959646,0.11428256400854829,0.06943984528175448,0.10412142652977434,0.2662057472328161
17,0.23423048527474988,0.2833407790273927,0.1799066458196713,0.25958688111540734,0.12010916490601453,0.1913826228135959,0.11790372632823054,0.19506699510769224,0.07876879276755423,0.14874271265186237,0.05554371029085875,0.1354174838969702,0.42707494922584144
18,0.14429967443785327,0.333172855017562,0.15768696113037609,0.25794395544234433,0.11949758436678178,0.23776380149684417,0.08942403602320091,0.185771541638054,0.061094401457426555,0.16338623229942864,0.06574947903323407,0.18420947765689424,0.7244957271022547
19,0.21878955847077716,0.28818152300622696,0.11983952248561414,0.23642649209019098,0.14364401340848149,0.23164701871771434,0.1021786030454605,0.17337051266653467,0.08914961541038637,0.1678175848499044,0.07500630882477533,0.15394924702393373,0.5027847567090101
20,0.15619550886027458,0.2561048627570127,0.21876888229233968,0.3163978343960157,0.10041271146190933,0.22530334396223392,0.08665316890026127,0.20256714610349827,0.06468093264883491,0.17789156069487655,0.053977060897499506,0.14104698702524354,0.6386234698777613
21,0.19263184570874514,0.30059311098373004,0.16941636228808524,0.23190997300397062,0.15029655549186502,0.21922929237546984,0.11937942500308607,0.21471719509352608,0.06520288734920798,0.1291519471245676,0.07464040835192459,0.1328309972258218,0.45686503161417197
22,0.18827681288553336,0.2550499693471275,0.18827681288553344,0.2550499693471273,0.1001839572441513,0.20864860979333835,0.10646531249793945,0.25761646893853213,0.08332837777865863,0.1473672871060971,0.06416566959006885,0.1455707525858926,0.53860611423623
23,0.20916969501284963,0.29196742792456887,0.14019134088267138,0.23733650504609147,0.11014330276335287,0.24287754434529674,0.10442250718125157,0.2322775659865197,0.05880089652609155,0.1405257810942176,0.06980708403556396,0.16248034920152465,0.6149303471964382
24,0.15756338133884232,0.2615639151266705,0.23929335162565457,0.2950512323121848,0.11858322922414684,0.21494079412210185,0.10980448808118355,0.17960363900487378,0.05501071876977006,0.17151867088918896,0.047422620297212316,0.14964395920817042,0.5446444213263806
25,0.1661073636053809,0.2422501931451211,0.19210728397109464,0.26993472420535086,0.19048366247900983,0.2513585723162036,0.06531281906441987,0.19703294395118728,0.07891470586513007,0.16454458681811068,0.05008792889940755,0.1318652156795835,0.5139724722311142
26,0.16813689766423479,0.24014481541964341,0.15620387172167036,0.2337268657962848,0.15620387172167036,0.23560375111836765,0.08778811476790188,0.1796173988804256,0.11686343289814238,0.23810222234755243,0.0531084858936473,0.1345002717704591,0.523390650665466
27,0.2117380339804216,0.27350428688678435,0.15772843498979472,0.2767899047756092,0.10732922562018564,0.2586005133432466,0.05541645112824133,0.17745678297267975,0.08571000541669714,0.18872351511686092,0.048725205991915536,0.1582776397775632,0.6667052857454882
28,0.1881594290038632,0.23692249724519923,0.16740268122575228,0.2263337956272425,0.12414322817228733,0.21466243190653,0.1674026812257523,0.22633379562724243,0.0627199207790655,0.13000705721876984,0.07957554888462914,0.1763369330836663,0.42119302141730053
29,0.2955780191361554,0.33817173012695134,0.13565799134858783,0.18642919067571165,0.11628675982489249,0.19043837815161013,0.08790567573027525,0.18690661134311023,0.08982228781114854,0.16412290370191948,0.06847035312797799,0.14021009902165982,0.41255782604192515
30,0.1583016494896489,0.3462761100674194,0.13523451793037608,0.22822861279812953,0.10973765734624087,0.21036233864963472,0.07898545898459633,0.17248413491371203,0.09169618026219252,0.22742028580810528,0.056029667874094045,0.1852433858758503,0.7400297362257026
31,0.20855721064433697,0.27413791937423454,0.11143709874052671,0.2817580004051685,0.1408790002025843,0.2720383188561279,0.07212421726580327,0.18596702159163225,0.10427918865550183,0.18787927450677722,0.03932915942693991,0.12161359033036674,0.6467882501286142
32,0.16994500916558772,0.2309562267923304,0.19029700624993004,0.2591721837503445,0.1902963395832634,0.2371900895132623,0.1013736511898735,0.20354607799936764,0.06261281926206667,0.1091219491166703,0.07383988456692286,0.17164876281038058,0.4232705799647115
33,0.1433107286136928,0.2927400397080121,0.12498948864674093,0.233180891437333,0.1887058245490372,0.28648785909201896,0.10795329164659077,0.1931164327209496,0.049669283292984895,0.1526228099235676,0.056333086030291545,0.17089026433878043,0.6580765944413236
