Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],Sum_of_Width
1,0.11529120123818164,0.3477921410259606,0.11529120123818165,0.3480670961602712,0.0642010700224171,0.19940512513056025,0.06975401891549944,0.24987195362256687,0.04489377034809124,0.18590888229959746,0.03513958493806299,0.22438395506060962,1.110858306599132
2,0.11798865656227236,0.2711953761921927,0.06516690170760805,0.21294861664454304,0.06642423351272231,0.2439040706745946,0.06426245959903944,0.23070418760153114,0.09365609028427377,0.33376675971093617,0.05899432828113618,0.24098831922915048,1.067014660105896
3,0.0606773395332648,0.25054928930335335,0.10693654547746738,0.3330739878285145,0.07649744600329506,0.3020612492745719,0.0593511954377535,0.2932194075929928,0.018270732267145946,0.28260081161839434,0.015279617151209254,0.20148237851203735,1.3259742482597285
4,0.0930761382342757,0.3647138961019766,0.10285408931499454,0.3310927429727592,0.003357287684029965,0.28560558958503396,0.057739259281416204,0.27643566069721565,0.029723864916230646,0.2379473876099675,0.0067639424340876905,0.21069014116801227,1.4129708362699303
5,0.04842066125745991,0.31418422914231764,0.06318762884055959,0.26468741523192785,0.0642785819925404,0.26215525773710935,0.048420661257459946,0.3099791947132245,0.041783471190163166,0.28282159826936093,0.03083916958574957,0.269242130782127,1.4061396517521347
6,0.08250372342948101,0.26738596207157717,0.0745119336666006,0.31248841943431105,0.048222719157590146,0.35293609928103503,0.023863928940831954,0.3243195925004344,0.03956697509756734,0.23497472028857389,0.029507320835708416,0.2097186052962889,1.4036467977444411
7,0.0973152814343854,0.28088070978337804,0.09376368706893559,0.3103910602129366,0.08626450658708969,0.2776577029772887,0.05051859286070574,0.2562101222826842,0.07192863984514858,0.2594810044851916,0.009541622752028448,0.2060470697102274,1.1813353389034131
8,0.0950328121782853,0.2753071495404388,0.14081331560322213,0.3751291904337336,0.07026356850387327,0.24913154968422735,0.05221627501817408,0.21857542216502765,0.051699048568504706,0.19034348313235175,0.03520332890080553,0.24628485627135577,1.1095433024542698
9,0.10137033065658041,0.3029433918103536,0.08615857023813767,0.29639670274134033,0.08664535530002396,0.31213562620260193,0.04866591652629745,0.265864151172803,0.033790110218860026,0.2699896703675483,0.01566255243930466,0.18037762232614835,1.2554143292415914
10,0.12099067171394437,0.2994871401187136,0.10894023919797272,0.27531962786996195,0.07818677827036756,0.26360355056587237,0.07818677827036756,0.29276496742966784,0.04033022390464809,0.2340849173538755,0.015220898403908603,0.19288420690069974,1.116288820477582
11,0.15731878748124173,0.33879007593925636,0.13319991414064566,0.28911876948358295,0.061017561664002885,0.20423124876593682,0.08900033033903826,0.23073675181745135,0.03512126720371528,0.20037142360791768,0.03932969687031043,0.22176417268690024,0.970024884602091
12,0.09876092855913901,0.26777774756339606,0.09098723346419466,0.31012344975343326,0.06116487411372742,0.24620751105407324,0.05792965751569091,0.2661490743685585,0.05428152601517284,0.256693602577756,0.01163408622359613,0.27829030879126243,1.2504833882169586
13,0.10113899706763481,0.3092039826334743,0.1183907148376715,0.279898736887947,0.05597640783987233,0.21761357828257355,0.11839071483767145,0.27989873688794753,0.0559764078398719,0.21761357828257347,0.028692255069563126,0.21720588953319922,1.04286900501543
14,0.10472589519992237,0.3194118036675416,0.11032569356385742,0.34312078189349526,0.07877958326332465,0.24406465588758683,0.0551628467819287,0.2632060294996378,0.04082967443230895,0.19219050241286195,0.017574262139945798,0.2306082712575884,1.185204089237424
15,0.11355006348750982,0.2717735525119004,0.09567802604897467,0.266791835524704,0.060884726211864,0.23388234282037076,0.08957973119384303,0.3166495498902595,0.026555727159265585,0.24768490673267418,0.05283548852175612,0.22413404989687785,1.1218324747535735
16,0.14307469913917883,0.2711211754578395,0.14307469913917883,0.2711211754578395,0.15696693849448176,0.2518280742178463,0.10185726428039112,0.17905985426150126,0.062280955124366724,0.1825231632513354,0.05232231283149393,0.18476968834454718,0.680846261981818
17,0.15711215179918303,0.34280077661412894,0.11118983431770325,0.2590089926107722,0.07855607589959152,0.22458545281748918,0.08208481856933697,0.2503959548548486,0.05559491715885164,0.23765689316643868,0.028461006739767182,0.17255312545188908,0.9740023910311332
18,0.06900951594015876,0.2838990110032023,0.07319976364331303,0.29538822267268383,0.055291177582893564,0.2785059104509632,0.04633563443483743,0.28968225695230504,0.022308932758568233,0.31096399043869316,0.035456311116112096,0.23995927300626935,1.3967973290482338
19,0.13602820611503155,0.2844390923318288,0.07234137302641412,0.2091304963483555,0.08138525066723373,0.25333276904841623,0.06801410305751578,0.2849365982581001,0.05317117741013801,0.2705684414155184,0.03809239334378277,0.24856009897766493,1.1019349927597681
20,0.09049254277002851,0.31364273085253414,0.1123155366792443,0.3581112643749561,0.05104649105721702,0.254527926446028,0.036093569061321565,0.242631653489735,0.03450995678224249,0.22530280198028874,0.031121021397050034,0.25020450510935394,1.2888417645057921
21,0.13120118829234081,0.2593343133740511,0.1159174344502078,0.31716770530244687,0.09823231492661456,0.27259340286919403,0.060761746445594386,0.22695386562595082,0.03863914481673598,0.23983443275721902,0.0491161574633073,0.19024829367633744,1.0122640272103984
22,0.10993964052309307,0.33583940574363746,0.1099396405230931,0.3358394057436371,0.04150004500406371,0.223546752904202,0.06428793422582281,0.19394495436916248,0.04907292031147169,0.28513499094078953,0.03911946337059822,0.2118348463404289,1.1722807120837149
23,0.12091557371213461,0.38151533110493574,0.0675286356057636,0.2731974254899692,0.054251846090078236,0.23618140592616774,0.06045778685606731,0.2932395005541986,0.03376431780288179,0.23114716040466315,0.023402514761425682,0.2243985016917144,1.2793586503432977
24,0.08501295196660215,0.2372776376772774,0.14937924804094818,0.37840348886892483,0.07379249651862343,0.2902325540630051,0.06271299952222294,0.27862744989661314,0.0191448142904404,0.19678437683844693,0.022390206323315433,0.20624177599358015,1.175134566675695
25,0.09399443825455127,0.34505596574301123,0.12365209359805168,0.3346248759523742,0.11815641712819049,0.2919145954734528,0.017161411435993066,0.17846118243302514,0.04551608380499441,0.2180244791861579,0.02552416674659651,0.2079142902436012,1.151990778063245
26,0.09935226407270718,0.3406390438969149,0.08941862974792678,0.2575927247603376,0.08941862974792673,0.2888033289899924,0.042232207743567646,0.23738865356526231,0.0623555309092403,0.2369163153526478,0.0289025669003997,0.2269801043130765,1.1766403417564633
27,0.12539820816263927,0.37280097255728356,0.07786442392731918,0.2839475698705432,0.06269973950041008,0.2747061666733225,0.020118963259404526,0.21339761353408387,0.04557399354718016,0.28279094769322305,0.019579722984021507,0.22112167829056917,1.2975298972380507
28,0.12780679289169017,0.3021207782624701,0.11360970809520131,0.3147900207208186,0.07111884370939564,0.21061318866476636,0.11360970809520127,0.3147900207208185,0.04260226429723005,0.1623036033268642,0.04137135731352033,0.1852637139020239,0.9797626511955229
29,0.19845016552847985,0.3900397557811914,0.09187960780420121,0.27997849642992034,0.06988124736209457,0.21889326276175056,0.06048519405536991,0.19448008872221015,0.057342077014809506,0.18919561858607678,0.04465674497069935,0.20471774098319645,0.9546099265286913
30,0.08159892138640443,0.28164900473521615,0.07075069251262753,0.3116443788785777,0.05895680020480061,0.28719569595384437,0.03537534625631382,0.29448890257106036,0.03815655451567589,0.2908893419582132,0.026358608885928548,0.2229357521413373,1.3776061524764982
31,0.12344150729022325,0.38677878952753825,0.04231954093431522,0.22714503226069954,0.08076337802987935,0.30353402932843787,0.03424362816892074,0.24968410259387658,0.06172140930965718,0.29508598781785494,0.018731999448579947,0.17655059529001674,1.2775570736368485
32,0.10874693108186567,0.24554026325121836,0.1311324258994788,0.3050243455140857,0.13113094866911174,0.33352112741933854,0.054620524265856174,0.21123338142236145,0.04371080863315968,0.2360213630185657,0.042046036631974634,0.1572718441929837,0.9772246496371068
33,0.07039150797233797,0.29098414932356015,0.0590299199317642,0.2756764887730699,0.10099106182871415,0.3588678360125575,0.06509250709874354,0.3221882811553563,0.022486041564593145,0.18514180581733464,0.028865399804983507,0.2202850007169853,1.3062871235977274
34,0.1079257414291526,0.3355676331339836,0.04134574750883237,0.28779885088718965,0.1079257414291526,0.370820893069142,0.04229140963112091,0.19288754441213873,0.035975247143050865,0.2378220936384351,0.025072994369524013,0.21456610334827764,1.2789262369783336
35,0.14890160454586082,0.28291585729636604,0.10749364044675479,0.25772187679035075,0.10026328993287498,0.2606701168575383,0.08179518992462405,0.2473556377645172,0.03898286486052342,0.1859296488970872,0.04010531597314997,0.24786495671035239,0.9649161886324239
36,0.11328654817669645,0.29537838695243657,0.06880524124238764,0.2473230467069242,0.10774888291667911,0.3169563413035038,0.10774888291667913,0.31478627191268327,0.045603254347509836,0.168383464183356,0.019404634043441896,0.1945750452977018,1.0748051127132117
37,0.1485736443096878,0.3269951371771784,0.11492270597834955,0.2903012425715888,0.08831920169249126,0.2009424265284748,0.057877034846251015,0.26885265597354496,0.04952454810322927,0.24975435398589033,0.012008516847663332,0.19192853198565035,1.0575486964446552
38,0.08050703538430402,0.2481423958568712,0.12754811686960024,0.3289514004243165,0.0901552187407876,0.26096594092271697,0.05263111621617482,0.24895935015508341,0.06377405843480015,0.31876600585226733,0.023716814649738176,0.15588254649333946,1.12333527940919
39,0.09131156415146757,0.32275206753580715,0.07253052939807218,0.28722620575036545,0.08108210613627653,0.3514095437601059,0.044678196315723014,0.24068540240320063,0.025833281546904587,0.23399788697657997,0.020908496516729047,0.22758471950876782,1.327311651869654
40,0.10534602721961864,0.3020215503765955,0.0466076211119254,0.2873745153513449,0.06757128579962564,0.31704966495909825,0.05267301360980932,0.2684236531997994,0.045047523866417076,0.2337072997518703,0.04343540402818729,0.23074244072570843,1.2786382487288335
41,0.14669446455535637,0.34064866804545785,0.0621330205128494,0.18627776563633047,0.14669446455535634,0.3352228616859128,0.0783945168721311,0.23915311254669458,0.051809800871203585,0.2307351787456332,0.027153391518476816,0.15508275445459732,0.9742406822292526
42,0.11865891246969477,0.3199876764585377,0.0904895523122213,0.31574040696720357,0.09048955231222126,0.31180618593447146,0.06322285129897995,0.2388911065422306,0.050480965378711946,0.2243916306886137,0.02984493558602663,0.14599622405108728,1.1136264612842885
43,0.12375400650360993,0.33211208733023473,0.09343491794067925,0.2937362328219211,0.0717816361477386,0.2855234804503738,0.057596002056081855,0.31961735192875695,0.009640462533033417,0.22093256519048962,0.03304874809554099,0.1588225090015399,1.2214884534466321
44,0.08903617792961481,0.2503101276817799,0.12026383540614302,0.3106628824345743,0.08672824425043205,0.28084834036208456,0.0867282442504321,0.31551912228971746,0.026116684351874305,0.18494743871211983,0.0317295791920683,0.21710932313915934,1.1187944692388707
45,0.0791329148475955,0.3133179304826575,0.0640695148529665,0.3131081380005414,0.02975903192493646,0.28425689308118635,0.06319214519181049,0.2867455522873475,0.0358898038753327,0.24697513614385067,0.03495508311450648,0.24859785619726857,1.386003012385704
46,0.08115439561690783,0.257530773663137,0.12271171310019305,0.3393767445049175,0.07830943285500165,0.2824457249430059,0.07616008747287419,0.2974022636914744,0.035739896719839265,0.2531215814061969,7.292342190869287e-7,0.1760466567922335,1.21184749000193
