Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],Sum_of_Width
1,0.2077302170560462,0.221531568687259,0.210144543945847,0.256102834436191,0.13715417797575447,0.277622106538844,0.1319444446712349,0.21406076121177434,0.0671615287132442,0.1371541779757545,0.064025655073861,0.07536798371418942,0.3636788651280245
2,0.1860557163440627,0.2382597178588424,0.12583461100685758,0.2384751170335595,0.11923755851677971,0.1961676036905964,0.11912985892942118,0.19426717118597767,0.17765468487379768,0.18605574040612993,0.09302758454448097,0.12583463560949423,0.3581199715692003
3,0.13427290904741748,0.30734003310089236,0.21518158872986973,0.2479692273516846,0.1536700165504462,0.2284843400492712,0.1239846136758423,0.23341714853070128,0.06522628727510302,0.10933155502925827,0.04684937161209592,0.13427290904741748,0.5216304262184506
4,0.19054067103003355,0.21841654683010936,0.20376973748927715,0.3499665666543461,0.1076851910620747,0.20376973748927718,0.13037528952914013,0.20863512242909255,0.06873494885229704,0.13037540365046435,0.04568322048944506,0.1420475644944429,0.5064218830954649
5,0.12288498705584779,0.2150716592304982,0.15329434030131694,0.288621899589168,0.144310949794584,0.31985185717674086,0.10682853136707533,0.15329434030131703,0.10661728572558028,0.20025734245267476,0.06451029531505008,0.1244565116901467,0.6031072208810913
6,0.16804948615625162,0.28845496038934265,0.16638781914353684,0.2524822412923598,0.14344807968986084,0.17418963034047408,0.12405462175338829,0.16689518045274795,0.09615162612126738,0.1907770028612812,0.060666513314676505,0.1684428384848128,0.482483707642037
7,0.18099537908890787,0.31481235294690185,0.1751918044356089,0.1872174694444231,0.15497451570552054,0.20024904432260038,0.10470301162033703,0.19693253753830386,0.15038587017436036,0.20940602324067406,0.034634271615598726,0.0904977198667634,0.39823029471933324
8,0.17862166517520853,0.26980746551224954,0.23692960974186708,0.2583522334171988,0.13356069609339177,0.2558304532889479,0.10135512901449555,0.17862166517520853,0.08501001426147758,0.13679370707604127,0.06292651981257923,0.10219084143133424,0.4031927318019606
9,0.1904589680660745,0.26191148981975076,0.17178084411711378,0.22709161780519252,0.16609879410671602,0.23527340958619725,0.11354580890259625,0.19905162296506895,0.07842446986206573,0.12512514994647592,0.05945698070563444,0.17178084411711378,0.4404682684795985
10,0.209458674835855,0.2857773823697424,0.18662640162908084,0.24610824507145457,0.14288867721789608,0.2125653708357033,0.1388638498920153,0.18879827042990593,0.08203608169048486,0.16368923058661894,0.038036234756529445,0.1051515806847133,0.40418015995627693
11,0.24870701248514135,0.2627976793975892,0.22615842207188927,0.2600313096526291,0.10892777217760231,0.16195008151963067,0.12735843911706227,0.22615842207188933,0.07531059786307182,0.12911498263041885,0.06455749131520948,0.10892778969786628,0.29796052994004696
12,0.18337136010225333,0.2680819380482406,0.17580437568568438,0.23399725542025177,0.13404096902412024,0.23884460282085573,0.11699862771012592,0.2259326125567763,0.10867598523552773,0.18415855799626016,0.04117049730351945,0.08892321809638455,0.479876369877538
13,0.1756325430130976,0.24745215354706784,0.1872006218630962,0.2359451188842876,0.11500582351617651,0.1877635844895005,0.1872006218630962,0.2359451188842876,0.11500582351617655,0.1877635844895005,0.04949043070941358,0.07559457522429926,0.3409282710378867
14,0.1946092335260953,0.224929377312547,0.20563777451411455,0.20563777451411455,0.15653730133386135,0.25089553370993234,0.1254477668549662,0.2531977843469858,0.07497627385197525,0.1740035818750791,0.03421543455746719,0.09991216360286148,0.4171524307230405
15,0.19085849459343893,0.2922573382125607,0.17467902225473797,0.23224530835204207,0.11612265417602104,0.20728849353788695,0.1649897904635418,0.19085851634878845,0.060577009032572314,0.08733953595328421,0.09741911273752023,0.18536472433760534,0.39070783348433547
16,0.1951053424009331,0.2172507673550987,0.1951053424009331,0.2172507673550987,0.21723361469584537,0.27895725729816134,0.13947862864908067,0.20067405049828738,0.08307545154508429,0.09755267120046655,0.07241690725144341,0.08589919934956729,0.19516942611336002
17,0.2519829545966511,0.26999117781623966,0.19149538022529408,0.2662912465245301,0.1283547329153395,0.191495478373271,0.12810494996746083,0.17804505423052008,0.08439772044025941,0.12486382158355615,0.055569625602451184,0.12940785772442673,0.32018927250508766
18,0.165324150241677,0.3472858800058378,0.17467013099514364,0.26679233978544464,0.13339616989272232,0.2343460608228958,0.09494352306430648,0.16532415024167701,0.06928051529549663,0.10512858865959741,0.06883836000005748,0.17467013099514364,0.5870943010211928
19,0.22679997475639183,0.31975557022580847,0.12517622636363276,0.25634462158341476,0.15987778511290426,0.2311660998952013,0.1119154106978391,0.1331869925615223,0.10182665471995504,0.13062181902909245,0.08473602682409132,0.11859281823014635,0.3793358430503713
20,0.17473532469288985,0.2477891474921368,0.2477891474921368,0.29912407945404546,0.11119870401160482,0.22012766882621507,0.08901283845030498,0.1896487664241889,0.07132264156170944,0.17802567690060997,0.06002730068255319,0.11119870401160482,0.49182808621760193
21,0.20678380324744447,0.31696431579902257,0.18478273001970244,0.20678384640798397,0.15848215789951128,0.21621102759834024,0.1286870530218101,0.20965994967780646,0.07111044065805507,0.09552790732833423,0.07631971532017902,0.1286870530218101,0.34766819966659523
22,0.2125981607132498,0.23164747739131497,0.2125981607132498,0.23164747739131497,0.10710992299567772,0.21506016221055493,0.11582368964332768,0.27653238084932114,0.09632905231306517,0.1062990803566249,0.06913304756710228,0.12522138785519663,0.3728159321086551
23,0.23572295570653315,0.26266292072488623,0.15021606411006205,0.2385058586939931,0.11844615454071727,0.253824560402044,0.11827826532004437,0.21030011075430832,0.06409241299501135,0.11931519407685802,0.0784190879528477,0.1502164147226944,0.46965011874956814
24,0.1630066332807576,0.2828550191268754,0.2666184526342618,0.28391246357591804,0.14195623178795905,0.18229116400077247,0.12195505400620761,0.1484030959226044,0.0601437115240008,0.16513617213017487,0.05128428244843114,0.13243771956203684,0.390071268636764
25,0.18230084066426114,0.2116424037403907,0.21164238934849808,0.2575186876984959,0.20590953473728413,0.26479385987161785,0.06575775469999742,0.20646651555975382,0.0858395390936612,0.1489462642284727,0.05170560331979459,0.10747660703777255,0.39368867627300697
26,0.18862429207201858,0.20503641028670183,0.16886982298147798,0.24877893350445543,0.16887006594454865,0.23342518818166746,0.09227991443512097,0.16887014572344672,0.12438946675222773,0.23795306649346323,0.05657642160419824,0.1063262720206732,0.4007800324208157
27,0.24363452103624716,0.2511822742406041,0.1687887287008948,0.29557170637911173,0.12559110945908372,0.25864264697330924,0.06242186719751757,0.1687887468769189,0.0961061832274091,0.14809731073375101,0.04837755346836969,0.13279735170678286,0.5101600738209557
28,0.2066184892967281,0.21498369052642122,0.1774908953291322,0.2066185144578402,0.13297477098120195,0.2164324985380096,0.17749089532913218,0.2066185144578402,0.06413934375527931,0.13297477098120197,0.08616672101808091,0.1774908953291322,0.31023776858089075
29,0.32450310178549724,0.32450310178549724,0.14825961039374116,0.16225155089274862,0.11954245602598947,0.18938375709470814,0.09267785694132052,0.18874908045496452,0.09437450883226582,0.15922513235537247,0.07698738741190536,0.11954245602598947,0.2873101572185609
30,0.18178663857748179,0.3708496318502434,0.1565268327801701,0.21375590020429172,0.13698142607363176,0.1817866657219459,0.08417681668164734,0.13732368732928865,0.10687795010214586,0.19872501682268814,0.058135282508607035,0.17307415134785822,0.5510301065526322
31,0.24005120640497743,0.24005120640497743,0.1123857078785979,0.30943324479577305,0.15471662239788644,0.260763632992115,0.080003535977006,0.16814119707858619,0.12002560320248871,0.160007071954012,0.042035162569506644,0.11238580834407329,0.5015643231390738
32,0.18529906844140195,0.23046655599028845,0.20767666478633015,0.24164643223690097,0.20767659676039937,0.21123269641528672,0.10610936474669881,0.20767666478633015,0.06905522995178305,0.07220439282828087,0.0756572372595964,0.18529909579670326,0.29705167610758065
33,0.16106927204040286,0.29811210556819173,0.1441369406046439,0.22610562445385182,0.22610562445385182,0.2538035381401629,0.1140343309238533,0.15943337782555084,0.04562887772196202,0.16106929343760337,0.05962236510643761,0.15087864972348786,0.498805178297697
34,0.20608060332701214,0.3086297258168665,0.13818007927069,0.20608060332701214,0.20608060332701214,0.22015401799277912,0.0901951509361855,0.24350184397033534,0.07795139186511635,0.16281242068625892,0.05013826592113279,0.09019529355959903,0.4627478107057021
35,0.24380463318231538,0.31513550404568613,0.16886057678739255,0.24380463318231538,0.1575677520228431,0.21344337185437035,0.13243848067504163,0.17290137988556134,0.0681207449918945,0.13456513532286632,0.06109046606710202,0.08826732198261115,0.3362346925468215
36,0.19234506046946953,0.25278079379915647,0.13585686030864,0.21218773179575978,0.17665345930067353,0.20251726861650543,0.17145457688411234,0.19234508203899756,0.08426018162828706,0.1803679388480918,0.06337418600166633,0.13585686030864,0.3521113508143022
37,0.2558286329847723,0.2910813270106018,0.19349810844865056,0.2632835421216097,0.142648869623378,0.24510812233156612,0.11218205944259574,0.1279143479058832,0.08776118070720323,0.14264886962337794,0.04071993165716613,0.09732500814319521,0.334722434272468
38,0.15117727820959467,0.2480529338222647,0.2480529338222647,0.31326009375671443,0.15249312491293907,0.19884833446507133,0.10632908725368495,0.15779910870790467,0.12191762227358327,0.1529714055399878,0.03976963848453829,0.10932843875145216,0.36052063008679014
39,0.21473940412156198,0.3449138252187091,0.1662106554322744,0.21473940412156198,0.16713034164147,0.1763823356890941,0.08775740877551404,0.20124265276148087,0.06495605805699896,0.1842314474897089,0.04778424525775804,0.12991222143386782,0.5028437734288453
40,0.20116449185745652,0.2882982926366151,0.14511138292373885,0.21534520194683113,0.14178245280190147,0.18014649049568313,0.10032649234756554,0.15575048151943252,0.0878067239284885,0.187677219407117,0.08980578920832467,0.2067849809268456,0.468005333865049
41,0.2322386934585421,0.24997199154386215,0.10369478656447832,0.23616855037677623,0.23223880790177429,0.2656974321860317,0.12498599577193108,0.18340368538461396,0.09022896013641397,0.12401050219975375,0.04982349517037315,0.1075370993054493,0.3335785219929742
42,0.2033855246656494,0.25207170727567746,0.17102520858380701,0.21748091333486838,0.15564647736441198,0.20338552466564938,0.11190195922113189,0.1732812328817881,0.11709303309551129,0.2290345233588819,0.04860086245711176,0.11709303309551129,0.3846938692247531
43,0.25622158829824576,0.32021988303622384,0.1741505002932254,0.276724848138504,0.13376500860276405,0.18453123141485414,0.11096579416507368,0.13413649671971586,0.04297925010884763,0.12811082048769803,0.06404393996749917,0.1741506387673484,0.4357478371286886
44,0.1520931935072996,0.22613308658662737,0.22613308658662742,0.3094189396488051,0.15241770731657747,0.24039325707608236,0.1517132680257555,0.15279767138189027,0.05641475694895446,0.15809473009972144,0.059199595978817084,0.11519070684284198,0.404056783271937
45,0.20108937139912073,0.2616472195754928,0.1506520119536461,0.2501745177075301,0.10111304461725108,0.20108937139912075,0.12508725885376504,0.180527433748186,0.090263716874093,0.21298969355695152,0.07099652399338877,0.15436983632145423,0.5215961446174707
46,0.18845382019655502,0.2943600525426856,0.23483593845721704,0.27378725980197965,0.1471800262713428,0.24007822569187573,0.1357744042325303,0.20922622889907747,0.06810848779963181,0.10030509901291991,0.013663546995907277,0.09422691009827751,0.4239675520936316
47,0.2193421574322808,0.2284606693020423,0.17370614202480003,0.23812607781235853,0.15031335247297828,0.26478426020410756,0.11226371720853189,0.1711274462026192,0.08494246607107013,0.17370614202480003,0.0661960650510269,0.1170315041933842,0.38647219947862377
48,0.16002036935251643,0.28223503108978437,0.2323426570044835,0.23819159467499137,0.09219868559413062,0.17753551783516267,0.1395243192902698,0.24754627199639065,0.11813706079890955,0.16167808359746674,0.05839172317176366,0.09219868559413062,0.3987703695758529
49,0.1494229652850259,0.3127829445835754,0.16221242171592995,0.19281730248938303,0.15005040971940284,0.1812379624790873,0.08663878898288546,0.1494229652850259,0.15412927489688033,0.20193429826106504,0.09487606978398931,0.1644745965177495,0.40534013923177237
50,0.16099851579445537,0.2572962504145942,0.17340269226857016,0.3060753114424117,0.14193789981802327,0.20004492334158674,0.12088994438096252,0.1734026922685702,0.09838031214197653,0.16099851579445532,0.06121499665872038,0.1453579456756735,0.4863512778745834
51,0.197693681300694,0.22695416709441404,0.1998899754355092,0.25550982661789384,0.2217213545026311,0.23751844957613835,0.11875918956330307,0.20276058280358145,0.08183978273838112,0.12844361731500703,0.028964368580567338,0.09994500447187944,0.3022632957578283
52,0.20404473171473556,0.2346285220307001,0.18873784740028984,0.22055774787487692,0.081365951275208,0.2819705624139232,0.0773999993134319,0.16273197364113645,0.10730288197311771,0.15746475839491764,0.06760150919644997,0.2161935147712127,0.547094158253534
53,0.13747927865564152,0.24390276065277597,0.1964139688044704,0.25588669624113125,0.12195138032638798,0.2761258103038574,0.08473254584317491,0.19863821145921734,0.08529549199098696,0.13747936738314584,0.0852955400753887,0.17679894826382178,0.5776635886078991
54,0.19332419438896384,0.2975263606053687,0.1750471507902368,0.34155932929856353,0.11843613024600956,0.17504715079023678,0.11762453487041065,0.1457108840487018,0.0671499081671423,0.19332419438896384,0.05455927223989212,0.12069089016550993,0.5477176185946894
55,0.21644907855382103,0.2576047693546077,0.2462566315884973,0.24928397789589732,0.23062595552899987,0.2499839408362591,0.08461905340082325,0.13661415844486657,0.06672355120862832,0.1153129973220683,0.038301346588620645,0.10822453927691054,0.23404876626121912
56,0.22611552139578062,0.23047292294978183,0.23047279111345476,0.2393217723032687,0.1522419484378866,0.2570973703636325,0.1152364614748909,0.21128345543213842,0.04740463318395938,0.1522419610791592,0.042256571281734934,0.09585459098431204,0.3725441462245855
57,0.2530984565574277,0.29948193319602,0.18848396440196355,0.26936697839313245,0.08841520499088575,0.18922391030489638,0.14974096659801003,0.22167015560568096,0.08569958431442866,0.11648392455614846,0.04795400729353583,0.0903809137878702,0.373215631687497
58,0.201253652547108,0.2882583357919412,0.1607298642128818,0.23377729724984153,0.12442472517893778,0.16072988028631166,0.16072986421288174,0.20125367634341895,0.07792574126500067,0.12846422751389272,0.09608611193064709,0.16636662346713676,0.35770008130508574
59,0.2157706786800536,0.2622544594807564,0.17926927958057362,0.2596727801048448,0.14120471977983004,0.21577067868005353,0.10102317734552853,0.17926927958057362,0.12824331133315067,0.16607678338199774,0.05042167470710901,0.10102317734552851,0.3681343171475091
60,0.2505737360813983,0.2551905675809925,0.2111599674476398,0.2524021558145328,0.11501515061244855,0.25863233989025336,0.12620107790726642,0.16998515862390706,0.056621822562139414,0.12528688483548486,0.05172645270594217,0.1272046859379946,0.3774035853663305
61,0.2011287862959735,0.32467307282903035,0.10590301613457231,0.20115854395330554,0.1552417569844803,0.17211760086266548,0.16625336672082577,0.20413674199379508,0.14799306548289695,0.1662533667208258,0.04923766588705666,0.10590301613457231,0.3484846849883891
62,0.2303703755032033,0.24639569459861707,0.1477422166443174,0.2566361700042543,0.11759290809999155,0.1561651055258854,0.1176781525561504,0.2734198627286933,0.07861373643036923,0.1552315566622309,0.05468389372490181,0.16547032752138544,0.5066374340821328
63,0.14138696044612892,0.1710431994263184,0.14204785360724093,0.3109292720854453,0.1703823487285495,0.23467716756127835,0.14190226885916746,0.17898709918214115,0.10364309069514843,0.20817263596764668,0.054780176123391554,0.14204792731754323,0.4917146030807464
64,0.21152834057089262,0.27837890216904637,0.2024376085976577,0.2455162276752185,0.11972320678494042,0.24226610886256303,0.12113305443128151,0.2512509742598393,0.051045123653905324,0.10121880429882886,0.05388683011744693,0.12161481857837937,0.480491671687751
65,0.24116689432724844,0.25877909527769355,0.23153918665138742,0.2743541877291618,0.13313347663910102,0.24710973380496157,0.11388839788080395,0.12764235763913165,0.06361795309334511,0.11695498777668406,0.050576279820659625,0.14123744935982177,0.3321556231749088
66,0.21283126337406708,0.2597008751237012,0.12704860554534508,0.2176901354468271,0.21710103767173905,0.21710131569270485,0.12238221876402162,0.24191174482031508,0.08656695837456707,0.1332603478162024,0.03735689182516413,0.12704860554534508,0.3934260488901918
67,0.16006977278976275,0.22293115900867855,0.18414470156270815,0.24644219749880822,0.16703182343101372,0.19166831047954244,0.11146557950433929,0.20032298339037147,0.08214739916626942,0.20659751002743554,0.049515477674015186,0.1776630854670553,0.491250491743783
68,0.1529123990639327,0.3075700789404717,0.27520936734194273,0.280696195272118,0.12230819106773673,0.15628163405710813,0.13163208124932022,0.16983604591199283,0.07013580813930376,0.13163210046161275,0.06151397146051827,0.14027212703394223,0.37257636335449124
69,0.22295181078123663,0.2675997613038687,0.2244583099428362,0.29169985883443805,0.15732971666730772,0.2244583099428362,0.09171291395335078,0.11820614788953941,0.08760956055343853,0.17781322899433985,0.04286240669093159,0.09329797444587633,0.34615056282179707
70,0.20777957748210965,0.29949043260756814,0.17035370257226354,0.22558068640159293,0.14974521630378407,0.24214659566757235,0.05902255116695098,0.21298382420571219,0.09517793363648881,0.17095927599953012,0.045999481469426895,0.12076072248700032,0.5438430747379521
71,0.18973732003169774,0.2120348918890561,0.17955482145179658,0.27985247985201206,0.12892699543690112,0.20126819317474356,0.10063409658737178,0.2238608029712824,0.10601744594452805,0.17955482145179658,0.06945399254847329,0.12910413866034084,0.451350655998463
72,0.1727036243199559,0.353066621657614,0.18999377383765878,0.2740341465136251,0.11521179361469651,0.12988277235136153,0.12422461666072193,0.1727036243199559,0.06680100838506862,0.18999377383765878,0.05884427944065523,0.15253996506102768,0.544441807482486
73,0.1536513708454222,0.31012646919233927,0.18218321322520512,0.2606624021191219,0.13033120105956095,0.2302615290602222,0.0874127904967867,0.1536513708454222,0.09808011954466493,0.16358730476331848,0.04786901562273107,0.18218321322520512,0.6009445784112583
74,0.14049254202480976,0.3079323710902,0.24892816886102098,0.27936890033653494,0.13968445016826747,0.19505968171447238,0.08571943054259092,0.14049254202480974,0.06651461025666085,0.08896261165428938,0.10264412369673333,0.20420056762961025,0.4320333488998334
75,0.23408435479045467,0.2416620204492477,0.1643819171546553,0.23648083421464902,0.22330587764082666,0.2343504575251565,0.11704216746253536,0.1467855603774695,0.11465355851397308,0.16438225948473392,0.047751795236212737,0.07511919715008546,0.19756065840268433
76,0.21086829172907431,0.27915074283389757,0.17513198476614655,0.24195221394403912,0.10299897030672776,0.21086829172907431,0.13766611626941125,0.17513198476614655,0.1209761069720196,0.19315211775833263,0.04828800139603024,0.10381517752910004,0.4081410571211805
77,0.18817786168297504,0.25562887333047296,0.24776198330595922,0.27208865360910117,0.12569212345645175,0.19401543056894696,0.0940889308414875,0.12919823302812272,0.09335903873537438,0.1279374979062423,0.0838735118518908,0.188177861682975,0.3340931002517224
78,0.2267544817966011,0.3217510223439095,0.16272056120981673,0.22675468487927541,0.15908969776742235,0.17697092934328248,0.1590895934495446,0.166961310022313,0.10067409574900323,0.1798011694847327,0.034559631586462865,0.08487282236763612,0.31422387688229836
79,0.20911894923656646,0.23946185454732358,0.20911894923656646,0.23946185454732358,0.13092165281661153,0.21413687920049873,0.1854270236549254,0.2091189492365664,0.05933789433110692,0.13680827066169615,0.04789229854515744,0.11919542398565741,0.31636646435813165
80,0.20545441261682698,0.2926974760772692,0.14392846374578702,0.2783468077889838,0.15091471098278222,0.2064088352721004,0.14392847563952413,0.15749882990105205,0.1022642055110501,0.15333497338189264,0.05441271516364574,0.1108100939190858,0.39819403268076764
81,0.23111444642529624,0.2883476895926724,0.2358222317535924,0.2358222317535924,0.14417384479633616,0.24458345295595843,0.08952225543871917,0.15632496437941154,0.07816248218970578,0.16475910229369523,0.040918454521816645,0.09044884389920375,0.3605725697490673
82,0.19605680194891728,0.30045561702258794,0.13089305734335066,0.19605680194891728,0.12805682294405976,0.24526140895930418,0.11667999939987446,0.13314233792704064,0.08175380298643473,0.2637205164870157,0.07511378140946413,0.1328090516230332,0.5428914679357979
83,0.2671066024684993,0.2728284311522334,0.1627819321251912,0.2750626345940191,0.11788349262966391,0.13355331593835315,0.13355330123424966,0.1697257675079427,0.1230109895816834,0.1627819321251912,0.05329682600256099,0.12841477464041215,0.28473371191630314
84,0.1756455701711195,0.23771750643928657,0.23206696421172668,0.2590976229596727,0.1343547707924043,0.24336341482650173,0.07975529680652098,0.1756455701711195,0.07923912475856339,0.18744962237582397,0.06130964298011348,0.13435489350714716,0.47525726055910333
