Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],Sum_of_Width
1,0.1301858455683155,0.22807850890290007,0.19187697910774706,0.260371691136631,0.13910215140038762,0.2708769792098507,0.11754259723744098,0.20817521176533316,0.09118069836910757,0.13910215140038762,0.10331426370610397,0.12019292219579494,0.4535949292217948
2,0.136806156287096,0.18802078400636044,0.14541487279628132,0.27361231257419194,0.11797845813459606,0.174412691519839,0.16590301209267017,0.23928090430241167,0.1519978530557557,0.16821022358856874,0.08392868920099579,0.1544340424412331,0.3959419168652099
3,0.15547414358240352,0.30523100854669194,0.18794233640895977,0.25330681451850356,0.15198355250825632,0.20116714997640986,0.12657357706109792,0.1911111397324474,0.09227799497566712,0.1028122500618066,0.07664588904535191,0.1554741435824035,0.4182050128365262
4,0.15428945463876614,0.2741801112714333,0.2741801112714333,0.2834771562000396,0.11598395665540441,0.16336639210743245,0.12997980793926123,0.18250236718419205,0.08792451960117839,0.12997980793926123,0.08815235853619309,0.11598395665540441,0.2989795827155265
5,0.14613068495199005,0.2136438901089444,0.14010681771239303,0.28073892094161357,0.13400217748474724,0.27966959528550017,0.10447363175646587,0.15267233612481854,0.1352724646052682,0.18666833720753356,0.07767142550661628,0.1489497183141092,0.5246855959650387
6,0.16029772056065783,0.29032948463004377,0.1642283627298815,0.24215218148723905,0.1465770850687579,0.17159980622547835,0.09677649487668125,0.17360731809429866,0.11193680473823657,0.1798532912693941,0.08876354435026329,0.1738779059690681,0.46283997535104365
7,0.19781448116931485,0.31419756944744265,0.16181337555553912,0.19901474572247704,0.15709870139038798,0.16181337555553912,0.15709870139038798,0.16181337555553912,0.12362391733734777,0.16192142742559315,0.08016641211308352,0.12362391733734777,0.24476882208787762
8,0.17366175808814613,0.26556973805124096,0.21830307022298984,0.22864756309450113,0.14270380727712023,0.21830307022298984,0.10685154712876457,0.18158773705391165,0.08852324601708032,0.15237314618450992,0.10915153511149492,0.11432378154725048,0.321610072308808
9,0.18839314470555427,0.2712697868431919,0.13563489342159596,0.28287535545636916,0.12400921629676243,0.19551253030373655,0.11651864337806497,0.20820899980125632,0.0965799551630597,0.1258089894851066,0.10410449990062816,0.1510839852446739,0.469519294268669
10,0.1484310552864802,0.34245572168691035,0.1626824086538342,0.29686211057296047,0.13235764835803934,0.2018701775130586,0.1081567463018401,0.18441859250329815,0.1081328873309633,0.132357815024706,0.06729005917101955,0.11498477759688966,0.5458983897956465
11,0.2398340270436342,0.2570780085735721,0.22544832833632691,0.24676763518427705,0.11959063844192386,0.12886537936667913,0.12853900428678605,0.2283862472257701,0.08192889220375477,0.12436480264728006,0.09825111837391384,0.12094591831608162,0.21281598262732043
12,0.1724087639796039,0.26211330792049314,0.17577132147715596,0.22456605262582913,0.13105665396024657,0.23465695439890094,0.11228302631291456,0.20458336977281008,0.11422550021810829,0.2054357541698254,0.0691391241835046,0.09376017098060735,0.45023121973693214
13,0.16831718468738158,0.2176097290569424,0.17729855497268138,0.2241520509903937,0.1118177727952806,0.17438566701787928,0.2156373716136866,0.23247577434027353,0.11014835863802655,0.17772319463706102,0.07253657635231413,0.11789776489807914,0.28848836188125826
14,0.1331161213166065,0.22643896307011785,0.18902815918835444,0.266232242633213,0.15681673191381096,0.19808602278030524,0.19808585611363858,0.1985706699839173,0.099285168325292,0.15688868732768607,0.07840836595690544,0.09904301139015255,0.2905191943707841
15,0.18978516340698387,0.2439676608128593,0.17128548872630323,0.2369844644068005,0.11849223220340024,0.20417117741634142,0.16605087963814558,0.18978516340698387,0.0788976330655616,0.11081644169824809,0.10615322133995836,0.18361047387841362,0.3386707632392939
16,0.2044179201496412,0.2451395384210774,0.12256976921053872,0.23212632660989188,0.2044179201496412,0.2451395384210774,0.12256976921053872,0.23212632660989188,0.08819646157892258,0.10754998402992824,0.08819646157892258,0.10754998402992824,0.33926339624359003
17,0.2553109461153246,0.2713905006709431,0.1840238984405151,0.26293994871170845,0.09891746053395653,0.18402389844051512,0.13032019630807734,0.18582028278259177,0.09046350022364771,0.11601190625724617,0.0918684050985812,0.1289090564168928,0.29819118655979493
18,0.18921404384570228,0.3577943205260763,0.1486927560081876,0.2507694725857166,0.12144639747783492,0.19605478784439984,0.07090225582526372,0.18921404384570228,0.09779794669960173,0.11897866183524466,0.10961415520108936,0.14952115830518087,0.5246648898846409
19,0.14325423051786412,0.3182515426785276,0.1275038101570548,0.29876244307155214,0.1574772817201164,0.23823096756872922,0.11578437482704139,0.134365059584235,0.11578437482704139,0.134365059584235,0.1004364806365617,0.11578437482704139,0.4795188946286405
20,0.17417816156989407,0.22554677208897972,0.22554677208897972,0.2790716963804019,0.1239709184754598,0.19777152992834843,0.12397100180879317,0.19777144659501517,0.09741292224611761,0.12867292828594618,0.09741300557945098,0.1286728449526128,0.31501443646260885
21,0.18422191234845542,0.30751782227907487,0.1582503070860129,0.19973356536595177,0.15375891113953744,0.2056601533655208,0.12487621494942946,0.19872228151016585,0.08606318424293674,0.1264555781652348,0.09648976246166746,0.1582503070860129,0.3926794155439216
22,0.20828276324533307,0.24573934114876705,0.18449414190710425,0.20945050749206265,0.11753375927225132,0.2104658248895164,0.12286967057438353,0.25081423951210163,0.10414138162266653,0.1228696705743835,0.10425898336044506,0.11907971640098508,0.3168386000356326
23,0.22638096247126027,0.22638296247126027,0.11206175258473826,0.26572033686053065,0.12716435685005104,0.22917568759414444,0.13286016843026532,0.22920578409848996,0.09750166931794851,0.12716435685005104,0.1131899812356301,0.1131919812356301,0.38168221822021303
24,0.16517141392361304,0.2640501385434607,0.2598149304661269,0.25985832956787625,0.09211766175752617,0.19453426422709308,0.10580164659535303,0.18423532351505234,0.11333562313037347,0.16517141392361304,0.07907707063983019,0.1168321837100818,0.3693633069743544
25,0.19717443778735771,0.25568307813915137,0.21485614488901392,0.2321417891282049,0.12784153906957568,0.22981579660605417,0.11381436452183569,0.20789240573747775,0.10742782244450699,0.1160711445641025,0.08985340466821223,0.10742807244450697,0.29806457323899543
26,0.18366040418027718,0.2241006475282879,0.13401736643152645,0.24242183034746473,0.16710562206925195,0.1937926197789151,0.11205032376414395,0.17807241819768257,0.12121091517373236,0.20928467987852126,0.09105279978649704,0.14323037286369925,0.3818051371891419
27,0.26924801146715316,0.2801949468442477,0.13240887932850062,0.2335402748433106,0.11066519491872513,0.24498343339688833,0.13462367240024314,0.14009780675545708,0.08264634081792072,0.13462400573357655,0.08166114446562944,0.15530628902834717,0.3774935132036553
28,0.18413808400806844,0.2597760111268569,0.17705795761764284,0.18413808400806844,0.13438794710284374,0.1912162103984938,0.177057957617643,0.18413808400806844,0.08423262824547714,0.13438794710284374,0.11241113114635073,0.177057957617643,0.2614285885239484
29,0.3147290257594841,0.3159603508612557,0.14701087939685842,0.16624299240638712,0.14638207304085005,0.16964119785146148,0.08482059892573074,0.16462590129587587,0.10445143610985831,0.15363811177664483,0.08280157667818364,0.1496958558974099,0.23960882017806964
30,0.16379104324165306,0.34091022645429214,0.14072548335774082,0.2260269610029897,0.14372244916763935,0.17668570530056707,0.10466539792127157,0.14593753749059407,0.11301348050149485,0.17801705550563068,0.11363674215143071,0.152867917904696,0.4408908073175393
31,0.2512844286473265,0.27171028099901484,0.11749019949304683,0.25719127103057204,0.12859563551528602,0.27169048908038107,0.12114942415468974,0.15697124879183502,0.08941117277483145,0.12564221432366324,0.07848562439591751,0.13037801079343558,0.4271670300378038
32,0.17163267725485348,0.3190418641424753,0.15417942630046666,0.23608642353055082,0.1676826476261414,0.18397149247875524,0.11305609196327547,0.1676826476261414,0.0786954745101836,0.11920002843675853,0.11005289305076457,0.17871833307963372,0.40940157858862986
33,0.15694759197321734,0.28448404795858223,0.13828427408515484,0.2266394315228131,0.21726285636906834,0.22708995590999537,0.1133824306771581,0.13828427408515484,0.10041520611472089,0.15743427547340277,0.09482801598619407,0.1449476398445377,0.35775924958897243
34,0.18370634637358674,0.2472984130051793,0.11247454577808937,0.13857604299009815,0.2180504069555542,0.22494917488951208,0.13468331111023069,0.23327306864630049,0.10712685059612509,0.18370634637358674,0.08113524556028913,0.13502024772144824,0.32564658725224976
35,0.2430378763200126,0.32768054267394586,0.15173882969656194,0.2430378763200126,0.1542231143239093,0.1940467246391185,0.10672196109290225,0.15722200495015218,0.09651555156341954,0.12238114343948636,0.09619515407180028,0.10719922090867888,0.3031350258627885
36,0.19986602912292145,0.20262744747771588,0.12287085955423196,0.2093803306391743,0.16782234978426352,0.24574171910846393,0.1600303257304389,0.19986602912292145,0.09495484152042263,0.16875947261944355,0.09993301456146073,0.12814758075854155,0.3090451594525214
37,0.19425049058730762,0.2972344212892116,0.21864483340450083,0.21864683340450083,0.1350471810762709,0.22479849779351535,0.06402874633775454,0.19425049058730762,0.0982250565852292,0.13622761552990117,0.10932191670225039,0.10932391670225039,0.36096355061337354
38,0.13758249884972062,0.29246629514335615,0.1462331475716781,0.3436326051756285,0.1461830711858016,0.1667176165305524,0.13362527598997365,0.1461830711858016,0.13362527598997365,0.1461830711858016,0.07394279520173855,0.13362527598997365,0.45761587042222773
39,0.20552712069143017,0.33029939972756295,0.15000239418292047,0.20552712069143017,0.14736001908674257,0.21059896851634913,0.10529948425817456,0.17755257246656267,0.11969344103452714,0.16199307192136256,0.06645296638841028,0.11969344103452714,0.4113291487155894
40,0.15715193636791241,0.26267341584126513,0.11196406353218777,0.22308003799092205,0.129325615590499,0.24999151423220028,0.1426537557308868,0.17607559595653943,0.11032376221198385,0.1447280481744669,0.11154001899546104,0.1804922353756758,0.47408169514213877
41,0.2397104976886134,0.25167966038082407,0.12583983019041203,0.1924300491765397,0.15265151166269675,0.2879398620417144,0.11977760913143386,0.1632085411754027,0.074581816586991,0.15824680947317796,0.0959799540139048,0.13795385847828948,0.3829175614518965
42,0.172402078969395,0.27091598768881386,0.13545799384440693,0.18545777738173824,0.176508740104744,0.18001433814782447,0.11211714089656352,0.17959381764489854,0.1388058345830932,0.2293346128916921,0.08058584326373677,0.1388058345830932,0.368244736676121
43,0.1921745910460962,0.2867762130936829,0.1735310715320794,0.3053524442933919,0.13761254545684568,0.17623514311735947,0.08848560628853025,0.1921745910460962,0.08524333786345638,0.11950109442919431,0.0693822903011879,0.1735310715320794,0.5071411150236085
44,0.17546730478865138,0.18013717594156944,0.1734432384889996,0.29254191253933315,0.14544352418200546,0.2199418659350048,0.14126710752522129,0.1767026580104166,0.1099709329675024,0.18357422696549938,0.0883513290052083,0.1131587236505882,0.3321131260848232
45,0.21206889922865252,0.2945428123555401,0.13480044474285272,0.23283609634715005,0.07488502874108617,0.21206889922865252,0.1043054242044604,0.18888263975926453,0.08671303976782815,0.20604975592860522,0.10179030428317416,0.1510566554127337,0.570873718063892
46,0.23547403761359895,0.2879818558802955,0.19678449199208892,0.26426899524602615,0.13997823359562633,0.20241823512442492,0.13183789014003305,0.17308706448412642,0.08654353224206321,0.11829428909013276,0.04495337439876015,0.1183780001928236,0.32885688003565877
47,0.18804942585072573,0.21605268896864896,0.20640084272336545,0.24889763316661068,0.12034324157164034,0.1994941863500681,0.10802634448432447,0.19074856488091202,0.08982661473056852,0.20640084272336545,0.09974709317503405,0.12601252137473626,0.37521287492868294
48,0.15824544495284548,0.28505778331436926,0.18562160268883757,0.2639372915255348,0.12799418365377013,0.15848149816228407,0.135472422207834,0.18585765589827613,0.12799418365377013,0.15848149816228407,0.08307475953336595,0.12978167624682851,0.36319480661915354
49,0.1570665396845054,0.31365570048550945,0.16395683521652948,0.1962301597121549,0.15682776690942138,0.1655259344757051,0.08276296723785251,0.15796224133713407,0.15682776690942138,0.165525934475705,0.11970131833953175,0.16395683521652948,0.3257136114054761
50,0.16242180392021127,0.2006892955533343,0.1776318496207526,0.2669509669660827,0.16269804710157953,0.2023246591768878,0.145699194698609,0.1776318496207526,0.09546659060046003,0.16242180392021127,0.08336589171953948,0.16269804710157953,0.3454332446776963
51,0.18230550927914482,0.2921243605310313,0.1407694771590371,0.3104112031342676,0.14651614972453508,0.24435498311384168,0.11159631807808182,0.19883026430210013,0.09033161770635455,0.12365936334643625,0.06182968167321813,0.09727107195195171,0.5333024927592572
52,0.216740462101464,0.28741000828090074,0.1283632569501546,0.1938156772071849,0.10714600899088658,0.2281119094383365,0.08290636201603287,0.21917045118116296,0.10989369689205143,0.13846612085739698,0.07123558398296474,0.21674046210146397,0.5674292581328918
53,0.14183130648456493,0.2905163567382528,0.13887499715719454,0.2577175913363239,0.1452581783691264,0.21299782580601828,0.15091615206670858,0.16296510033562114,0.08590586377877463,0.15836858093532905,0.10021489176334245,0.15443315522874337,0.47399722076057704
54,0.18866548373307074,0.2915279426544508,0.19017712382895807,0.2864187858581794,0.09132588756554422,0.19017712382895807,0.12412083923117198,0.16069546335661747,0.06977107918226791,0.18924094203070238,0.08642594499880202,0.13145338373127685,0.4990272829203701
55,0.23540581539370167,0.23893370506470515,0.22998838266953026,0.23905880328237133,0.1584263543725848,0.2382199695677999,0.0788465448753485,0.1584263543725848,0.07968626776079045,0.12526134154088503,0.10004355340284689,0.11770290769685084,0.2352061630503945
56,0.16522167495201123,0.24286709607418877,0.1985461076152853,0.2515758291780516,0.15658547221983976,0.1985461076152853,0.12143354803709439,0.20641886970567824,0.09407678306908063,0.1661461387323535,0.09823031683200681,0.10035205596912439,0.3318121945493637
57,0.23631827259986365,0.29252109644506913,0.17510558849000393,0.2513300037114436,0.10733565905812,0.17510558849000396,0.14626054822253456,0.2033392119700502,0.09265284103457046,0.1123004406828902,0.08107698571515626,0.12665376358029384,0.32250020975950205
58,0.14744288935736155,0.26390102720226327,0.15419494567679767,0.30600696975255615,0.13195043026779832,0.15419494567679767,0.14055437096863216,0.1783899572605292,0.09666471692403591,0.14055437096863216,0.13195043026779832,0.15419494567679767,0.3944844330751522
59,0.1724452646275772,0.19188574200167835,0.16622658681817334,0.2519323732925622,0.153534693764439,0.1724452646275772,0.153534693764439,0.1724452646275772,0.1259661866462811,0.20428695987843773,0.08176227618681885,0.153534693764439,0.2930605963845432
60,0.25490356231155264,0.30211833784116837,0.15105916892058419,0.3182607276059298,0.13308160539076053,0.1427715621671451,0.1339069395874047,0.13992531418755874,0.06578263447481036,0.13995807578877462,0.06892347698129117,0.14930859474302022,0.38468522466719324
