Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],Sum_of_Width
1,0.12644469909999484,0.22080901608811532,0.20985182286337176,0.25288939819998973,0.143867802252822,0.2496155330439089,0.11764873094117805,0.21023202235012398,0.09905249909098611,0.143867802252822,0.10415088310700592,0.12156979070968164,0.3979671252892829
2,0.1344946198898133,0.18237981100495504,0.15603568919631353,0.2689892397796266,0.11559694293760865,0.17658760406595173,0.17044745177309228,0.23543196352084061,0.14436013828477953,0.1746213213853907,0.08416401760409674,0.15689120055753122,0.38980228062859185
3,0.15291119670241207,0.29440081675589086,0.19494991035741424,0.2543692855841045,0.1472003749411815,0.20403489571088437,0.12718462574311426,0.18724059018256492,0.08994965630538555,0.10274009324653503,0.09210735776810053,0.15291119670241207,0.3913937563647836
4,0.16598196350794459,0.26382670607595055,0.2638267060759505,0.29096672929973416,0.11260298471971808,0.1667832247530132,0.13648870167486168,0.17236954208638108,0.0844473998389539,0.13648878074595075,0.08618477104319054,0.1200324901783512,0.30093494627876166
5,0.13903009641183775,0.21619149922533945,0.15489989131545234,0.2755624213239078,0.13778121066195392,0.2700692109899256,0.10809574961266975,0.15489999659085762,0.1350346054949628,0.18085423151527955,0.08855099044597554,0.1390300964118378,0.47321491211429567
6,0.1693076409369992,0.2891387753953119,0.1656588655877247,0.2437226421084133,0.14666419404640363,0.17300869223143203,0.09637948157515001,0.1670851437627323,0.11768271584570951,0.170739572212211,0.08536946597872218,0.17524281031919023,0.43787527205858157
7,0.20995067847540047,0.3003809301409848,0.15488268297427307,0.20995067847540042,0.14787326103126883,0.17015393183526084,0.14787326103126883,0.17015393183526084,0.12382260989932396,0.1586264411044416,0.08250895093260079,0.12382264226451545,0.266177111311728
8,0.17272281371186712,0.26888525864435026,0.20855620647203962,0.23733254095038814,0.1461755103237425,0.21157165992253166,0.11866627047519407,0.17272284496280954,0.08962839013559927,0.15079386865189412,0.10427810323601978,0.11866653251356407,0.3199454112910754
9,0.18698839341362514,0.28027023028471,0.14013511514235502,0.2653934100191798,0.13269659082442778,0.194021400654761,0.12378804844388769,0.2048496507735563,0.09292298381454667,0.12823847571934102,0.10075164680156001,0.14994405410804937,0.4454344431191951
10,0.14484625816402277,0.32675501831944237,0.18212505764301468,0.28969251632804555,0.1357705709422302,0.20083603075081027,0.10891820161046678,0.18633991003551423,0.10964019346109984,0.1357705854622955,0.06694532101534076,0.11236033626771709,0.5035087943276499
11,0.23976440466246393,0.25760744750136555,0.2205474180389643,0.25420242818472605,0.11988220233123197,0.12880376537652857,0.12755723493548488,0.22401736580593387,0.0833144685745184,0.1217949499061352,0.10158848390842647,0.12091983077422082,0.2146915750978201
12,0.18968468047868345,0.26158735253860727,0.1792213602227766,0.22577392657563755,0.13079363859208673,0.23261327863869577,0.11288696328781882,0.19438745113345499,0.11630663931934788,0.19429302249106364,0.07284100661043896,0.0896106801113883,0.39653142297769506
13,0.17017758675858816,0.21616617354102266,0.17763622512469088,0.22312221609706398,0.10792172606335142,0.17603356811896964,0.20918298537967686,0.23445299013496343,0.11562430202130425,0.1776364325842239,0.07110878712735098,0.12093700704879388,0.29669677505007497
14,0.13669341630627127,0.21351623254025864,0.1925312444848785,0.27338683261254254,0.1606076244293367,0.1925312444848785,0.19253122093826094,0.19926783189152,0.09635888885748856,0.16435234564502585,0.08030381221466838,0.09791930559487022,0.28194758553819144
15,0.18296415231326582,0.24489201023237914,0.17874810643190667,0.2444751829216996,0.12223759146084982,0.19017419929976706,0.17313994097905616,0.18296415231326582,0.08163067007745971,0.10842303572582751,0.10678904937506177,0.1835619088694611,0.3089809787248003
16,0.2069717969280338,0.2538640828091423,0.12693204140457118,0.21313173947725353,0.20697179692803377,0.25386408280914236,0.12693204140457118,0.21313173947725347,0.09561442791948092,0.1034859114615183,0.09561442791948092,0.1034859114615183,0.28192693499165644
17,0.25761961607714334,0.26882691327584013,0.1775794022358871,0.263023089126931,0.11288562931888614,0.1775794022358871,0.13151150883967375,0.1881114448980413,0.08664498581701356,0.11655428838331489,0.0887491262523301,0.1309145935390517,0.29001946291813213
