Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],Sum_of_Width
1,0.08019097677479252,0.3067259000997809,0.10953541763793602,0.31991993281267356,0.054959099785649126,0.21348582899203877,0.06329998575183199,0.27133878365675046,0.03868271750305119,0.22120103454477819,0.038681394165675405,0.2819789282750419,1.2293008167621275
2,0.05992437725711429,0.24118327029898468,0.08279280232204635,0.21518556281756884,0.07700281356213157,0.22894517380039348,0.11404404008210824,0.3153133843638627,0.11404404008210825,0.3153133843638627,0.052621885248782044,0.18362926580103697,0.9991400828914186
3,0.05783998031541385,0.24787161453958395,0.11048707971499237,0.32930105510264435,0.0846048091614875,0.29026551869760947,0.06265964282432344,0.2772633094500524,0.04619529986471723,0.30166500282289405,0.015258022319434576,0.17658866518684677,1.2459103315992621
4,0.06908521357729676,0.33309455955833733,0.10407922493778862,0.30654863035766156,0.02610321340896073,0.3147243096324886,0.061508798099220115,0.296323231474473,0.015207157394740904,0.2380163440887331,0.022554081157009312,0.21275523631329002,1.4029246228499674
5,0.06003091508925199,0.2951495296024923,0.09015324850543996,0.3062569718002368,0.05834835649677766,0.23804906610927926,0.05064957400755481,0.2940463258500905,0.058030277366889836,0.28648263668117935,0.0207333643127914,0.24206973417801592,1.3241085284425886
6,0.0674949963169957,0.25753083241633795,0.08724601258927032,0.30581884300629264,0.05086343125749885,0.3249329223427929,0.06412359014607212,0.31625968412280575,0.04587555763999731,0.24841003052149338,0.025351378755936245,0.20609272088450667,1.318090066588459
7,0.05367279596548242,0.22633504545758715,0.09977710374051647,0.31495196814776827,0.08535796323367391,0.30839049750627506,0.08535796323367391,0.31755864642458276,0.06724208381240455,0.3022003220076131,6.715219673334614e-7,0.13915493894845515,1.217182836984563
8,0.09932794610085892,0.29544514870875127,0.12199584990698945,0.349525894632069,0.07463217335442862,0.27954966754819505,0.046670666954741084,0.22090268028617993,0.03895326468438479,0.18348307970768649,0.030498962476747372,0.259014665638968,1.1758422730436997
9,0.10759903054608058,0.27463430213716555,0.07116737584918842,0.2676280567613184,0.07116737584918838,0.29513339378881137,0.0501789615379623,0.2426006922238582,0.05017896153796232,0.2972400128673853,0.03876978845128559,0.23370204844979345,1.2218770124566647
10,0.12437407784132623,0.29219122707907225,0.1073719269722644,0.27255571466424644,0.07967720194682039,0.266768696888085,0.07967720194682046,0.28850027555461843,0.04145802594710881,0.24037568918230914,0.020355738630916446,0.18669422334641203,1.0941716534294865
11,0.15340589194128348,0.3365159250013609,0.13651794023312985,0.2943715531879351,0.062338001286862135,0.2050261273363737,0.08162133825463844,0.22931735513929555,0.03527276376897988,0.2022328503249174,0.03835147298532087,0.22502878053990266,0.9849851830595707
12,0.0986486659890037,0.2629503995952488,0.09284966796348472,0.30994776813959085,0.0630504984633218,0.24524798889174307,0.05901240598624826,0.2645182704160653,0.05321364503062683,0.25688011429682334,0.011900037822606643,0.2817805374052367,1.2426501574894162
13,0.10609024653218369,0.30713180147292407,0.11800628584662469,0.2776510116421249,0.059358400034700706,0.21739299356169664,0.11800628584662469,0.2776510116421251,0.059358400034700706,0.21739299356169697,0.02863008538252296,0.21333048444207517,1.0211005926452854
14,0.07551578589301913,0.24826608366798925,0.11074371534562163,0.28655656303117016,0.09164921343709928,0.2696762665342763,0.11074371534562172,0.31624323417920364,0.05564268185824329,0.2023498868216341,0.025292137500230214,0.20732071638589133,1.0608255012403294
15,0.11521376240972203,0.27315091597299973,0.11521232704006237,0.2654127405059069,0.06213518405010281,0.2259446257179303,0.10587787263502606,0.32943195674835773,0.03571634255708187,0.21239897062068888,0.04058222585186041,0.21892307589026086,1.0505245709122888
16,0.1361699031344742,0.27452226335629804,0.07884893196524657,0.21912641881045877,0.13616990313447408,0.2774828903211918,0.07884893196524657,0.22960057788190513,0.052561555263326364,0.23334876505417668,0.04769818563570641,0.23562167347749535,0.9394051778030515
17,0.15231263896538888,0.34133849478435935,0.11002725090091095,0.2591713835864613,0.07615631948269444,0.2215327918380625,0.08471497721304488,0.2574191571658089,0.05501362545045545,0.24139906970564193,0.025471357171711985,0.1754429337354595,0.9926076616315869
18,0.082670965059673,0.29517935468375356,0.07393627954085405,0.30273947240625443,0.05804338079008135,0.2850107161904573,0.05804338079008135,0.30488191580173046,0.02108992651653718,0.2931220121868125,0.02516038617452392,0.20012220985924087,1.3621113622564984
19,0.07306194308808588,0.241409475547709,0.06645936175600521,0.2534432406522053,0.0801266064154184,0.2954652552777833,0.05685119459985449,0.30746903640907225,0.0534177376102789,0.3010497027143279,0.0428412497707822,0.2284051961584768,1.2544838135191494
20,0.09993377846122498,0.27582475599254064,0.12957732415940978,0.336548990051595,0.050114053153759365,0.2201998420202236,0.06818479107541069,0.2810483439362422,0.03729417055823116,0.24204736417405515,0.034092395537705364,0.22513419087960254,1.1616069741085178
21,0.11974063596939381,0.2519354067823065,0.08112397501764969,0.27077667927433285,0.10523521693924018,0.2944426351407397,0.08112397501764972,0.2707766792743332,0.0580454019459898,0.25677282426429443,0.04074227825821436,0.16928429211585555,1.0279770337037246
22,0.12648791186565694,0.2741862124839648,0.12648642190614756,0.35271173504462233,0.07611442653683799,0.2468279429222707,0.07519580191733205,0.19612058861918275,0.056671052414342636,0.2834615692025987,0.03940755423937381,0.14632878284766992,0.9992736622406182
23,0.1242292171543668,0.3650607337194709,0.06966284092443893,0.2544177353753128,0.05532076739077367,0.25245133160413913,0.05318068523542172,0.23902704164655944,0.034831420462219466,0.23315456866413092,0.04361173560216659,0.27505192222099983,1.238326666461226
24,0.08973032659691837,0.25102717373722,0.1537429643933895,0.38065991085724726,0.07787242415035736,0.30456410303472203,0.05508080508887763,0.27339134322516945,0.015147813472395334,0.20205727956503153,0.024332134692317427,0.1723937211863541,1.1681870632114888
25,0.08496826472868528,0.2417434158519345,0.12276142564676235,0.2828014807637816,0.1227614256467623,0.2787071058050448,0.07519739412083881,0.2423695558898515,0.061300951865388725,0.23326521147296023,0.03805619926423236,0.21606756894375706,0.9899086774546599
26,0.1108770968068418,0.33713477475865483,0.06789648076254477,0.22009864495013934,0.09538380037101302,0.2980811115365134,0.056792761222225555,0.2681908599664889,0.055438548403420954,0.25969343351867974,0.03217597890968676,0.19823650879379093,1.1628706670485345
27,0.15419010586818233,0.3805405504714639,0.07709505293409118,0.24494016940856034,0.05827084312680072,0.2394292480819721,0.07709505293409116,0.3050252373440656,0.03790793370128512,0.23200412077572447,0.02038176964510831,0.17311991570865443,1.1501184835808822
28,0.1367919430929632,0.3312099878858147,0.07841533935233996,0.21183263499092964,0.07322162068075912,0.22858556797675172,0.12733044624196257,0.34373491196785605,0.048008174149546064,0.1472725269532035,0.06839597154648158,0.20520087516139196,0.9356730098718951
29,0.21955670818587086,0.3474078073135551,0.09684740839660523,0.2901412358793782,0.06973426732917588,0.20606757837428394,0.04442791945588524,0.19855216221627248,0.07448294494219425,0.21109107192952087,0.05488994549032075,0.1868009504869372,0.8801216123998956
30,0.08783034429478288,0.26974143687758023,0.06429081902559135,0.27952242806384364,0.06155412359202992,0.3045671432467794,0.04391517214739145,0.3049911115688723,0.04391517214739147,0.29495388210323364,0.022804292930575065,0.2219140740019287,1.351380151724476
31,0.1274774739331782,0.3660660839477859,0.04364566950673359,0.2133855763392081,0.11233589073731225,0.3179039081173076,0.042054802015254175,0.20353937174617884,0.05780218789197143,0.2513504593880647,0.028083972684328082,0.23635460369267686,1.1772000064624444
32,0.0924108516580123,0.24612536940495405,0.08654327582234514,0.2576896345912682,0.08373453010934641,0.29620521206707623,0.08373453010934644,0.31433504069245954,0.02337484766157804,0.277943307431449,0.04073311209377194,0.1971702883583929,1.1789377050912
33,0.07781619187542395,0.2945825295121491,0.04850343708237808,0.26064920050477386,0.11064157885625593,0.3414573298776339,0.07189938523983554,0.32324113254827086,0.031388626546958606,0.2161027576027764,0.026297610578375305,0.1974202197751683,1.266906339641545
34,0.10079827482578813,0.32192417728198036,0.04649638289089623,0.29305491971560466,0.07941322947231362,0.2998129621790706,0.04649638289089616,0.290180243813954,0.044162902854094535,0.3019385910322373,0.003778601480485477,0.1719433315626791,1.3577084511710518
35,0.14655232120901857,0.2802791875044479,0.1074998461899434,0.26598841128157136,0.09938076766323971,0.2725421703857062,0.07858579199765957,0.24996998490594205,0.031044906418967604,0.19956123857468053,0.03312692255441312,0.23546845131440977,1.007618887933516
36,0.07924975821995346,0.2679000779296867,0.07924975821995343,0.3022938255813815,0.11026010701626847,0.28905700845804283,0.11026010701626847,0.3123724817551569,0.042681171709422615,0.1906481642955865,0.025379375502692814,0.1906481642955865,1.1058394446308817
37,0.08513057377443918,0.2637049176723463,0.09199436685903577,0.30944661716406,0.07518045190024446,0.2746178849148176,0.06250276007809777,0.23261539375484813,0.042505716087950875,0.272177241730213,0.01649669539673088,0.2736273806672161,1.2523788718070024
