Num,R_1,R_2,R_3,R_4,R_5,R_6,Average
1,1.0,1.0,0.6468571861992585,0.797690218270726,0.7057542876827237,1.0,0.8583836153587847
2,1.0,0.7847602900188537,0.6927148277203354,0.38233867126030074,0.0,1.0,0.6433022981665816
3,0.5610632488901894,1.0,1.0,0.8336529040806162,1.0,0.9722785577180671,0.8944991184481456
4,0.6831355182693536,0.0,0.9238343378276161,0.9379974774129759,0.7225216891905054,1.0,0.7112481704500752
5,0.5206849706626181,0.7521827994237177,0.5712464377159646,1.0,1.0,1.0,0.8073523679670501
6,0.7056976532666828,1.0,1.0,1.0,1.0,0.8733533671146592,0.9298418367302236
7,0.6979250926430854,1.0,1.0,0.9751546426771225,0.6300182794838347,0.6768656948569621,0.8299939516101675
8,1.0,1.0,0.9002274923799957,0.8252390182947056,1.0,1.0,0.9542444184457836
9,0.8847573992707448,0.8425088317779571,0.9056070212414425,1.0,1.0,1.0,0.938812208715024
10,0.6451927601518118,1.0,1.0,1.0,1.0,0.8748699093621414,0.9200104449189922
11,1.0,1.0,0.09436190178139219,0.5352714798069639,0.7865137395951706,1.0,0.7360245201972545
12,0.8085730868094759,1.0,0.8530637346126717,0.7011340423001242,1.0,1.0,0.893795143953712
13,0.7938604072330375,1.0,0.7037001470878406,0.0,1.0,0.983431631734335,0.7468320310092021
14,1.0,1.0,0.9731782752357317,0.6677938632560094,0.9961707697885894,1.0,0.9395238180467218
15,1.0,1.0,0.893499476011675,1.0,0.5722070675747782,0.7414582582904469,0.8678608003128166
16,1.0,0.8038166395415244,0.6599312530753051,0.7372052911649206,1.0,1.0,0.8668255306302917
17,1.0,0.8289210871213766,1.0,1.0,1.0,0.9967211740601851,0.9709403768635935
18,0.5160799590794104,0.8555679457243576,0.909322062743609,0.8226082070130364,0.796845751224086,0.6667353899001077,0.7611932192807678
19,0.5875226959493458,0.7903429437228939,0.836014570755441,1.0,1.0,1.0,0.8689800350712801
20,0.8542252065300849,0.0,0.8335162497039759,0.7350206869470747,0.7579867171566853,1.0,0.6967914767229701
21,0.6891468571202441,1.0,1.0,1.0,0.7821030331526221,0.9685397904588878,0.9066316134552923
22,1.0,1.0,0.7458398928878045,0.5657650944996656,1.0,1.0,0.8852674978979117
23,1.0,0.7991169000106408,0.7409412046787764,0.6680584764564161,0.7204194976872706,1.0,0.8214226798055173
24,0.8921124522954358,0.0,0.5904691908480484,1.0,0.9034441639229862,1.0,0.7310043011777451
25,1.0,1.0,0.7909276709577513,0.7606958248712784,1.0,1.0,0.9252705826381717
26,1.0,0.7753418306153834,0.855031361773531,1.0,0.4821654977239583,1.0,0.8520897816854788
