Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],Sum_of_Width
1,0.18331468290578604,0.2749668686912244,0.18331468290578604,0.2749668686912244,0.09284543224020603,0.2959475261410609,0.09189678216894533,0.23340600041745585,0.06773264384602384,0.12373591048525795,0.04787309905858554,0.1299995024484437,0.6660453537493343
2,0.15292575547944998,0.31655701540827713,0.11768914804421468,0.24265025971435442,0.08068682745222709,0.2072997253503795,0.09649414359490885,0.24265025971435444,0.11768914804421463,0.17985995276216496,0.07646287773972492,0.16903488669572977,0.71610419929052
3,0.16754228167276145,0.3496599477692138,0.1675422816727613,0.29142483814556974,0.10818444885870765,0.23484053525302187,0.09326669676959236,0.234840043092912,0.052163570536502855,0.11562089417495983,0.06929356787903716,0.11562089417495983,0.6840143052212743
4,0.1347212513917601,0.29281761906324455,0.20123853277633386,0.37043732084900227,0.09734971393220881,0.21454802875553208,0.07999683920125814,0.19365960961428308,0.05962106138247933,0.133830682860652,0.06736084326136381,0.15441849691188186,0.7194235161091919
5,0.16213739843704533,0.2239927441568688,0.12217030771385555,0.33367098493233416,0.10040942292946009,0.28534739718271346,0.09033942168171583,0.18067866268470884,0.10229435736193129,0.2058939078350303,0.08106869921852256,0.11199669586581389,0.6831607853149387
6,0.18887200475238425,0.35918947346970276,0.08624084430663295,0.2484465396520713,0.10476514660590622,0.24844653965207136,0.07653163002736733,0.19757548497021024,0.07679136947890201,0.20031505443282024,0.05551939557901314,0.15730651707291815,0.822559218499588
7,0.17212406972243632,0.3442460739642983,0.16981045897476837,0.2838779637798682,0.09899819867144125,0.19988593828195308,0.08490522948738422,0.1509295453571741,0.11090711821990691,0.22181401462572525,0.045094235065094065,0.11740715384995014,0.6363213797179379
8,0.12338465366574788,0.30487487831304233,0.1777745386475068,0.30921359113533514,0.09596562150158379,0.2500930673684413,0.07458095062850106,0.2237422552390915,0.0742617997613459,0.17065497963370296,0.07040713042148068,0.12504653368422064,0.7672506107476678
9,0.1474024625681452,0.27510092497390143,0.13792316741609492,0.29480337741585094,0.11324046986373545,0.2253425690704595,0.10155014065441523,0.20455413970337133,0.07370123128407263,0.14740168870792547,0.06824004142194841,0.21073978692007944,0.7158849735831764
10,0.17805740380467028,0.3882657774156553,0.14227970813817772,0.2955890861209064,0.11277654476914983,0.21659753820901168,0.07518436317943322,0.20224652694630782,0.05994052609913292,0.16156672550149148,0.0396598261423425,0.12783597367372115,0.7842032557341874
11,0.19051495187174428,0.3815113013514544,0.2043956288287329,0.26967683011459087,0.10219781441436644,0.15314229367237972,0.07769032297173169,0.25116466625588124,0.05308251985483078,0.11790184222673558,0.08218634397995463,0.11653548445759732,0.5798648361572785
12,0.13137216364780302,0.25399284262601435,0.13137216364780296,0.4235090777120048,0.08689588443545081,0.2409199014185289,0.05666457199407422,0.27012835274098596,0.06986166750439646,0.19858656354510704,0.045661056842019314,0.09103575388581232,0.9563449838569066
13,0.1481873665803642,0.23251316538928957,0.150807106640527,0.24596665580579427,0.09164252766113422,0.19227590551239454,0.18432666899310077,0.2580094787185484,0.10194143841798452,0.2038827239238879,0.061442222997700274,0.12900473935927415,0.5233053374183779
14,0.18095690530839284,0.19931010540648836,0.18095690530839265,0.1993101054064884,0.13693911952072216,0.3233246961651823,0.0996550527032442,0.2676623990169155,0.0576313748497573,0.18612872385081075,0.0684695597603611,0.09965505270324418,0.5507821650982593
15,0.15930160237724747,0.2547150635431494,0.1500157299919672,0.3000308599218149,0.08490544570668651,0.2547150635431493,0.1399583645300575,0.20168825142029176,0.05546784206618092,0.10974388267372504,0.09145456854755003,0.19800332567818,0.6377928935606207
16,0.17322112252720237,0.3214708782391824,0.1086815221584384,0.22197571041476696,0.2028287017795752,0.25045679603841536,0.0853042943403711,0.22197571041476677,0.07750433214918727,0.10993818302909891,0.1014143508897876,0.12522839801920757,0.5020913523108761
17,0.2247721737708422,0.29084459888739617,0.1415427670798448,0.27199825376901615,0.10216746251596653,0.21213279335002974,0.12417521183935328,0.20985560861238653,0.07679627341694029,0.1303949822256868,0.07592665305534368,0.13939322147719402,0.5092389166434186
18,0.10190291858533394,0.3371075009516074,0.11367192639464306,0.26162806852830717,0.11264913526174554,0.3048313728136432,0.07732826386566216,0.227741348384644,0.05155217591044142,0.12175198796648838,0.08085961420418819,0.2089756871332956,0.9240719315559716
19,0.19999294730326975,0.3669281824657519,0.10340364973599056,0.25800108290773954,0.14435408275898703,0.23520334351645825,0.1034034743115582,0.13500745926064256,0.10340347431155823,0.13500745926064256,0.09157223669742136,0.12372260746998014,0.5077402697624298
