Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.04299308133119642,0.23715932047126725,0.07438513431656088,0.29939855420932704,0.07438513431656087,0.3026459577783661,0.01859628357914022,0.24330625278927173,0.0271241053327702,0.2526283700508588,0.038063316612546264,0.2147205563663843,0.010704144243586377,0.1638897886021635,1.4274976005352775
2,0.0675025092340149,0.26978159153222514,0.08523170423560775,0.2686684020636427,0.04371140469358777,0.23184490573259067,0.04745570985636391,0.23303011475693702,0.04745570985636395,0.2246420632392979,0.04261585211780389,0.18661231780186127,0.01643592567844228,0.23501178920126103,1.2991823686556314
3,0.03936027701463896,0.24583390826862125,0.04311796047734743,0.25096385582627206,0.04026767766732805,0.2803318334701544,0.02239493022539961,0.25173808862121483,0.022394930225399623,0.2574981076039978,0.02944551864104198,0.27838800176754397,0.016839940617315953,0.22142496957372382,1.5723575302630566
4,0.07754659258390575,0.30956283112737487,0.04217017672389244,0.2038352049324468,0.08142878946280371,0.2950369313490303,0.04071439473140186,0.22065534412936802,0.02696023770061471,0.19738005049643642,0.04915031514714321,0.2655535928037454,0.017097118529669292,0.17290842028216685,1.3298647502411378
5,0.06280444284894289,0.26986982285882666,0.030248052240620032,0.21743881849267366,0.07037549997692115,0.29741477516659715,0.03922654942098424,0.25016572704220585,0.04396427943565484,0.2500852860343964,0.04109505766825068,0.23724715157089393,5.804925386366764e-7,0.19006395675049406,1.4245710758321755
6,0.05586411054937953,0.2521697146937329,0.061458950702116835,0.2587408356421229,0.044154923277739906,0.24420788669720359,0.03983379785274256,0.24805746113778737,0.027932055274689744,0.2450369124755015,0.04375352236669778,0.24293011722948482,0.025161518189921784,0.210698193910879,1.403682243573424
7,0.04895729887789733,0.25800323447023865,0.059698379538357375,0.2896983166683589,0.05750748966876596,0.27799712685233685,0.034301435884305634,0.2536497797223429,0.0476061434673827,0.2652748491468015,0.026738680866025457,0.19924402976079297,0.01726431832029611,0.16405891675609777,1.415852506753939
8,0.07165946556464935,0.2879933915950901,0.05487848857731694,0.2586447145222536,0.030304501205161673,0.2563216370141594,0.04925865228996523,0.27015855546398354,0.03344951567393376,0.21845434236160005,0.013125004415720662,0.22289510133095689,0.014072578859982194,0.21878405112522645,1.4665035868265404
9,0.06084273971282793,0.28650238553249596,0.07185515703288776,0.30115442666763,0.025098625819175234,0.23087499554099755,0.021100177065464628,0.19973114187455018,0.025098625819175286,0.23732604332042515,0.041305383375824796,0.2614402618785409,0.02065269168791246,0.21701734467209224,1.468093198973464
10,0.04350721357465677,0.23896555118409893,0.039310892520662076,0.23607158333815043,0.0688671894645447,0.28845310080781583,0.029548296200066857,0.2549427443967466,0.04472212417157925,0.2542229635340778,0.028572288215781772,0.20768810627067708,0.01108457352563939,0.2540433727955024,1.4687748446541382
11,0.07434572838165396,0.29544931864638546,0.043018435774371366,0.25477977701408755,0.03030968412649296,0.227541854313521,0.038731549640064644,0.23852398017525095,0.0276665738472298,0.2607191357236407,0.025443354866160225,0.24419000426455095,0.013833286923614905,0.22544731630297563,1.4933027728808246
12,0.07626174415727993,0.2703893373404828,0.06029103645137444,0.23892063546623146,0.05060507783097515,0.22268265311841814,0.05637091650729659,0.2600589343146898,0.038130872078639945,0.2564208947636438,0.030055303444414462,0.21724982026358475,0.021393918888635618,0.20116885537433316,1.333782261282768
13,0.04920853560622733,0.26560136099235815,0.08663038806156928,0.3182250857275784,0.02586570746285912,0.23823625298047,0.03831033116673035,0.24067441718875995,0.02887715046223503,0.24910912028315707,0.02958239921414258,0.24711587393834775,0.002137463690810799,0.18042591322475443,1.4787760486708514
14,0.06387374700346524,0.2824611357972728,0.07318635548555755,0.2956780081702883,0.036757065594675016,0.23410247157717784,0.0731863554855575,0.24460108929195948,0.04595999816041673,0.1906254718728473,0.03660674764428838,0.19129656500094952,0.002123265491066493,0.22954172342447748,1.3366129302699459
15,0.0852538639244103,0.2802140762928875,0.0731833208933572,0.25653839015355406,0.047015344075517156,0.24013983724737195,0.05521269745419715,0.24662100814679785,0.030858007129211995,0.19350273646111407,0.028417954641470122,0.2406794791705857,0.03546102683674967,0.1869022575727755,1.2891955700901732
16,0.09450244696586065,0.30787438843046105,0.054296815704806926,0.23728014457908872,0.04020949968991845,0.22006176948762216,0.0423049283385028,0.1941727328394199,0.040209499689918465,0.2506168879480556,0.030909922060417844,0.22859755696799577,0.027001796262007882,0.23196161103592372,1.3411301825771338
17,0.06107174331001781,0.2972496150811135,0.03419777097719269,0.2119077789323407,0.036363196057859676,0.2546564151634626,0.036363196057859655,0.2801492070776788,0.01709888548859631,0.2508484869889995,0.02085191763036105,0.2554990439264295,0.017526094419878298,0.22621664888820991,1.5530543921164695
18,0.05248202845957929,0.2589049577553268,0.07644740418653442,0.2974617915057498,0.07644740418653448,0.3005657667166419,0.031253298422431214,0.20423439456890943,0.024341016390333,0.19444187257451737,0.0336687727804138,0.24299670971417947,0.00785611856110618,0.1988984641777428,1.395007914026135
19,0.05154212138453469,0.2753947356254051,0.04209997098057404,0.27368423590520624,0.06955110956375984,0.2960606922622193,0.03563043958414277,0.24527687379267948,0.0267079886711487,0.23337596468347513,0.027425918599737135,0.23015007539815,0.01589484691421263,0.1772050266347548,1.4622952086037802
20,0.07779486757650819,0.2364732160085463,0.08335622517082124,0.28591581116839915,0.08335622517082124,0.28591581116839915,0.013554415966170569,0.17819946504189388,0.08335622517082121,0.25682513844596916,0.015290101345389547,0.15522745701343518,0.037712269383203004,0.20702277136962216,1.21115934043253
21,0.0765887763397052,0.27608804576181634,0.04734005882658409,0.2150017358535487,0.050804935070245555,0.24918988287126437,0.07998855214063315,0.28325791166258296,0.02759607952243401,0.24221574118659395,0.026344601732919765,0.2079296881015562,0.0062730424154976835,0.21138094851461842,1.3701279079039617
22,0.06189416457121989,0.24636796329763236,0.061894164571219906,0.24919486582735836,0.07350525208420054,0.2539497771914579,0.056811990312591966,0.2627888514450645,0.05079519327259137,0.2429983397653057,0.03125523200301813,0.24167700601477532,0.010414289406109854,0.1564529102374543,1.3068594275580967
23,0.08802111982861874,0.32356538255549117,0.05234562064928465,0.25422129764064944,0.04401110174731335,0.21881432139524962,0.029340343935832902,0.25353300713113475,0.03624627221017481,0.250158192356892,0.02013004031291027,0.18717661923299406,0.016364839523460004,0.22607184147999415,1.4270813235848105
24,0.046374737213865855,0.26740483116835023,0.055696950780529574,0.28197389990655464,0.03990443124886908,0.24349952358300408,0.03877715980573206,0.25054642535919347,0.025303347730685936,0.2565434265192594,0.01586453282938125,0.22328073501300355,0.025303347730685894,0.22952665111088474,1.5055509853205005
25,0.06181071288845479,0.23726679012149746,0.10529246468610551,0.3083322018650672,0.06331516761573217,0.24240574805781384,0.05264623234305276,0.2515939390991051,0.03664033168335503,0.2232936668801848,0.020832589379233598,0.14679963622134282,0.021984199010013077,0.2277863201490419,1.2749566047881062
