Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.10025730802968096,0.24933719186272332,0.17392433022806217,0.20051461605936197,0.1739243488616066,0.18809250155739568,0.049372716853493585,0.12634468869437948,0.0683232613614678,0.10535913773732863,0.08934687472329464,0.21774506090068396,0.033165447607216146,0.22429251552330506,0.6233714246703562
2,0.15728509148764291,0.16813507068779807,0.15728501193595457,0.16461124157405044,0.12067630191035275,0.18814124718827976,0.08230562078702522,0.22052292193973605,0.08230561198076107,0.22845499581603143,0.08406753534389907,0.2413526038207055,0.05242832318575579,0.052428422342007286,0.5272930067372172
3,0.12414710919060677,0.25048001392154334,0.10483974776677933,0.30759384996481737,0.11354389009132328,0.1753675368152392,0.07944050169859207,0.19152528225532178,0.061757944807134625,0.12414713021653825,0.06822426468845949,0.1171323998887378,0.05126561622053161,0.23053471247437501,0.7935618510731457
4,0.17321401781029785,0.17321401781029785,0.09205068239165637,0.26611906435138033,0.17321401781029785,0.1792077597337822,0.0866069925474572,0.10985407735380551,0.05492703867690274,0.24503882498488147,0.12625673965868334,0.20127485819421426,0.026971202475159002,0.09205070620118415,0.5335186172590914
5,0.12194795207961598,0.2402251374628261,0.09570750038862576,0.24981139146578352,0.14761095388095277,0.18748319885261555,0.08734485754255696,0.14480916023587298,0.0936562118785427,0.16303272695622603,0.12011256873141304,0.23302667097488086,0.019524169161462053,0.09570750038862577,0.6281915726736615
6,0.1276551662953848,0.21573788282864598,0.13785908276588854,0.2025267422285267,0.09616124489953858,0.19015361347777074,0.06733843811117947,0.19698495713771397,0.06475188620761796,0.17299155923254347,0.08746090594299806,0.19885392034294197,0.06247496216155302,0.17904963836769675,0.7125966272316792
7,0.14285890785242109,0.17209327516568176,0.1574761038592416,0.17046303960766776,0.15747613760032916,0.15747613760032916,0.05681246750743628,0.1736257863680026,0.1428589183787378,0.16725073767658555,0.05736442505522722,0.24255023909983978,0.02952132325767384,0.17217250097082645,0.5112634329778661
8,0.17705142436462182,0.2844789050104521,0.14871093048342687,0.22723329547601628,0.07115227067544828,0.2059243865096554,0.1390996402088392,0.18255333727614068,0.06520460905049875,0.22205408781383706,0.024085804265786992,0.14871093048342687,0.02438548807433751,0.0793548903075122,0.7006196657540812
9,0.1666561161109737,0.22711401577739534,0.17601866424423251,0.2550930909282667,0.04741508779048693,0.18190735163295516,0.061678596174768466,0.2459370830180289,0.05983727163309912,0.12956857470348318,0.08774227648939267,0.18326110228991688,0.058096170995736045,0.11967459821126433,0.6851116331226211
10,0.1231350038959559,0.22136451399529805,0.09316442972669482,0.2462700077919118,0.1647832655470456,0.18632885945338962,0.06074378434085607,0.2479014668894973,0.11068225699764901,0.21995581223397379,0.0733185663434435,0.12148756868171214,0.028602741998411587,0.10226172210416097,0.6911399022998872
11,0.16022509856922457,0.24196428358968688,0.1185059461411524,0.26554884683574687,0.07579106678067972,0.23701189228230476,0.09219076210329534,0.19736303772731126,0.06017413179614468,0.19737652166023398,0.08091659929274816,0.11058394346500726,0.03381365417407042,0.1285342155823937,0.7567654822853696
12,0.17564581558890668,0.2663869199147442,0.13578271434415626,0.189109454770374,0.11425430391811608,0.21952554738531685,0.12382577321725877,0.1583724549678461,0.10076321947065912,0.158845696147146,0.04933522109412825,0.16236991858055888,0.03152863326346366,0.11425432733732521,0.5377286382066224
13,0.15080633152671336,0.25239452860304545,0.2009876180060295,0.2009876180060295,0.06158462016943027,0.33160202175231507,0.10049369471693474,0.12316924033886055,0.05921727789596495,0.13955523239204418,0.0841314475813844,0.11843455579192988,0.025829481692604794,0.15080633152671336,0.6338990568218761
14,0.15661081615309685,0.1566108432207797,0.15661080441141212,0.15661085496246435,0.07830541394739075,0.22317454149635302,0.15661077648036972,0.17751669197787637,0.08875832837641118,0.24143634599858685,0.08047878199952894,0.2210011734442149,0.027969213584124544,0.07830541394739075,0.5093117300953318
15,0.17216062762534048,0.18274224225856633,0.17333191254739536,0.2402199606943071,0.08187867508907484,0.19656587673827047,0.12010998034715355,0.21220590890324006,0.06837045599354831,0.22150266934753052,0.055487418708369325,0.07395987387725633,0.06472348588285079,0.13674091198709662,0.5278748876125348
16,0.19578729752218815,0.2082094061993604,0.12088815644344961,0.260833677325554,0.07306275799383588,0.2976055917136433,0.08804110163773272,0.14612553569210526,0.060269613786917295,0.1943646268430483,0.06637017059204071,0.12088815644344961,0.0651387293914529,0.10241517841522177,0.6608843452647655
17,0.12653288571520757,0.22400674698315653,0.054559145084830944,0.2037566646552867,0.10187833232764335,0.2839049668163235,0.10187833232764335,0.2542845872060178,0.04731989180701124,0.19317515914912844,0.09200759574764257,0.17199433074549214,0.05006138179273863,0.09463997964187718,0.8515248703945646
18,0.17512414959175032,0.19221766309417102,0.18644479274785095,0.19886710988633807,0.18644484469601466,0.18644484469601466,0.08756207479587516,0.2680115667583674,0.017964832075368038,0.17512414959175032,0.06628903662877936,0.12357746104481993,0.02269150591619758,0.11323596847670238,0.5149575270963278
19,0.1537648577329564,0.21752561727067896,0.09048634505350923,0.24636546134467568,0.19362187053734534,0.1961505373532642,0.095845679803815,0.13042605645618485,0.05305684053427858,0.1671419541714633,0.07688256884794765,0.1427584894197558,0.028710469025521657,0.2072632524486033,0.6152627369292523
20,0.13350969324225603,0.18122755575891397,0.15736841081442196,0.15736914950680306,0.15736841081442196,0.15736914950680306,0.03637397104786634,0.1933244810362878,0.15736883324700773,0.1573689064091449,0.02859802525921368,0.17641921956973158,0.09061334930802843,0.21572084447909953,0.4775986125335678
