Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.0867958873251645,0.16716220279450486,0.19036198583213723,0.23756537245269763,0.08160718382315163,0.173591774650329,0.07797545014639605,0.20565492113867395,0.10282746056933699,0.20012323590195635,0.07918845748423253,0.19959205464533003,0.08616629907591121,0.11138771416017791,0.5901545514873395
2,0.09190949739427737,0.25741232502631617,0.16659310947922298,0.19308772423666146,0.0904721199948226,0.19885912251049584,0.09651762539407888,0.21219987725988182,0.07758559872300497,0.19542202610715265,0.07737166762783709,0.1551711974460099,0.06435308125657904,0.12304502754365962,0.6703946002603545
3,0.13357139550523167,0.27661985027566016,0.14293585529638445,0.19445964877600977,0.12996246470702788,0.2671427910104634,0.09599459988107124,0.1418653185541491,0.10913044995317324,0.1564852291446561,0.07824261457232806,0.15518959927034826,0.05916117894359729,0.05923900410989924,0.5020028822823722
4,0.12938213296503093,0.29715515617810717,0.1445399017502687,0.26994914530788394,0.13768491902667893,0.15320440355801282,0.11235108587400945,0.1540024213028732,0.07355499579966297,0.11235108587400945,0.07530654968392386,0.08468298335965507,0.09905171872603571,0.15678350059384746,0.45625739234877855
5,0.1182643385599176,0.22347767543177494,0.09947587106696465,0.21533635933545814,0.10696832100521081,0.17213091284460968,0.12548071471000977,0.21786004993623337,0.07695734868822995,0.1320153595547426,0.11126770097114014,0.19411312486774257,0.0802568851113622,0.12639533791660335,0.5626576397743295
6,0.11930794789127136,0.25798829708744975,0.17007702738357383,0.2386849177946957,0.11787925666189732,0.18649949609124267,0.0749595168884247,0.1275693354941347,0.08197182155614771,0.1499190337768494,0.09960115965679349,0.17793642245324875,0.09324974804562132,0.10435601921864938,0.4859070438325406
7,0.13843873402815043,0.2212429906776146,0.11898062979819737,0.23483296164654807,0.11305429203443078,0.27687746805630087,0.1085804049298589,0.13374868559842526,0.06970762311788772,0.14561528325998366,0.07280764162999184,0.15518781097806428,0.07764973500599338,0.1332757392385528,0.6015618789109791
8,0.14379514388585962,0.18465194864529194,0.10315665223760452,0.23559148242933275,0.13723693334938392,0.20631330447520901,0.07283570229509473,0.1137012412886114,0.08206022289664944,0.14567140459018946,0.17898437093698552,0.17898637093698552,0.07322007814694248,0.14379514388585962,0.4174217925029595
9,0.17234875562571936,0.28485549110206626,0.11032439560116604,0.13460741987434263,0.13460699130291406,0.13865501915796732,0.13460741987434263,0.17131397480977098,0.06931920382842,0.13557066376329535,0.13456717683581,0.14302402286293125,0.06385070973553472,0.17234875562571936,0.3607506943921864
10,0.0951494759480762,0.269126809000102,0.1885250415166458,0.19611723528200034,0.09025964283271558,0.13106459177682928,0.08337452004517544,0.21099503457947133,0.06553229588841462,0.20903233111169545,0.06698682663647755,0.1667490400903509,0.08190854752049356,0.14517860777155192,0.6565272992240025
11,0.1901351790974911,0.25678284725361117,0.09718677827530187,0.15360900740551658,0.11249867522466318,0.19437355655060373,0.10670524518118443,0.16809748629837526,0.14129962859430986,0.19013517909749109,0.07236882261701273,0.11240937343582234,0.08081424901221307,0.1235839719564033,0.3979828439956472
