Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.02681876866453357,0.25238078273193276,0.07171952057808073,0.2991860019479679,0.03869325682631112,0.23866595561402132,0.009328116138329096,0.2195423905253392,0.03585976028904037,0.27850102367328533,0.03131363325685269,0.20600077283101553,0.026818768664533518,0.2651712482587567,1.5188963511646378
2,0.03704693587626274,0.23839279833380284,0.06704840210447434,0.30361651050454436,0.036003722443598014,0.21703815049941316,0.037412689345722915,0.25719939212542037,0.02186816790979385,0.2381141133220956,0.0374126893457229,0.2423069842971022,0.022786492417276552,0.24375295147477027,1.4808418011142974
3,0.05320067686594517,0.21539936264458442,0.06439685996580008,0.26309073520899223,0.06321399821947385,0.21335511779279207,0.042259804280457294,0.2352045634642346,0.05166622489066056,0.2571635386592112,0.032198429982900026,0.23083699310738368,0.028173202853638224,0.24984049206392656,1.3297816058822494
4,0.058830881600586776,0.18785034596975758,0.07193553132973496,0.23394563678690775,0.06500941173180631,0.2630812854583489,0.05052142239728438,0.25737968102035147,0.03294185483161339,0.22936679389409045,0.03492592268734075,0.23984661340814606,0.043339607821204204,0.2310250110628266,1.284990735200858
5,0.05802595662833614,0.23087602681741395,0.04169642926900517,0.21723280851100982,0.0414860431907375,0.2550118351236575,0.05024105393185716,0.24203038149769923,0.03633365801198416,0.2489580928003582,0.0452579349885454,0.24954848947626257,0.03645479835017551,0.2468464914029576,1.3810082512587178
6,0.05428731817343322,0.20234879592421853,0.0762568705812703,0.2574491109546765,0.05803458324780663,0.244137666846548,0.030213780064194243,0.2243801839007323,0.02652765636160341,0.2415131777018759,0.05359849900840691,0.23662001349938236,0.04245464796679552,0.25217769576905613,1.3172532891929796
7,0.05374101625337861,0.26796229454666054,0.053741016253378605,0.23961268507719952,0.05323961858515258,0.21193637115425049,0.045490872160855275,0.2760870528635083,0.028168692814565882,0.23248680660504747,0.025434615364094082,0.23621662899880172,0.028168692814565882,0.24771363650854114,1.4240309515080183
8,0.0680879516939287,0.26505720223051576,0.05042645758547501,0.201867577129216,0.0631278773663322,0.25406857040701813,0.006749468046334216,0.23432226908215026,0.03377793938250139,0.22086768721761518,0.09249276047878904,0.2966148639598333,0.033862025655734755,0.17867734976455615,1.3029510395818096
9,0.08379542573405169,0.22898794499871358,0.051779989166779214,0.25637686998687326,0.06012121795900353,0.26473540207603474,0.07249785495490335,0.24678514599580811,0.03005281214417785,0.21092882648175937,0.06962943325374564,0.24665775437614398,0.037013048979749226,0.14063827389225628,1.1902204356151789
10,0.03813986615193662,0.24203597613208055,0.0754848111565045,0.3078762372998695,0.03534639449545566,0.2575444001979104,0.029251910025172138,0.22681889493620627,0.022855003038267794,0.22593402848554725,0.02194850039018609,0.23364879071700018,0.030108987305699168,0.25300619966816384,1.493729054873556
11,0.09390439345838164,0.26381902077116964,0.0464539404562,0.20372188272949973,0.06758963972663072,0.21970193166247562,0.05609089428782952,0.21254011663028496,0.08488251522698802,0.23647894667728256,0.03163901634416035,0.21428711072034148,0.04203331698764596,0.22685727432110991,1.1548125670243277
12,0.049372928571319384,0.26377157419786984,0.0498841488860954,0.28141873623040736,0.03476520102202441,0.23246060552452016,0.032329849363587015,0.26514604630968147,0.021162423508961314,0.23835011031455838,0.03039843318303035,0.22364053772518896,0.017234249969847577,0.2600651551929081,1.529705530990269
13,0.04727105813004947,0.24790707224543132,0.04008444103251539,0.23598132123281249,0.05833054255107482,0.27648476006890116,0.03582579892550773,0.2448875186679151,0.03020423812075926,0.26403552628697274,0.029165271275537443,0.23875583723189997,0.01917451213343343,0.23189210209718983,1.4798882756622451
14,0.035706519772316946,0.24842810362173237,0.03801443660461425,0.23466937551057512,0.03570651977231698,0.2570953153007721,0.04381280093550715,0.24550604656452193,0.02972383308854134,0.23662179026202101,0.038014436604614274,0.27738636767911307,0.02920853395700472,0.25010592032634893,1.499625838530169
15,0.03656946231539776,0.22401454756564818,0.07003498834776845,0.2691186081327272,0.0364361629464757,0.24079569595919986,0.06609297260024792,0.25922118316860654,0.03515072272407192,0.20163778190948112,0.053039111581664966,0.25835183567289766,0.02726704138747756,0.22226988568833514,1.3508190761937915
16,0.05689603079171767,0.24949644642495486,0.03610706373185448,0.22238427510601028,0.03333110207040367,0.21149418554957308,0.060412870253429334,0.26489651379358714,0.05689603079171766,0.288033676105791,0.0283419042763803,0.2139528493163249,0.03358594674102032,0.24417110504723524,1.388858102686953
17,0.04431319121034039,0.233226446896811,0.044371825833213904,0.2420286421285405,0.04717473755218973,0.23469141299752283,0.06729802554693141,0.26487736345885954,0.04437182583321392,0.2584122300676538,0.022505153118520145,0.22784040130924404,0.024922303597135015,0.24396644044982385,1.4100858746169112
18,0.06063740495868898,0.2746818573353694,0.04920792830308058,0.21782181398277548,0.05108017330467388,0.23978406742872155,0.030318702479344508,0.25306760615381246,0.02586019182324205,0.20368480977835565,0.047286670895172536,0.2600944691655982,0.03356832521583615,0.2529059791753286,1.4040812060399226
19,0.05798993489060202,0.2465979986910438,0.03395294587145209,0.23240496810137903,0.03735437582240954,0.2507696559053294,0.03494767861328983,0.22139327874050826,0.029228762306503092,0.2525320886744947,0.02263529724763475,0.2343647318155392,0.056059356639494,0.2897689266803203,1.4556632972172294
20,0.07187239737642329,0.2340793605367153,0.06559817016124654,0.24104457155756678,0.03961995177441906,0.2243864161462289,0.048398367485247076,0.24077274148323782,0.03634102419645206,0.2644711142126019,0.04294595846747686,0.24911153494114605,0.030016074695426057,0.21134231696581235,1.3304161116866182
21,0.04543181805447056,0.26134639653452924,0.03355635755096616,0.2421787082932734,0.05821898147844179,0.28108816526611874,0.028374385862908358,0.22556018716139747,0.025215423342642405,0.2523524509066483,0.029109490739220898,0.2393894298081127,0.025547158515227614,0.2526310464860422,1.5090927689122444
22,0.06797420791697838,0.22879058944524572,0.05993463620135475,0.2305201961339947,0.05061539915267838,0.23790748383727442,0.06469619416095737,0.19516248445370626,0.050615399152678354,0.2430014004088164,0.05061539915267835,0.20890122432058764,0.05191014360964096,0.2593552420534087,1.2072772413060673
23,0.052733553059162254,0.2271529067325509,0.04531464862197342,0.2070297088019989,0.048215485930146025,0.21336405115384408,0.052810492764062814,0.2503195878334755,0.045314648621973486,0.26767842162177424,0.04019994124646642,0.24510143787410096,0.04821548593014603,0.25654962980832485,1.3343914876521392
24,0.06329261149790127,0.2581982436611992,0.057546989828287626,0.272173073758022,0.05506368592872015,0.24399794857733917,0.039192513486108894,0.2167669640932998,0.02285140680413559,0.22327612239914685,0.03559390474103672,0.23578731821560686,0.03081652560179913,0.2454426914073963,1.391284724224021
25,0.05032356728569786,0.2815207244040503,0.025992628847914066,0.22089929540868178,0.03179772582298042,0.23884017498157595,0.05032356728569786,0.2769032015674688,0.02397056453056226,0.2611352674086537,0.028060307188278875,0.26030529736369495,0.023970564530562274,0.22595711337418098,1.531122149016613
26,0.06361330800752635,0.2502566862713937,0.06299810043573129,0.2618925537436607,0.04312581373513778,0.2842875967983805,0.03149905021786566,0.22664324914474349,0.0431258137351378,0.2842875967983808,0.03320513405146957,0.22716993232642285,0.023010527324201852,0.1648846374099478,1.3988445049858595
27,0.0679547589555673,0.2541346004051458,0.0484686851569838,0.24293172811565483,0.03397737947778364,0.24854655921428218,0.04380667586149986,0.2751077680277476,0.02920445057433325,0.18194304224629654,0.048468685156983826,0.24293172811565597,0.03397737947778364,0.2485465592142818,1.3882839706781296
28,0.0517212483412939,0.26134071955780624,0.03214522719874394,0.24345391508192396,0.04812862972567444,0.25377057495210004,0.029165474577067838,0.24101186481325507,0.028166395374491858,0.2597841565032179,0.04737777844886616,0.25568318142286267,0.026156597527194615,0.22209423647550156,1.474277297613335
29,0.11163351471477444,0.33538582984038673,0.05581732441778763,0.23928676637495236,0.030745796705396254,0.18662843210526675,0.04048690573794087,0.2515448365086957,0.02964720207994408,0.22017941356113768,0.03048022072430237,0.21064047319872778,0.02699127049196059,0.23053201353872696,1.3483955302557877
30,0.0463718419139503,0.21350985935104444,0.04726675638370364,0.23696112175706482,0.04636863625469114,0.23267381290255326,0.046371841913950274,0.26562887394400353,0.07169321306716223,0.28780570186685733,0.02030800517148306,0.2216969543397118,0.02389773768905408,0.23944564344477023,1.3954439352120107
31,0.060358022323514726,0.18713653616125658,0.05545683920902783,0.25067517659459543,0.11294612867055778,0.3118374904822742,0.046201409311584216,0.22734811851714337,0.0564736685011889,0.24253750443370176,0.02906054986191703,0.1903473585138786,0.02914230524884313,0.2004788921705161,1.2207221537467325
32,0.05427677281168327,0.2724031239757575,0.050080999486517654,0.25755058360652366,0.06716124239524614,0.25415932050926443,0.04480843405543351,0.24356332217707072,0.0369696426239541,0.22639224496199017,0.027138386405841635,0.20775689716456416,0.02048990476419962,0.23724912506195328,1.3981492349142481
33,0.06088841652238943,0.2594113662920468,0.07187920016556257,0.27582746186228196,0.060888416522389424,0.268674128911013,0.03593960008278124,0.21983196485581186,0.039142269103068165,0.2409671742357028,0.03138014339994682,0.21686620401033943,0.018431355478468685,0.19987229855819796,1.3629011974507876
34,0.05875681036784788,0.26128969920622486,0.046162310071499034,0.27571358159573073,0.04488752327467171,0.2732599044931329,0.035119355194867766,0.2111258120260858,0.027750209316778136,0.21172861824057254,0.029102961845170968,0.22857261306690038,0.03899763329826323,0.25753296800225417,1.4384463932618026
35,0.054977187301799665,0.2691276219347745,0.036255955154857036,0.20982121013111876,0.05693282875826476,0.2931917111748361,0.031128035482035698,0.21835266475067425,0.033606333015079426,0.24684065103331104,0.02001065666699208,0.25164032041585127,0.02586326180554547,0.2522515623748598,1.4824514836308518
36,0.04052760231650096,0.23563804518341291,0.0505866357277325,0.24969508266074975,0.08105520463300192,0.2991142679202177,0.05358636133799609,0.2356919298655433,0.06214621105776721,0.21216995486278306,0.031073105528883628,0.2392682754357363,0.0238777084438473,0.18556961502582708,1.3142943419085407
37,0.06257525733193517,0.28902520731120945,0.037782645127511304,0.2116079581143879,0.03128762866596761,0.2746128460129885,0.03857431162463775,0.24921229760155356,0.004874330950973156,0.2235579755146725,0.034788610079637135,0.26882022971756164,0.027205169808273207,0.2460755321386912,1.5258240928221296
38,0.05492595128441502,0.27123993196677243,0.054925951284415075,0.2411170814416142,0.040747647267027454,0.22392428299089315,0.04966892254932071,0.2941175553106618,0.022764075977443607,0.2132284512506642,0.02910388712146848,0.24941167417165983,0.02194000514586018,0.2328845822377839,1.451847118740099
39,0.08524507262812961,0.30950519249826536,0.05244735194737283,0.2562847651723504,0.042622536314064804,0.2595709466872884,0.044275192342805726,0.25838247870817255,0.036221430273712746,0.2124056358033724,0.03060476958443146,0.206069757466319,0.01779129348472521,0.18857357708898984,1.3815847068495157
40,0.09304605744344045,0.2830634728165145,0.04881915957623441,0.2071816604384085,0.053133322792658526,0.24616329249814556,0.0337032038679336,0.25331977007331047,0.03680120286436619,0.25011099159826194,0.03370320386793363,0.23312474752421858,0.012112692830420888,0.2157172218081528,1.3773623135140247
41,0.04302702130892056,0.1982596186424584,0.09279896449195872,0.27885843223502343,0.07018003168245567,0.253798207323257,0.04820477070737115,0.23752474683137956,0.048983808408319916,0.20879906859237707,0.048204770707371135,0.22761502308765713,0.030932988163986257,0.21281254781746423,1.2353352890592335
42,0.050761597756356976,0.2540088462632753,0.03785902874329375,0.23001649006723476,0.04257820752955693,0.24734827961295763,0.036791499657298166,0.2666200130598155,0.036791499657298166,0.2603105539161819,0.03274621444099948,0.26021005084044735,0.018929514371646836,0.2250282040836373,1.4870848756870994
43,0.041771480338284886,0.2294314272609161,0.05820953721378955,0.24417705038695903,0.05834027299430282,0.2798937724283452,0.036888934175568946,0.2255306847691082,0.03739111716712088,0.2482869989988446,0.03739111716712087,0.23995157676969248,0.02758320834288951,0.2351528219870571,1.4048486652018453
44,0.05043829974401124,0.22809466092031638,0.07771306575414902,0.28000892299066715,0.035284200198384255,0.18005273904628127,0.027629029127444676,0.20391010256717626,0.059687549560042845,0.28588873376292845,0.029843774780021422,0.23332176957452455,0.038856532877074496,0.26927061909697797,1.3610950959177444
45,0.04982779623799076,0.27098390799129746,0.036411079841217955,0.2189666335037285,0.04982779623799077,0.2703900377620604,0.03572475447103701,0.23733965344581642,0.026348058106243303,0.2227329967723733,0.025521481258354066,0.21894208493723202,0.04982674159005184,0.28715697784460636,1.453024584514229
46,0.04545740054802911,0.27556700060957323,0.04132723874101694,0.19700167380602346,0.059915574428298084,0.2613763387234526,0.029957787214149042,0.24548046171772486,0.042365345462391076,0.24625257711758378,0.01729877966499024,0.22813680311450713,0.045457400548029096,0.26440561830423126,1.4364409467861927
47,0.06215160317981949,0.2018875843862748,0.09620067567716219,0.30759518753664633,0.05811265964984516,0.18929546890965002,0.05531584540085661,0.24315402965668412,0.036877230267237715,0.23057719492058823,0.02905602741550461,0.23036023279211293,0.02905602741550461,0.23036023279211293,1.266459861988139
48,0.04637042268197657,0.26631071713762783,0.038172287672440366,0.26429290737535527,0.026279324625071702,0.19516922768977976,0.046370422681976574,0.26631071713762783,0.027660222106837423,0.24938049157563266,0.030633138868026617,0.2587223543017431,0.020422092578684416,0.2639056735672199,1.5281841775699725
49,0.0379222144503161,0.24796907594326015,0.05195291646049363,0.2802729376517986,0.06062086252606808,0.2442963944998538,0.037922214450316086,0.2632945067222656,0.032446094033402956,0.24699616558279075,0.025976458230246798,0.21254654642189164,0.02677397265244813,0.23100964037484753,1.4527705343934163
50,0.055638619516807965,0.22639024109208788,0.06456248747599527,0.24229207822043378,0.04322436367913561,0.20385860764792063,0.054713201775957135,0.24307756678120673,0.0552960555826679,0.23745019847636128,0.03624586441998171,0.2303737470968469,0.04322436367913557,0.2636526045554617,1.2941900877406376
51,0.07247770850555206,0.28017874451443164,0.048227716075536865,0.23756185247877704,0.053901530038899845,0.21363822582208863,0.03847322425408029,0.2332467930401476,0.0635075377207412,0.2738072902887353,0.042082875969762984,0.1865319550929362,0.02116917924024711,0.23519536695806328,1.3203204563903594
52,0.08860227615473132,0.26014047175030425,0.05413721867231506,0.24757011749112665,0.05413721867231504,0.22916570226701521,0.04021537304330306,0.21739433487932502,0.043674948961702945,0.2442063861881921,0.039763005190649035,0.2383486099478626,0.02266249295479318,0.21998184382636454,1.3136149327003808
53,0.05609786232030707,0.22911007232332162,0.05274242287536216,0.230456084056899,0.04151145071430347,0.17291647737924612,0.05609786232030706,0.26548519514893965,0.05609786232030706,0.26548519514893965,0.05274242287536218,0.24423827431290748,0.0346313417665689,0.24238747643722872,1.3001575496149644
54,0.0831024686111414,0.284137962782898,0.05531206802576759,0.20242078697099053,0.07227365908378136,0.2420032888664021,0.05238827867856212,0.22823410448569922,0.03613682954189067,0.21399876096193457,0.04439005989708145,0.21978587466451474,0.04452679344172053,0.2212890639876158,1.22373968544011
55,0.04217529987951252,0.222585331951156,0.04647662445034296,0.2502543269317675,0.04485649317214972,0.21439605708595413,0.042928393691953504,0.22968941161753084,0.0746355456726711,0.27958431713864274,0.04217529987951252,0.24622949207494177,0.030005796536269728,0.23400760991759506,1.353493093435176
56,0.03936902097969948,0.20192086922545313,0.053288615994056716,0.2621053438558817,0.030505615263481348,0.24983070162520904,0.03678187808656017,0.22895377298532055,0.03257290709191131,0.24868291436374843,0.05328861599405672,0.2936700633354729,0.026644307997028376,0.24238537320212028,1.4550980771864122
57,0.046169594265303184,0.22913365804075983,0.0621561645606093,0.24993430278460402,0.04616959426530313,0.2662671084578958,0.04716231608949942,0.25619924338378613,0.028250350587863477,0.24285970182496708,0.03539806629054033,0.2248256661521068,0.024703640769774476,0.24077059252698713,1.4199805463422135
58,0.06270305869203088,0.25936242419822625,0.05348472510817613,0.2722304365655347,0.03355259742358594,0.21576857372466826,0.04733370782207306,0.24240602306689127,0.03922611513438132,0.24532890939457835,0.03922611513438127,0.24611203186439115,0.025785507298101393,0.21747977457298,1.3973763467745401
59,0.08598625402406604,0.2941360099404557,0.037288610365288556,0.23906452496805708,0.05800117032295599,0.23730751863302765,0.04299312701203304,0.26100243889441777,0.045173895455004456,0.22570851449489324,0.031365046234120245,0.23135851493292037,0.020676260620492125,0.18993811410226782,1.3570312719320792
60,0.05534445962210994,0.257315957173968,0.04978862881436063,0.19680841677989186,0.05898011887223065,0.2681000960543806,0.06202622106006596,0.26089097720839044,0.02767222981105496,0.23738490160207154,0.03352982075677195,0.24752921245139664,0.0002930950306481929,0.2443358647626587,1.4247308520655155
61,0.048435993369100386,0.23892745820507683,0.0484359933691004,0.2933410380138255,0.05019671403447572,0.2441799217925725,0.041708155097568284,0.22953853435092844,0.026039517842590326,0.22826355903734105,0.030209650785627186,0.23650082753576618,0.029266917982632253,0.25495571858339516,1.451414115037811
62,0.08197164204298932,0.30793065459300595,0.045636537169732684,0.23493765622099486,0.04210405774583038,0.24514530891078767,0.04098582102149466,0.2810714914443667,0.03615789322697218,0.2430723302620482,0.020177877390818447,0.1676118153104105,0.02744471039524249,0.22575220426530587,1.4110429220138396
63,0.031624044379873505,0.22518659637771693,0.04965848098232583,0.23664056472870829,0.045460559315604235,0.2912587522259277,0.04223961592921982,0.23725109391108198,0.03262077181264252,0.264427652493181,0.027672039125664315,0.2542127263876994,0.021119807964609924,0.2406272943657444,1.4992093609801196
64,0.08929709125804268,0.2546253255328646,0.047969988942988956,0.2273987282630172,0.08348932732913297,0.25957564102180086,0.0587945911650709,0.24662689001824112,0.04174466366456647,0.20863952648987744,0.032560697597932474,0.1796972126331498,0.032560697597932536,0.23701961848538206,1.227165884888666
65,0.047401558623851724,0.1849268606755095,0.054165792355223334,0.22247412119810334,0.039781989868445194,0.23251293549265656,0.0750673804441405,0.27338410342993974,0.038957538743575354,0.24069884382311635,0.05416579235522331,0.2598170394098568,0.028794420136143316,0.2478516234442151,1.3233310549467947
66,0.04838538529237422,0.22032313197370457,0.0593249554299805,0.2586054326146468,0.06915058655127211,0.27604563106936125,0.03889245785000272,0.25165085621190036,0.03289192545490507,0.22752392670512112,0.032443688325715904,0.25670722759624076,0.02369906543556334,0.20435572948921138,1.3904238713203725
67,0.06498171802348973,0.25665492249422645,0.03212277251660676,0.2188480108073776,0.06498171802348975,0.28715646125770844,0.03212277251660681,0.26324683929801673,0.05395978489289686,0.24709068315930033,0.035973189928597916,0.18686520010797905,0.030558147828832864,0.22543777914487048,1.3705997925389586
68,0.054008470727583524,0.2666976287383262,0.030552742472838332,0.2613749586507844,0.030552742472838287,0.2678033183082503,0.03987979225445508,0.2622865157728259,0.02975299872887767,0.21343329802970198,0.03055274247283828,0.278569452849726,0.026586528169636723,0.2079488103513174,1.5162279654018647
69,0.10943974075393749,0.2699271981240969,0.06660326659736401,0.20611190768469792,0.042250979062807864,0.21860012495045233,0.061452134409034624,0.21176178416715838,0.100386262509682,0.2677047089922528,0.04437466955717412,0.18347801469988465,0.031757094665291884,0.1861521138261652,1.0874717048894162
70,0.040480358847703304,0.24673641201649302,0.041471717044742375,0.21124538562053694,0.04065526342235492,0.2389737554334064,0.02970997596666407,0.23010765066853348,0.08002030411389084,0.2726051774759455,0.04065526342235498,0.27219685480032624,0.026680160837487536,0.2284617203295604,1.4006539126896038
71,0.06964453226617623,0.21687703607963105,0.06111888958438119,0.23378573992323207,0.12223648813525242,0.305280896405544,0.061118889584381206,0.22512413153001742,0.044437583978279176,0.22052322472006716,0.06111824406762621,0.19575480726545536,0.013497405975306851,0.16948213048464958,1.1336559328171933
72,0.04457967136224888,0.25328831261063794,0.04294983242277775,0.2786217988170469,0.02167689225838293,0.25052102741720433,0.040794320067784086,0.25106606405786586,0.025320482899934955,0.22474232798945365,0.025315266944621724,0.26710428114296036,0.014451261505588613,0.2595684605034918,1.5698245450773223
73,0.05953850274971724,0.26238964831946754,0.04864930499779818,0.23208584581612918,0.05153339394471115,0.2339252712652091,0.03508221047181872,0.2509525315553933,0.03435559596314077,0.2402828526033724,0.035082210471818705,0.270517349384972,0.026328079204099627,0.21927720325235234,1.4188614043937917
74,0.041575532015693556,0.23766260585522894,0.08104160758581808,0.301152558576637,0.030597922094975562,0.2532217291704666,0.04052080379290905,0.25384505445512845,0.029319194923932326,0.21312362244590433,0.020029942760928152,0.18617910734928073,0.04157553201569351,0.27015478695740364,1.4306789296200992
75,0.04371872293987714,0.25457473873442954,0.066510215758779,0.27021824185597293,0.06184853333702029,0.28651532040461053,0.034918810842495616,0.2304487567720324,0.026361501321692675,0.21218021352480024,0.030924266668510142,0.22679375789615988,0.022170071919593068,0.2328168480240269,1.4270957544240646
76,0.03875457484872854,0.231344771720235,0.06191119465398196,0.28202465562626544,0.030955597326990963,0.24651079570025056,0.03428444258211256,0.2559447835968946,0.02335910598640325,0.23255336145509142,0.02162623474837595,0.2510481498279208,0.034714060362673896,0.25496827156407537,1.508789578981466
77,0.04764583654060341,0.200346260692715,0.05940455510084985,0.24874492898993647,0.06420948872714288,0.2546058888759119,0.025281874695628075,0.24335882999873998,0.03259555586488534,0.23930099809362576,0.04764583654060344,0.2601750176904221,0.03127461872609502,0.24541030946284087,1.3838844676083841
