Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.0728097396731963,0.18608589385968813,0.16775405912486904,0.2514941285765611,0.07818548461216804,0.17784655819080014,0.06592585191275238,0.20479442652996388,0.09157863777280242,0.22204989326290656,0.06658722997749486,0.18580146014510257,0.06930210970029137,0.1597845266614031,0.7757137744528511
2,0.08890614772608076,0.23070798312925594,0.14658891461174048,0.22991582309344702,0.08722757781607961,0.18733023925070752,0.08705154404370972,0.21736955207074932,0.06811654288226139,0.20459602402050917,0.08214575260644649,0.15962420286699072,0.05481391965320042,0.15560577622882144,0.7702992013209624
3,0.11592039580203042,0.2506574420026855,0.12772201327603405,0.21333050317360341,0.12404833164538975,0.2318407916040608,0.09003200709536022,0.163455367870376,0.10198972559943667,0.17784285860849525,0.06909801675083682,0.17027805163619766,0.05411324899070694,0.10967124594478632,0.6341525216804101
4,0.11318901955061193,0.25212927855603257,0.1412663318816266,0.23865377536258212,0.12404843892186158,0.18406640325153223,0.09796367861671065,0.18216639418012967,0.06974955454684346,0.1431495460385718,0.06755347649024669,0.12495440808214907,0.08284712494789058,0.1782625695732111,0.606764750088417
5,0.11265282360510145,0.2133236750318924,0.0959092711150706,0.2001574071107186,0.09410399972182422,0.19068182466733183,0.11697661842715192,0.21196311040928387,0.07352168376243869,0.15436280460343926,0.10162432465397078,0.20472263161383777,0.07569702356608383,0.15430280171185465,0.6590285102967169
6,0.11099378955025696,0.23134603570179377,0.1529452010930374,0.23718296522301902,0.10942073182240682,0.19650128892901195,0.06787315121235442,0.147972147667812,0.0753231584851123,0.1634908308913038,0.09624274033375509,0.18255555370717388,0.08269910113228798,0.1454533042506744,0.6090042527415779
7,0.11597614088093879,0.24067172385708382,0.10576367608720573,0.22368306680827169,0.11203753176781053,0.2319522817618776,0.10174204545013625,0.172384993906195,0.06821578965614504,0.15904309911333678,0.06540657753447442,0.17251359331574107,0.06967785435561805,0.16093162550516515,0.7223607685353424
8,0.12692201265877556,0.2074462322501846,0.09252860319823876,0.21154672401661576,0.12169714058848487,0.2092884755128183,0.06550663060680241,0.1383813058206597,0.07752468831450256,0.15788793651962804,0.16522197718849033,0.21326625959909448,0.06865302612317224,0.14412898760253226,0.5638918426430664
9,0.15019629145002159,0.26767767549968796,0.10343206084147291,0.16647654074713086,0.12138888189296962,0.16977121508313414,0.12545049109200618,0.1820471138962166,0.06257801112914961,0.15203888750369884,0.12007974894254488,0.1647696482849106,0.06389714218703446,0.15019629145002153,0.5059547449296014
10,0.08859317401528351,0.2401722739405535,0.16309417902176407,0.24271100529735865,0.08523232922115663,0.16853956739302964,0.059192089993846016,0.21342796847532813,0.05230064345226119,0.20468961688762916,0.0675399350273005,0.17155646107691233,0.06863976122054923,0.17431099497702757,0.8308157760956779
11,0.17080134729936816,0.25927811297607173,0.08477442567284847,0.16297829579731957,0.11227974073406151,0.18623507846169804,0.1022880672001796,0.1699856618947436,0.1386003513650981,0.1925900531028472,0.0694195336424579,0.13166450451920558,0.07267026439543534,0.14643456293866505,0.49833253938110167
12,0.10970780310791993,0.2165336521884946,0.11543067974447976,0.22197207541127498,0.0907187100962589,0.25278064090969093,0.08083989652086936,0.16939888269227255,0.05789651853956663,0.18008193431948497,0.06853876723030751,0.20212332437587976,0.053385970909072045,0.18059114395442796,0.8469633077030516
13,0.1171367199457689,0.2325671390077075,0.10548957686614871,0.2311850806920397,0.12751169792332526,0.21107945837918005,0.08313715671479471,0.19589717468333845,0.06449207309063883,0.18385366441905576,0.06166845058845165,0.16118734598366988,0.050701783920781826,0.17409267778509868,0.7797250819001801
14,0.08729086644957133,0.21440058939600787,0.08613467202120816,0.22842176010331292,0.0851196389293565,0.19980913900541783,0.09707542466740578,0.20649580217753133,0.07818201342818876,0.22260732518854495,0.08609322595874506,0.17099117623558815,0.06530504424448565,0.17207332219463575,0.8295982286020775
15,0.08302302399310497,0.22952645219526482,0.14786267756538138,0.2716741596750615,0.07857046075883492,0.17652335160960636,0.12596104904793554,0.18263531377470058,0.070750179751198,0.1733680811108763,0.10502913138042844,0.17797625409748125,0.05786916433289329,0.11923070070723256,0.6618686263404469
16,0.11859709368910878,0.26641211357730543,0.08010753152925502,0.19353463456758485,0.07109589820507653,0.18035135903149455,0.11935416531688772,0.19413159804877703,0.11859595083196593,0.1818046231263542,0.07206528477241735,0.1619709731486281,0.0751985515235403,0.1667802226316041,0.6899710482634966
17,0.0953681431708469,0.22664001952329782,0.09578812991467789,0.19541486221766233,0.09647631610565426,0.2258492586793827,0.14063025169417023,0.2221166593994027,0.09627547497224377,0.18841062303181397,0.05644888525081772,0.15242121893148894,0.056922815059366264,0.15123734204917458,0.7241799676644461
18,0.1406291870410961,0.2346997793612729,0.1153557550345096,0.22743085615673242,0.1097535876774285,0.2274689897687117,0.07031473637769094,0.1553929886275494,0.06449750535270861,0.162210733094791,0.08997630093953693,0.19318689386768187,0.06484091770950348,0.14424176899078653,0.6892640197350517
19,0.12088802390964436,0.2542919027060067,0.07910124209865474,0.17721960383777566,0.08461151609713434,0.20997162752164847,0.07840460576961791,0.20237483134006293,0.07580916171707477,0.18593923920632954,0.05412393830057335,0.17362943442383763,0.11956474960661115,0.1840701234650283,0.7749935250013786
20,0.13957031393715985,0.27213524829684294,0.12550664109894863,0.21436836957505254,0.08177811043722324,0.17029298578164495,0.10271326826462741,0.2179963985567653,0.08902632708554638,0.17422077255932691,0.08115397382999266,0.13560730567685989,0.057879164504787695,0.1377511203952217,0.6447444016834283
21,0.10007329387776151,0.18866164439683533,0.09569817418231387,0.20043340262346968,0.13921987510767467,0.24355695331559585,0.06809692655299064,0.22322966125902433,0.06026662213794816,0.20461140413271775,0.07072957261768019,0.1713690496736072,0.0700192937544848,0.16403412636789622,0.7917924835382926
22,0.1222565305794325,0.20588413125862504,0.11902580873290469,0.20819565240248666,0.08729304655687666,0.15588673777315165,0.12234371738363295,0.2506505386355272,0.08816312545069135,0.13795325154688326,0.08941210819479808,0.1459261112398548,0.09913606645150189,0.1678731737936332,0.5447391933003237
23,0.10642801382586561,0.21928604300650315,0.09697416835622681,0.2199402053412298,0.0973241853485542,0.2007905138699613,0.11206867995565133,0.19677406958296026,0.08709095285194866,0.18120800959461128,0.08128480850131135,0.149620349491622,0.09316450001202024,0.1580455002615339,0.6513293822968436
24,0.13822664743823532,0.2542123143724446,0.12032977982709699,0.21138951031003633,0.11276778257710422,0.21110159621747115,0.08212127131877116,0.20467725253850352,0.07708321464064372,0.175409378564251,0.06666537895877446,0.1587815553263139,0.06623634336336352,0.12099797454699004,0.6731391637520212
