Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Average
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.7078306188082865,1.0,1.0,1.0,1.0,1.0,1.0,0.9582615169726123
5,0.9498771140521014,1.0,1.0,1.0,1.0,1.0,1.0,0.9928395877217289
6,0.9666915679878245,1.0,1.0,1.0,1.0,1.0,1.0,0.9952416525696892
7,1.0,1.0,0.8571985849301775,1.0,1.0,1.0,1.0,0.9795997978471682
8,1.0,0.8867420829518481,1.0,1.0,1.0,1.0,1.0,0.9838202975645497
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.9439390299893703,1.0,1.0,1.0,1.0,1.0,1.0,0.9919912899984815
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.907690935257342,1.0,1.0,1.0,1.0,1.0,1.0,0.9868129907510489
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.9083173447928786,1.0,1.0,1.0,1.0,1.0,1.0,0.9869024778275541
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,0.9932868260315151,1.0,1.0,1.0,1.0,0.9990409751473592
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,0.7474336303372867,1.0,1.0,1.0,1.0,1.0,0.9639190900481839
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.7857550687180531,1.0,1.0,1.0,1.0,1.0,1.0,0.9693935812454362
31,0.6041988986912132,1.0,0.9947884998591363,1.0,1.0,1.0,1.0,0.9427124855071928
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,0.9160741149103536,1.0,1.0,1.0,1.0,1.0,1.0,0.9880105878443362
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,0.9753685800079825,1.0,1.0,1.0,1.0,1.0,1.0,0.9964812257154261
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,1.0,0.9798108340069179,1.0,1.0,1.0,1.0,1.0,0.9971158334295597
40,1.0,0.7964266063392837,1.0,1.0,1.0,1.0,1.0,0.9709180866198978
41,0.8068508548977189,1.0,1.0,1.0,1.0,1.0,1.0,0.9724072649853884
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,0.9827192295101349,1.0,0.9506347511930321,1.0,1.0,1.0,1.0,0.9904791401004525
45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,1.0,0.7448558993956735,1.0,1.0,1.0,1.0,1.0,0.9635508427708105
47,1.0,1.0,0.8812993460356604,1.0,1.0,1.0,1.0,0.9830427637193802
48,1.0,1.0,0.866736208641101,1.0,1.0,1.0,1.0,0.9809623155201573
49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,0.9370605760577109,1.0,0.8105342699351616,1.0,1.0,1.0,1.0,0.9639421208561246
53,0.9944962308278699,0.7656183088478596,0.8806745187431165,1.0,1.0,1.0,1.0,0.9486841512026923
54,1.0,0.8504094692885649,1.0,1.0,1.0,1.0,1.0,0.9786299241840807
55,0.9980367483212708,1.0,1.0,1.0,1.0,1.0,1.0,0.9997195354744672
56,0.7100573650215031,1.0,1.0,1.0,1.0,1.0,1.0,0.9585796235745006
57,0.7635315425481403,1.0,1.0,1.0,1.0,1.0,1.0,0.9662187917925914
58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,0.7822695531880481,1.0,1.0,1.0,1.0,1.0,1.0,0.9688956504554354
62,1.0,0.886018999563383,1.0,1.0,1.0,1.0,1.0,0.9837169999376262
63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,1.0,0.9918957001481844,1.0,1.0,1.0,1.0,1.0,0.998842242878312
65,0.7655982650285358,0.8710680944772969,1.0,1.0,1.0,1.0,1.0,0.948095194215119
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
