Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.09567208350563239,0.21346632493803488,0.11164902461242565,0.23871374654904806,0.1405165616509489,0.2287208125274349,0.07871966726731358,0.1823897231516484,0.0940698835017241,0.22900643036136,0.05916265508336523,0.13957314003827234,0.050788505867314225,0.13755144094547736,0.7388432370225518
2,0.1168701148546261,0.2198062302292157,0.13981299535328148,0.21304755113325471,0.0793128562116259,0.2345045788483818,0.11943903473686356,0.20918206731914646,0.0753336243537639,0.1791306279596301,0.05946960149348878,0.17772661720262123,0.024071410080329335,0.15229269022377104,0.771380725832042
3,0.12583456043334806,0.24408345286960206,0.1154838352646468,0.20510374334759432,0.0944050455568142,0.24030268607137223,0.10582713505497268,0.19536320838758633,0.07787505364635182,0.17906821572017081,0.07178451411751709,0.1786192367613049,0.04200003605671725,0.12424927671200144,0.7335796397392641
4,0.14310950948302517,0.22904889504610407,0.13285617736753522,0.24387267436108412,0.09946310831290976,0.20356259169454427,0.07984518144331605,0.1814641179329745,0.06500366520447946,0.18433028110573427,0.06710264083780734,0.17460766761277172,0.05553619622223457,0.14019729337547954,0.714167042257385
5,0.13525315602185248,0.2232058202024109,0.13804258068777828,0.25455022534685406,0.09270131971612597,0.18444770776598549,0.09879022628679783,0.18494373095621458,0.09702364346618489,0.1781223714435152,0.0588723052410542,0.13741879533520124,0.05146842552489751,0.16515969200512734,0.6556966861106177
6,0.14816152567787735,0.21381113164837112,0.09675771431543712,0.1758919557224082,0.14279205893381527,0.19934991462986917,0.0925859104292466,0.17501973654560324,0.14816066853502022,0.1907880342839516,0.07341064182574965,0.1718700661767407,0.041395279209948496,0.1300053620659612,0.5134724021458105
7,0.10480518304735523,0.19802509810842345,0.13797491014064886,0.22999018888030673,0.14231216450285183,0.21327714239113013,0.09084994707897205,0.18240515379695396,0.07495815101934038,0.18154317089224228,0.062309769819185214,0.17438925046535297,0.052402591523677614,0.1547572783335593,0.6687745657359376
8,0.11120467256644775,0.19703176241851367,0.11279793048062446,0.22807611650976906,0.09672051335399848,0.22559586096124895,0.13244594707606452,0.2142129359632024,0.08973218114572723,0.16753031418402572,0.07968103516570886,0.15813228381425268,0.056071104758320826,0.13076734160209538,0.6426932309062158
9,0.11029535890052035,0.2242537558621182,0.10762049348946189,0.24049248692515204,0.08752907909259273,0.23139546167669772,0.09616768745692252,0.1879578828953084,0.08559009871335396,0.16112250464525896,0.08185140426509797,0.2098156973974434,0.049242953096940933,0.12666513558313097,0.7634058499702194
10,0.12330185570105953,0.28522894627199474,0.14261447313599737,0.25063887858841616,0.10040100862696495,0.19261803299273156,0.08113371897500853,0.1624808514371955,0.10040072291267921,0.1776861699088796,0.05053967649549124,0.1680224674290085,0.03606637444693989,0.12886682307763325,0.7310843394117187
11,0.0986499061639927,0.19894217073281786,0.11415933925810397,0.20257179809078135,0.16435988372595892,0.24763154036763044,0.11841455727465733,0.20218110808426287,0.08336048822967625,0.1723941950152535,0.05450082204886111,0.1368626498129048,0.06218173128061206,0.14378980991448673,0.6087465440362752
12,0.1339914596478147,0.23040146424678604,0.0773360089710118,0.20931430389657826,0.12835875890647427,0.24627778891413696,0.09835181122995053,0.17332706391887068,0.09561963212183452,0.18084413268508562,0.0951169627830668,0.1814458119913985,0.035003012735500404,0.11461178795149096,0.672444707208694
13,0.11876718468730732,0.23376612149297002,0.09777327840283415,0.19024239211842106,0.16746055736496546,0.28294229374950014,0.09523890251586344,0.18078288068023846,0.07023292050740083,0.16127243962394183,0.0631812766185867,0.16296566699139287,0.04066721703710785,0.13470686820946998,0.6933573257318686
14,0.13963792562934793,0.23829655231910715,0.10943693952331648,0.19587796632575935,0.1094369395233165,0.19587796632575932,0.10887171005751421,0.22358613039788627,0.07559589337530419,0.17779321465814507,0.06148951719633764,0.1780171580223535,0.04422970108407972,0.14185238556177257,0.7026027472215666
15,0.11936262927446532,0.20082438111049886,0.14298547214621352,0.2519056266114077,0.09210048995042881,0.18804307922853866,0.07859478530586084,0.17361505204872474,0.13440251293048136,0.19912690801790525,0.0833128173925292,0.17894223829306014,0.04131688251611613,0.11546712517376934,0.6158488209678095
16,0.10084440594516034,0.2470118015346479,0.08295649314605279,0.2160041156939796,0.11234937182486741,0.19688141234638287,0.11174192817127801,0.1835784831970713,0.11867538780474177,0.1895952301247789,0.05862274335958752,0.1617446399536339,0.05863818750902538,0.16135579938879238,0.7123429644785737
17,0.10921784541613141,0.18881931145927228,0.14591160976240997,0.25873330899538444,0.13733964521069203,0.2516853150892448,0.10921784541613137,0.1888193114592724,0.05785510437926287,0.16421967633602447,0.04965116320759859,0.162052345853736,0.04577988173689735,0.13069763567794226,0.6900538097417531
18,0.13247986412376037,0.207870724198934,0.0995212569562419,0.2021431765257859,0.08738248574786978,0.21095741396465967,0.0771323581186205,0.1684743412804715,0.12325321473365632,0.20320015342028355,0.06400019878451307,0.180918029213023,0.060902785026079945,0.1817639979061006,0.7106556730185163
19,0.13687314559467761,0.20418308156973672,0.11260053416397378,0.22833268487456237,0.08538427826653716,0.17672110937134458,0.1129601760428374,0.20072715961320273,0.08018085529416082,0.15588637440207023,0.11899496381021309,0.2189078388536481,0.041479386707966893,0.12676841143506862,0.6230533202392666
20,0.13311892636789707,0.24525525046322647,0.12934728302926804,0.2447381554451736,0.10199675836070413,0.19499932324947483,0.11429953564090867,0.21052237725369743,0.06474143837560811,0.16902717628010078,0.06289420835638077,0.174703214075308,0.03820065298651644,0.11615570011573573,0.7108023937654336
21,0.13750778339850064,0.20435285797195024,0.10322190615910701,0.2492604327381877,0.10559569975412682,0.2180630791729933,0.0869220090238534,0.19101387513768617,0.07074595639817621,0.15726201570160864,0.07346781465761586,0.15179571233631298,0.062315108184546934,0.1884757493653342,0.7204474448481464
22,0.12482332448962916,0.19364649296450218,0.12482389591820055,0.2179302762374902,0.07384279028076621,0.2145271395696973,0.11352898721439622,0.1800204829426,0.08463593741577109,0.19027174525975782,0.08387649359874337,0.17539903642627167,0.05340152285063208,0.16927187483154213,0.6821340964637226
23,0.12195457876869457,0.28427269634226005,0.10388758797791826,0.1786192770169172,0.12165317539393952,0.2439091575373891,0.11771958882396606,0.17378848524308596,0.0787846008371912,0.16896931886565483,0.09267945163293903,0.16645775012461314,0.031798627246902196,0.11550570418852892,0.6630447786368984
24,0.1733511203451768,0.22881875171294075,0.1478022365806408,0.21836142467328834,0.15090403652051187,0.23169283408157368,0.08689934553106728,0.2035270474368008,0.08564302465934305,0.14232362498774112,0.030058254927067367,0.1567444926877412,0.035088895668840485,0.10878491018726646,0.5805061715347047
25,0.11274760201575763,0.2269183951087336,0.12697993087446008,0.217685090516733,0.09499734935794843,0.2318530284889311,0.1345696648626015,0.19506127557697114,0.07720541063213579,0.17623365930580676,0.06338134863550385,0.17568755902051386,0.04668569436157833,0.11999399124232488,0.6868659985200287
26,0.14068909346239342,0.2578196582208551,0.1185164530501148,0.21875455707023703,0.12027078461031457,0.1819458605381929,0.1185161673358291,0.18886287459525378,0.0715902403197569,0.16080202788115008,0.06497993475694598,0.18432441050408305,0.05749364008841292,0.11543429756646047,0.6158873727524647
27,0.10193685337767988,0.18248354281826923,0.14257226787636854,0.28337713951455773,0.10870281253781397,0.19687822160721505,0.10965639234628424,0.1908703668999791,0.07303225600557446,0.1495784877264254,0.08491645792359266,0.18585035016350962,0.05558324817850224,0.13456160302422793,0.6471994235083681
28,0.13834547190001695,0.2049046771212028,0.13834575761430265,0.2141233588209837,0.11014560721868631,0.17319802970136625,0.09590884281729596,0.17409158884213113,0.13404868272633003,0.18234430725131842,0.0832825218324058,0.1712316004476107,0.04625364107425679,0.13377591263209257,0.5073389496334111
29,0.11278243533445018,0.25819640821034184,0.0895520319360543,0.2260929956462053,0.12110286988010664,0.22770526417291181,0.1075631766929066,0.22618788854499255,0.08442213770357154,0.15160925655785423,0.05771004048291534,0.14652068158388457,0.039247437551655655,0.15130737570214944,0.7752397408366795
30,0.09980122631453855,0.16517523279523058,0.11207935220768749,0.21614364876888253,0.13591178419567432,0.27412086111287665,0.06251589387475794,0.17668705690128372,0.08775267896468408,0.19239426559912826,0.07386254909063268,0.1696462932124328,0.05482417222257532,0.17908498473961507,0.7465046862588993
31,0.12949025655840077,0.1783866096936869,0.14255746248841317,0.2144870554447273,0.14020399937052488,0.18294116590464396,0.14055426647231073,0.21464616395442881,0.09319061500582293,0.17204981731588703,0.07931496909816468,0.1642026670130747,0.044038799455300905,0.10393615222461337,0.461299263102124
32,0.13662746320425723,0.24338207531268477,0.1027855328872672,0.2123200925803503,0.15537922086136316,0.2643592370804809,0.08408931663794308,0.1806914470009657,0.07781141560030548,0.16912898635002468,0.06035518553488676,0.1515565046407965,0.04010222339695026,0.12141129891172395,0.6856992837540538
33,0.15412967853294784,0.2716574818114215,0.12223809466280862,0.2439426171043179,0.1147883641841685,0.17895371012589853,0.06904753043919279,0.15912104035683475,0.08797364904910111,0.16089602834887895,0.10651946403436341,0.17124304190098769,0.03958297325358723,0.11990632619549127,0.6114404916876611
34,0.14200795061078733,0.2362190785950818,0.10699197160477784,0.1973596271993731,0.1421602012224304,0.2212782169748175,0.09167388010551407,0.14308547557264126,0.0817066435086239,0.1788682840882387,0.06885399599376955,0.15818956046378244,0.07040692760767094,0.1611981864524912,0.5923968586928521
35,0.07994753606751422,0.17619913112313323,0.1396070593251988,0.21383317099641608,0.16900618412897556,0.23369966974561399,0.08078771162988681,0.19839041229848425,0.08829236175534871,0.17758767987171234,0.08473507816328388,0.20584070300495103,0.0360417881611193,0.11603151372836182,0.6431645615373455
36,0.10923349385076775,0.28797761112187503,0.1281618389329103,0.24423362786626848,0.09868613469762559,0.19915139629584735,0.06563346595091456,0.18764979280680907,0.07264462570771466,0.1704055635401635,0.05832345988671601,0.13903974854568152,0.05430217472903166,0.1845570660676745,0.826029612488639
37,0.13136569524784517,0.2089551256886864,0.10902675510707516,0.1808681526195601,0.11294877074692825,0.1940554940600247,0.08823025288070822,0.2088849874310031,0.08965972049334815,0.20819630233687025,0.07342429218032222,0.15349123947149185,0.0662457378098478,0.17464747392628852,0.6581975510678499
38,0.09232685556903474,0.2461508602765576,0.12279771235350277,0.22285590605548058,0.12230566082859376,0.2167986309698043,0.10353599014039458,0.18317978999316328,0.0669184750247976,0.17630325231970415,0.06845718350988554,0.18761814812796604,0.039310525902552275,0.1514410089285628,0.7686951933424775
39,0.10394512127652403,0.19690122647336872,0.13144131045055754,0.22987371485505198,0.09518052379031074,0.20572805231717203,0.09736215793074161,0.20166651307477004,0.06903503170276488,0.1744492923331151,0.09107979949493529,0.18960761005235177,0.062410492753687256,0.15131915349464903,0.6990911252009573
40,0.08259446633411287,0.22557258726449084,0.13322064790271945,0.2222331826113871,0.0960697774246352,0.20942922066770006,0.11764448452016077,0.18515127273490187,0.10842386082124031,0.20489089882927733,0.06972101458651868,0.17972363528628751,0.0377683444808123,0.1275566065357558,0.709114807859601
41,0.08693841744560984,0.23474353332640077,0.14211981032279156,0.22459518626707584,0.11846250160445118,0.21133653025874546,0.08565838207699654,0.2032580185770177,0.11285690067183671,0.20978887084315617,0.06449903617675075,0.1540380895797823,0.03451886421489421,0.11718585863449113,0.7098921749733386
42,0.11993333168018168,0.22238110485928822,0.11841426936518366,0.2398666633603634,0.16750459812690674,0.22043386545932755,0.08375237049202482,0.15172628302532795,0.0911960481994476,0.15954522071869404,0.09100601349678912,0.18393230209680983,0.037419661654510036,0.11288826746514523,0.5815474139699126
43,0.11368770815909975,0.21467344462840082,0.12341798732299407,0.25009418557170937,0.10821847105015694,0.2286243799368516,0.09974037333945249,0.1670433681128008,0.06390268034340636,0.15353969584690838,0.1136865653019569,0.17229006785386072,0.045614463158301054,0.14546660937410064,0.6634635026492648
44,0.10935401740965252,0.19110490889955997,0.13309390175692667,0.19940553366911945,0.11621887173847825,0.2358587061728446,0.10868106230337042,0.1943384193362152,0.07516811816292986,0.17646059619315405,0.0840588277369753,0.2055069516373179,0.034454106389527075,0.13629597859392878,0.6779421890042797
45,0.09909910262303055,0.23159507146618932,0.10131537429802462,0.22551907019042014,0.10510116399560403,0.21765470017542352,0.08132404230493542,0.16314646339334585,0.08944866475864023,0.22891254907024236,0.09009183397110783,0.18637311540105772,0.03757967941494022,0.14283916893703824,0.7920802772674342
46,0.10498621202023418,0.23758871076471122,0.12714594101991752,0.25478634396151667,0.10220822191874043,0.17053954910729935,0.10424612826713868,0.1795033900486956,0.07520242383338546,0.1990688649337086,0.06718874030566213,0.15723698717683085,0.06978002774504263,0.15051845889711674,0.698484609779758
47,0.13385463573736547,0.22337225075692319,0.09942424117540581,0.20952142772999313,0.10914148762411294,0.20149243126647,0.10038589680873243,0.1809505302512536,0.10473799952237409,0.17746939198912398,0.04903958345420357,0.13861354237094445,0.08938069961654646,0.18261588169655094,0.6280709121225185
48,0.19384512760207723,0.25233329078810257,0.08972428735420371,0.23032273192295852,0.10538189677396861,0.23782572807250713,0.09692249237246721,0.16273612679228283,0.06667114219704193,0.1574887377063074,0.06376241808414498,0.14665091678281408,0.036626883068453985,0.15970822048266983,0.6941315050952848
49,0.12523919549445964,0.2474397146788674,0.10643145337199386,0.21894476305406954,0.13776259014730186,0.23083186912831463,0.0992417309595142,0.1796844136276181,0.07904790880087807,0.174714772378012,0.061578057888414604,0.16177082895590986,0.049212960767200276,0.12809974074744598,0.682972205140475
50,0.14873461543266542,0.23013314176942515,0.14873490114695115,0.22073642173041627,0.07315433194409882,0.1777719644773263,0.07558680231557564,0.20722900462898428,0.10879393478538531,0.18907893653106986,0.08581343103662484,0.18423909373086172,0.03853841791692777,0.11145500255368748,0.6412871308435422
51,0.10196459272769945,0.26039480348443295,0.07025135609421615,0.20430253950962082,0.13236709703918417,0.22543923304935812,0.1313697021755445,0.21050654775822433,0.07838953120809936,0.19031781724186772,0.05620820411084281,0.18100536281496107,0.034631996248114104,0.1228512165378344,0.7896350407925988
52,0.1200022405307776,0.22439244800724947,0.10640033175144901,0.26468472843280516,0.11290461907173481,0.20474479446143334,0.08771115774909996,0.22334230247269748,0.07055143894328478,0.20312648755214416,0.03767564753207091,0.16470182529879876,0.040237933790423966,0.13952404440603056,0.8490332612623179
53,0.10186547787785875,0.2216300975608391,0.12321921823570683,0.24511696490703697,0.1382721537855716,0.2349274816043914,0.07743297359721042,0.18030134589892424,0.09690045182513173,0.19425407384917706,0.05746479869940185,0.16523278477743158,0.03941906631664212,0.12396311106467651,0.7308517193249535
54,0.12383830925578321,0.20233352666171964,0.11460266391688875,0.1919465046468872,0.17297655723956382,0.26554477449837466,0.08042250835197894,0.1818955162675751,0.08191460579413888,0.17022759450434669,0.06650945065189873,0.15260611866178309,0.05987141670256818,0.13531045284649318,0.599728976174359
55,0.0964531586619773,0.18077944514620098,0.1596648711925093,0.228103960089582,0.09645315866197732,0.18077944514620098,0.13598502125897766,0.23008972965684338,0.06917640511863396,0.17029079032471986,0.07655463546329733,0.18914778234302063,0.04885495808198157,0.13766663885407776,0.6337155831212912
56,0.15189327514637277,0.26021325355825126,0.09693485773642165,0.21212152148359809,0.08932312626329586,0.22762374763985596,0.1381847386835974,0.1957280238786006,0.06790116339344382,0.162131988030636,0.06476942459429623,0.17135335610909602,0.035541930003361116,0.1262795934791732,0.7109029683584223
57,0.1289422043440492,0.2660886748846057,0.09267299243348079,0.21109002490171186,0.10261900991471617,0.2243318553299784,0.07767140698855214,0.21657833263769538,0.07819381459612791,0.1636924833044237,0.051598191019775495,0.17451576922419565,0.05076510080603678,0.16124013961465083,0.8350745597945232
58,0.14304219152938405,0.2205594671491911,0.10118866496501658,0.23604014730637188,0.11633818995966992,0.1889779985768237,0.12183245089819605,0.18967924151417836,0.07859510529638132,0.17775754061941074,0.07152088147897771,0.12133265204500232,0.0751345218664103,0.15800094679498614,0.5846959880119283
59,0.1900102268719513,0.24538948342188327,0.100084709571984,0.1835738001642908,0.19064802802064024,0.2440257571132139,0.06695157463451233,0.1581584458553689,0.07292436688919893,0.1981004748724771,0.06573567028988256,0.13100655400650454,0.045252992588773897,0.10813791569931812,0.5367848622661133
60,0.11833496435932862,0.21399055880635837,0.1203683284699683,0.21232006938817616,0.08853079550980268,0.19291768207852542,0.13906999198646494,0.2056539053775861,0.0975475462279449,0.18666263498264643,0.05823734684685023,0.19898405416372825,0.018838547757227788,0.14854357404539176,0.7181449576848251
61,0.17082606662889196,0.2735929127952133,0.11440719491394967,0.18630735121969846,0.08558809629237508,0.20105762422180126,0.07672470637262108,0.2100564564056917,0.08990043795090712,0.16656890697340954,0.07950339970742622,0.18544699972753603,0.0393228862662463,0.12069696052423216,0.687454423735165
62,0.1618625948466547,0.22143246239068554,0.13166483619228034,0.22154286130067755,0.08407244416670238,0.1905388843680252,0.1677464153045334,0.22376897869982226,0.05867671225566679,0.1369364769700788,0.0904919212035585,0.1429447224377712,0.045332872271695294,0.1229878175918481,0.5203044075178173
63,0.12277956476065445,0.22712086275687646,0.11356043137843826,0.29640800537539475,0.11806848388579169,0.18466282317142335,0.0635462812891301,0.17808728615578776,0.08836014159146134,0.1900751982636503,0.05914670980600722,0.1424226734820347,0.052530507985681534,0.16323103009766812,0.7640157586056708
64,0.1396898362235459,0.22173233898652583,0.08321641804048963,0.21189972491788192,0.11066012864686492,0.19727672082879896,0.08615016833587194,0.19285733813332115,0.06543871447731496,0.21404110253880765,0.07551796186015035,0.18278293705044515,0.057950480579060284,0.16078612938092135,0.762752583673404
65,0.1044315266427607,0.18277021224568887,0.0909968810976943,0.20385599664448145,0.14069684782300065,0.23733011730523135,0.13811273458133083,0.195316071770243,0.13258050803974183,0.186870140519641,0.07017645908347886,0.17543150959468864,0.0353663086618977,0.10606468599012087,0.5752774681401902
66,0.12532493283400983,0.2675120514127484,0.1596760219837608,0.2057114668096062,0.15148803503318792,0.197945359791595,0.0772649312083092,0.14853743141695502,0.1337560257063742,0.2094931709450579,0.05664459880610738,0.11218395392852507,0.04145784305383587,0.1130041770699273,0.5087752227488297
