Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Average
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,0.9706299940719298,1.0,1.0,1.0,1.0,1.0,0.9958042848674185
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,0.8455188229136897,1.0,1.0,1.0,1.0,0.9779312604162413
9,0.9529745641981201,1.0,1.0,1.0,1.0,1.0,1.0,0.9932820805997314
10,0.7991972107355442,1.0,1.0,1.0,1.0,1.0,0.9212148597515296,0.960058867212439
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,0.7421954544391995,1.0,1.0,1.0,1.0,1.0,0.9631707792056
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.8899352532158324,1.0,1.0,1.0,1.0,1.0,1.0,0.984276464745119
16,0.6836417623800307,0.9008382169912923,1.0,1.0,1.0,1.0,1.0,0.9406399970530462
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,0.8103413810390144,1.0,1.0,1.0,1.0,0.9477734953401112,0.9654449823398751
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,0.8668072050836481,1.0,1.0,1.0,1.0,1.0,0.9809724578690925
22,1.0,1.0,1.0,1.0,1.0,1.0,0.9197760409820046,0.9885394344260006
23,0.7835836741842038,1.0,1.0,1.0,1.0,1.0,1.0,0.9690833820263148
24,1.0,1.0,1.0,1.0,1.0,0.6825957980858588,1.0,0.9546565425836941
25,0.9694694120771589,1.0,1.0,1.0,1.0,1.0,1.0,0.995638487439594
26,0.9905406236033758,1.0,1.0,1.0,1.0,1.0,1.0,0.9986486605147681
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,0.9695139545512252,0.9956448506501749
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,0.8402154660366976,1.0,1.0,1.0,1.0,1.0,1.0,0.9771736380052426
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,0.8515282561963496,1.0,1.0,1.0,1.0,1.0,1.0,0.9787897508851928
39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,0.5973647330102974,1.0,1.0,1.0,1.0,1.0,1.0,0.9424806761443282
41,0.7672711217243852,1.0,1.0,1.0,1.0,1.0,1.0,0.9667530173891979
42,0.8277823396942453,0.8986357565898481,1.0,1.0,1.0,1.0,1.0,0.9609168708977276
43,0.9231251283021616,1.0,1.0,1.0,1.0,1.0,1.0,0.9890178754717374
44,0.9838112508413513,1.0,1.0,1.0,1.0,1.0,1.0,0.9976873215487645
45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,0.9714368286829708,1.0,1.0,1.0,1.0,1.0,1.0,0.9959195469547101
47,1.0,0.8672310117599569,1.0,1.0,1.0,1.0,1.0,0.9810330016799939
48,1.0,0.9819688790360439,1.0,1.0,1.0,1.0,1.0,0.9974241255765778
49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,0.9752337717198268,1.0,1.0,1.0,1.0,1.0,1.0,0.9964619673885468
52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,1.0,0.9922206892821919,1.0,1.0,1.0,1.0,1.0,0.998888669897456
57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,1.0,0.6424775230065777,1.0,1.0,1.0,1.0,1.0,0.9489253604295111
59,1.0,1.0,1.0,1.0,0.9078359789336484,1.0,1.0,0.9868337112762354
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,1.0,1.0,1.0,1.0,0.6991361467938959,1.0,1.0,0.957019449541985
63,0.8570046449061305,0.7420058028068701,1.0,1.0,1.0,1.0,1.0,0.9427157782447144
64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,0.5928999569166066,0.8152030376912935,1.0,1.0,1.0,1.0,1.0,0.9154432849439856
66,0.7133859582032732,1.0,1.0,1.0,1.0,1.0,1.0,0.9590551368861819
