Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.11710728799086977,0.19049744400670182,0.1298109966476316,0.22952138239117562,0.16886829303887937,0.21826579790019332,0.08775220593692981,0.16886831266016047,0.1084421530083889,0.21467771656215162,0.06560077531081575,0.11710728799086977,0.05366934990760052,0.12981099664763157,0.5374978763177685
2,0.1386164285846338,0.19613321755049937,0.16057077550832782,0.19928434908817685,0.09740927594363173,0.2264446887776738,0.14182030646684143,0.1929151010982721,0.09345909163223218,0.15581825198117322,0.07029757304267255,0.16420257690303333,0.0198936770070402,0.1431346864157916,0.5558657436292406
3,0.14514421304186903,0.23933993894512337,0.1330398490591508,0.1779036008572143,0.10288732145030356,0.2660796981183016,0.11966996947256169,0.17367315188684126,0.08508653689247044,0.15161321959524066,0.08527940578592819,0.17017307378494081,0.04722269965975064,0.10288732145030356,0.5633400092759312
4,0.16792410754748,0.22020581569944686,0.1540308802734581,0.24883842776746704,0.12238007518406029,0.1847731086290177,0.08752782646337336,0.15831143115256907,0.07269190377885994,0.15904257893278292,0.07056430351274909,0.1679242855040354,0.05650079372780048,0.12928446182689976,0.5367602190244375
5,0.15640606126447504,0.22161808958351337,0.1613768269438898,0.24635016223852596,0.10510267489530924,0.16372149264759112,0.11201780149404314,0.16172045885580583,0.11080904479175668,0.16137690963070342,0.06812968823016266,0.11201780149404314,0.054573812990429925,0.1647791749397507,0.46316817877986705
6,0.1687743430851838,0.20561970391821593,0.10849918877997237,0.16877437423289413,0.1586990475243202,0.17754610163921455,0.10031390547053617,0.17373655093229806,0.1676275959884911,0.16877436182764663,0.08041931623214718,0.15964790830605172,0.04343613718515143,0.11813146487787667,0.3444609314683954
7,0.11476391759251896,0.17992308444804475,0.15426947760958448,0.22952783518503797,0.1665968509256202,0.21247061814431004,0.1054432527229817,0.1634309355939562,0.08051958577986447,0.16932073171270942,0.0678965077255133,0.16266222831257235,0.05738195879625948,0.1357930154510266,0.5062568976953147
8,0.12022526303392973,0.1871772976348073,0.12109820580686934,0.22815969838448263,0.10586631372094828,0.2421964116137386,0.15310815769296798,0.19546597945125543,0.10097815882389392,0.15310815769296796,0.09341515048329575,0.13090165826217498,0.06243323367771971,0.10586631372094833,0.48575103352075055
9,0.12493204813430424,0.23987650491966314,0.11993825245983157,0.2330255832613362,0.10241379285641761,0.22019673535506648,0.11009836767753325,0.17970765341507902,0.09924015109772448,0.12493204813430424,0.08985382670753952,0.2028030925214916,0.05056815060329104,0.1024137928564176,0.6059108209267167
10,0.13105795198226264,0.32587530315792007,0.16293765157896006,0.24946227071359578,0.11982842665363136,0.16593599971975298,0.09595211359822045,0.11982842665363136,0.11982842665363136,0.13545798284121205,0.055311981109538874,0.1499726349174819,0.03749287843789841,0.13105795198226264,0.5551811399717136
11,0.10835063735400915,0.19144132799067592,0.12608820928931147,0.198078040479124,0.18911886101022582,0.25217641857862294,0.12983057610439377,0.19312081477889756,0.0958582460169819,0.14945332563756764,0.05927315375327385,0.10917923719252173,0.06820057571000049,0.1298305761043938,0.44655948152360714
12,0.1573065628691484,0.2224225098368036,0.08243626559166829,0.21514266071508364,0.15873475347820745,0.2367541284074239,0.10676407213819439,0.1598638285877624,0.10757127650761181,0.1614071570272677,0.10585540187247207,0.16337261935013833,0.03993245953916753,0.08243630407905048,0.48279841600706014
13,0.13801354221035622,0.22526915134110956,0.11552929393970839,0.18988212124609258,0.18988212124609258,0.2942653573734911,0.10780178005041878,0.15950741439680335,0.07975370719840168,0.13824895296467354,0.0706871349767881,0.13427128519555814,0.041358788699413625,0.11552934916109237,0.5139472633576413
14,0.1555898665400863,0.2514705921021171,0.12711082104558055,0.17520896372497613,0.1271108210455806,0.17520896372497613,0.12573529605105854,0.21412200755675895,0.08760448186248807,0.1623106567648996,0.06849623372482816,0.15724477736746592,0.04567569744360312,0.12711082104558055,0.5253535645735491
15,0.13061120858361835,0.20569651645342038,0.1591262972808962,0.2612224171672367,0.1028482582267102,0.17415165537994892,0.08497859494421492,0.1611138029344716,0.15026330782844985,0.18799290926341086,0.09399645463170543,0.15618247167362057,0.046686759825686146,0.08512934580660987,0.46297823735743776
16,0.10961935922457786,0.2689743664140701,0.09655264766860751,0.21923871844915568,0.12492861083087371,0.19310529533721504,0.13360702095218208,0.13924955294367086,0.13766503980201558,0.16288500241494994,0.07133763980937748,0.13766503980201558,0.06675815883956121,0.13841354751172724,0.519063045745609
17,0.12337138795569014,0.16661702503737594,0.15855658981759957,0.26736546262784755,0.16661702503737594,0.2370398949024363,0.12337138795569012,0.16661702503737594,0.0740953658775316,0.15855658981759957,0.0503315951300345,0.15125845686370173,0.05553896123002881,0.1006632327097123,0.4962353739920986
18,0.1534188467704786,0.19547014231236054,0.11074305987009485,0.18836634092639729,0.09773507115618023,0.2214861197401897,0.08987912771085095,0.14201035669831227,0.13637037765112123,0.2070020287606946,0.07032617287411624,0.15527966226356332,0.06900067625356486,0.1629120170120752,0.5450533354271859
19,0.14907266964497873,0.20475596380078182,0.12484414601349415,0.25350614895269746,0.10555672403151717,0.14907266964497873,0.12675306058994024,0.16781453681673972,0.0930622260837047,0.13668841337977247,0.13649687252725592,0.18758260849312375,0.03994977682198493,0.12484418319903012,0.4485290485742482
20,0.15057305817754668,0.24806955702915895,0.14278577739822165,0.2638959158917717,0.11760450301864685,0.17994690387525364,0.13184669585892314,0.1974947463290275,0.07236705966353837,0.15057305817754668,0.07061014958963967,0.15519973366690315,0.04498672596881341,0.07404611535500848,0.5384520606493404
21,0.16181223677081305,0.17727074194647743,0.11358590798289045,0.26744840458807984,0.1222880521789775,0.22717181596578093,0.09193335159102088,0.18094802879907879,0.08863537097323872,0.10995115470670844,0.08618136463369899,0.1222880521789775,0.06645819455124431,0.18402732313301295,0.538211042636232
22,0.1459036871758717,0.16586818526476385,0.14590376647828748,0.18700454014080917,0.08293409263238191,0.21439727730197036,0.1360964326022209,0.14590376647828748,0.09243212994060133,0.19551351776986522,0.09708634479366947,0.15249268021457585,0.05359931932549257,0.18486425988120267,0.4920884541029492
