Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.10924116330505432,0.29538101116156235,0.1377849459065269,0.1991444003694418,0.11347304784072676,0.19050568143621094,0.12251133141486581,0.15128231758027832,0.07404687253492112,0.15499594501006791,0.0832087431521829,0.1584145320357703,0.05872769067211245,0.15128231758027832,0.6020124103472198
2,0.19705539115180895,0.2580499630854204,0.09852769557590448,0.23119004601432985,0.0744415851136232,0.23932929338926706,0.09908792774786267,0.24812959606538554,0.08059377110689245,0.11377683855930734,0.043587373931632784,0.13496911979950518,0.04792331418800473,0.1333380842710552,0.7175658823685414
3,0.1497753829815007,0.1916285304268965,0.09136923921061557,0.23745835296017054,0.12640941444836912,0.20761016709318048,0.08220939804269646,0.18629516141888952,0.07059983242074466,0.2374653529601705,0.06112298397997551,0.17589094607496208,0.015160447211053585,0.16700479077077474,0.8067066034100889
4,0.09232873590973617,0.3235134878299377,0.11374660143788412,0.24810920306095252,0.10396205593491852,0.21955743189501936,0.020712346033093576,0.180925568916085,0.06230404074580129,0.20791811186983686,0.07815429565984353,0.20130778775710192,0.03332122115011914,0.11413911179967,0.9909414062572071
5,0.08292781213401959,0.28570096289014013,0.1142881902133811,0.17922235670662034,0.13296541423029185,0.2856972962234735,0.11060005050243696,0.1862376074315333,0.07533094940413235,0.19351158565579865,0.06323561914381597,0.14285048144507007,2.9999999999891225e-6,0.14742867401928583,0.8412979287438441
6,0.07903375525810225,0.26474176155617074,0.11218664870758643,0.19436031063729187,0.1426606301443992,0.18321408633989053,0.09042057928606408,0.1846109316364205,0.08374057289872194,0.196645430161567,0.010442254340390256,0.25421904677569956,0.04078963401555108,0.16293435824214483,0.8814518506983698
7,0.07785992129229635,0.21725837939640158,0.14802597110458193,0.2864967876882214,0.11535822749049084,0.27262569086116073,0.07940272762905878,0.14324989384411066,0.10863218969820088,0.20440591618913506,2.333333333340293e-6,0.1869808410792128,0.05107193069559507,0.10862918969820079,0.8392933975128858
8,0.09148178863510514,0.29161354059005373,0.10254370676792526,0.2321527001806594,0.12028287529478811,0.28988595177691295,0.03884645114896654,0.20508141353585052,0.06988525139768792,0.1607569284768005,0.06671883317223526,0.1573084839909195,2.500000000030256e-6,0.17343957503209512,1.0204771871665834
9,0.11603177200233189,0.33380971781576463,0.15836404251619593,0.2704421165964358,0.05603682311842968,0.21440069494093128,0.01931906567267029,0.22199300231826735,0.0759494958332764,0.1465953160439,0.04718923628058218,0.17884319541473404,0.04010026878314917,0.12092525266333107,0.9740185915867288
10,0.10260278870577116,0.3450991120451332,0.12101939625357785,0.1896659073454395,0.13392352882694586,0.23407075923648557,0.08613845020703978,0.14971816338984345,0.05668308860428338,0.18368445261951832,0.029558349001898354,0.17985484309701266,0.041024534947084385,0.1469566257199664,0.8580997269067985
11,0.11702061524929347,0.30959954070199097,0.11654200992042466,0.19729422647424907,0.07657560061990365,0.28026704065234664,0.028343744884953725,0.17228289218626097,0.08921316031806259,0.2010970438475902,0.051929284507998566,0.16342683072482755,0.0028718738016627193,0.19353613611043513,1.035007421395401
12,0.15627932412611228,0.20095886760240161,0.10569135120471113,0.3030543732510169,0.10400252553910659,0.2210478941965478,0.09688818717413404,0.20074292337751487,0.003184126410986421,0.20074067337751486,0.08217088374358604,0.17811096592163284,0.019740265101217014,0.12738763897351743,0.8640866734002928
13,0.11201756578186106,0.29629751220308354,0.08737107464679958,0.2089344375562839,0.11869667515891302,0.14814875610154177,0.07661173276954017,0.20326301341168448,0.0995563196003931,0.1975217660436656,0.07446466477125846,0.1542482038971337,2.9999999999752447e-6,0.22286527805784168,0.8625579345424692
14,0.18114763106800366,0.19807521815334825,0.08574138358223427,0.1896097579440093,0.15055981647667757,0.23767139901857856,0.09931072877562341,0.20309339841782825,0.0744279062673528,0.13204758988001006,0.0558353085876791,0.15822473470900353,0.04464536917564192,0.1896097579440093,0.6166637121335745
15,0.10928450729357292,0.3601505934087806,0.042239072938399735,0.26305665696473335,0.09262276605010311,0.22668140271320492,0.0289048704694886,0.21676894251198886,0.08552188495338273,0.16888641196565793,0.06450948719387142,0.16888341196565795,0.05243979376823113,0.12005019780292686,1.0489552346659006
16,0.004019101146275683,0.4158697450760017,0.06197917062395089,0.2002955449485673,0.07657000139579462,0.233009740127737,0.08345168671724532,0.17666503510220197,0.0032794350408696382,0.2601131218194473,0.009217013369226867,0.2825462377810296,5.799999999819838e-6,0.1929783668516526,1.5229555834132746
17,0.09391283270307427,0.29858280880853266,6.999999999895978e-6,0.2727143823763891,0.05419192349078822,0.2878296935229725,0.07094475093626003,0.22394388947040728,0.02354906352106656,0.19624362075580337,0.06541694025193442,0.20987179027815975,4.2000000000097515e-6,0.20278710388461196,1.3839465781937532
18,0.12175577493793917,0.25308244728957624,0.11128805834281219,0.167236339727721,0.14096089473917578,0.16356131634460624,0.13672734245710252,0.16723433972772098,0.0809527469923966,0.1739583503930409,0.038386168470003396,0.20529998368709293,0.07599158721287255,0.1635646496779396,0.5878748536953957
19,0.1834096467195058,0.26957275967881233,0.1215366351150514,0.2654120306641373,0.0967386664447972,0.16622411331414702,0.0445792429453839,0.22648753653249232,0.06231253520705397,0.17531426551674084,0.002922974638472714,0.19347133288959434,0.05662371746645646,0.13539454286735458,0.8637531629265572
20,0.09035292563797828,0.3615602563846053,0.16156857179763465,0.1755800532953681,0.06496854861569906,0.2564898388353825,0.08219754635787774,0.16857171254650155,3.999999999948489e-6,0.2142177535046489,0.07144983689958571,0.17840137421348928,1.000000000001e-6,0.174636581911229,1.0589151413824494
21,0.09013597686760855,0.31823285866860634,0.08023493245046628,0.22135188195497033,0.06874566356001383,0.15264421839495665,0.08404593403708266,0.2875823131738891,0.07042018901912309,0.15994878081721442,0.08524153904708608,0.14471456291277335,0.05246845723497251,0.1842326918612367,0.937414615567294
22,0.01379617758099927,0.358588512600324,0.09309667254533081,0.2654962551493328,0.09187443319020142,0.2125973134178276,0.022423197428055208,0.30446174660802905,1.2999999999846468e-5,0.28627215531136285,3.6666666666101966e-6,0.19889171565108643,4.200000000037507e-6,0.15248095385078428,1.557577305177494
23,0.13528641033225586,0.2617595354541784,0.11096253595395654,0.24110320828494303,0.1670948466608231,0.16710084666082306,0.06347412188669041,0.16726683820880967,0.04855629976641377,0.16709784666082309,0.09248544878903824,0.19516420201425638,0.015553012666165433,0.1670948466608231,0.7331746478893134
24,0.12023438430362846,0.3055034133956174,0.061668832638154134,0.20851059354994705,0.16061446860182008,0.25641111849807396,0.0636537037940565,0.15900211968321876,0.07525700702896476,0.12841260190144682,0.04163406482015797,0.2191279151725622,2.999999999961367e-6,0.19996677661235157,0.9538690776264358
25,0.10512086124266994,0.24623549450400684,0.07342278290299736,0.23004031959242183,0.07361155134654457,0.2583081406897321,0.11725204625933888,0.25831164068973234,0.046130718739324866,0.15181033606402294,0.08715451607527656,0.16137801708801786,0.015548796932575534,0.17567477787333846,0.9635174530025447
26,0.0893810908938281,0.2132121002653869,0.13760913977645706,0.24860183925874957,0.11301478366797621,0.24450277990733613,0.09017090060277347,0.20956985546905169,0.023063251075396723,0.17875538178765613,0.05409659300445617,0.21129026592610822,0.05353397706534619,0.1331980412994776,0.8782605278275323
27,0.0635002594309248,0.24359822490319966,0.14558635940974143,0.162287430376204,0.07696894744648636,0.19877005989808622,0.1455863594097417,0.162287430376204,0.07696894744648636,0.20451542481951174,0.15393789489297272,0.16909235495579272,0.042964411741675854,0.1539358948929727,0.5889736404439418
28,0.050803811573973956,0.3386161873102914,0.09372888877079505,0.26359476796607934,0.04861844589051806,0.35731925673687437,4.0000000000595115e-6,0.3364368605430482,0.07245524260150008,0.0968608510536455,0.05420632213825603,0.08465604682757281,0.0595546761228124,0.143144642464633,1.241257225804289
29,0.17428908588262898,0.2180367676910926,0.1530598736901781,0.21480663171922054,0.10303404218767681,0.20745465800460683,0.08139453621808002,0.19616059345352743,0.07727095932608252,0.165426672224985,0.0857738362787232,0.16684704576687232,0.049041315030048535,0.1074039825262769,0.5522727027731635
30,0.0766027400536799,0.2556796122746352,0.09356115366407347,0.2683493727410007,0.08331922477654187,0.2638182388769884,0.10442874921142897,0.1593928229988928,0.10018661644491045,0.16464161693385315,0.039529194687826494,0.27033902947660277,0.050093308222455224,0.07005831963711062,0.9045580258781671
31,0.10991731763045873,0.2620862407171122,0.1310431203585561,0.26208993302480443,0.03992385136674158,0.23391366663598107,0.060928792018769384,0.1965637489139025,0.07259034363196848,0.18599900139600767,0.027519683834060032,0.25645815881398126,3.666666666637952e-6,0.16096247499099003,1.1161464489855584
32,0.16504801170201724,0.28716686005921055,0.09873458467447302,0.2260824358806143,0.07503529311237495,0.1932019643830728,0.09834044725103791,0.2637519391343921,0.06818064396412585,0.13115013346809606,0.047564365312485576,0.09052059659635749,0.07418153126902713,0.18104119319271497,0.7458302454289167
33,0.13076811479907974,0.27308826974877515,0.07731097468369336,0.23189854103184726,0.1546219493673867,0.17498371788341838,0.04545643745673472,0.2081108543389556,5.000000000032756e-6,0.2586723765368645,0.08993666372355419,0.18063305615975617,0.0037775980167771145,0.1707364462531572,0.9962465239055484
34,0.048925783003494594,0.30184054541960714,0.07676745238171552,0.23462147308341613,0.08543993362779917,0.28474722105403494,0.09611184031170766,0.18864004740899387,0.046702535410870216,0.12439429454630727,4.8999999998911026e-5,0.35592694811683756,0.00014060575979395196,0.15569231987542298,1.2917256990092398
35,0.10226777092342723,0.30441913329531267,4.000000000017878e-6,0.24918514107126138,0.004347729381378174,0.3716629276137415,0.08885441625706247,0.23778756072690593,0.06784752058894528,0.1699540401379604,0.04343178690260281,0.17524953078291788,0.022087070753545462,0.16290137156493875,1.342319410386077
36,0.05807106290467573,0.34500794986508987,0.06660747276181947,0.2015367920991685,0.14844676947737737,0.24508745183935024,0.06430627541805345,0.20302328835084227,0.0983840553291819,0.20428264905245871,0.05033854848106975,0.127978599992501,0.050385555167649275,0.13654352926076269,0.9269205209203464
37,0.11549103678969358,0.24866307104167829,0.09950496011444113,0.29675639603819903,0.09936508306598373,0.19246948989950907,0.12819957878825308,0.16699299143367055,0.04509234550498443,0.16446648696127159,0.11589743459568427,0.1808669614425147,0.055834345814884556,0.09039981850923207,0.6812304306521505
38,0.10333895584231036,0.22936775296587986,0.1301721819418632,0.24107552164002632,0.040266961592416495,0.313998816082832,0.0878536503833871,0.15700240804141602,0.1301721819418632,0.16088399169075518,0.023650459518818445,0.2182876302244639,0.0433907273139544,0.12053876082001316,0.8823097629307732
39,0.11274793903929782,0.20397677977244227,0.057851290058748284,0.31671929024031154,0.08744648521409903,0.24321375417270902,0.08266655984670201,0.22030451166599246,0.0209840694772387,0.21075719258992748,0.06680881909442443,0.1848072587418133,0.026388930392889698,0.16532711969340402,1.0902118137532002
40,0.10172428412816814,0.2372432266902016,0.15766256007114918,0.17948781447591486,0.09021986883815737,0.24722450674913482,0.08443609415688008,0.25220952165731686,0.14674993286876634,0.16857318727353202,0.00430051800214612,0.16857218727353201,3.0000000000030003e-6,0.16159329781510043,0.8298074838694653
41,0.12994850125804597,0.24042832145837584,0.1424737536145362,0.22058673255549646,0.11485486999302519,0.2206812590698517,0.04129175381448165,0.185186268501068,0.08388553226571922,0.2185347609985488,0.03968293971212075,0.16776506453143844,0.013152999142275718,0.1815272430850163,0.8694193003995909
42,0.13200351080607176,0.20409229615033303,0.08248048480584198,0.3272390866343529,0.09001710314240556,0.19403300373698906,0.05412781970645589,0.25129058782421687,0.0792024064836431,0.1890247483899152,5.000000000032756e-6,0.25076840249172333,2.9999999999336113e-6,0.14571254982805137,1.1243213501111635
43,0.11564167725698438,0.23862837496942313,0.0503992813223344,0.2445094749112532,0.07975780159960744,0.2407915958779141,0.07174478813916503,0.2472484049063869,0.0885760130566019,0.1474920998890579,0.0872054368816885,0.1833881061834399,3.000000000030756e-6,0.20461394500614333,1.0133440034872367
44,0.10131854040897426,0.21675493364356346,0.1107104795583353,0.2638658097311885,0.20730420808565642,0.2179328722172476,0.09472213411956454,0.17976387533240068,0.05946114163440989,0.17879085243354198,0.0691014026952188,0.13641049803797894,0.021739853701111783,0.14212339840080818,0.6712844795934583
45,0.12971961945892901,0.31117927535761297,0.1272023202098127,0.2690801151087925,0.08957815735556399,0.231474735286293,0.12034727381989932,0.13405736659972609,0.08384148368182257,0.15558788767880655,0.01025404836187549,0.18649425439691655,0.024232991905720647,0.12695047077822846,0.8296482104127524
