Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.13097577450861028,0.24632841381605136,0.12864683163743595,0.2043582880670079,0.1273236191630647,0.18122116707044622,0.10974105183340399,0.1730166046373576,0.07152429186144,0.1625803073070647,0.07210495804390851,0.16649418559722048,0.060499732582889605,0.16518477387409852,0.5983674807384938
2,0.19873860103410262,0.25559421894149886,0.10059231699744939,0.2230534850638024,0.0932913308011997,0.19457491723608383,0.09723874612785607,0.22163833366906754,0.07191100784845313,0.15011544094901033,0.066160155610959,0.13268309581042384,0.04957056641929563,0.14483778349079762,0.6449945503213689
3,0.14062937415693796,0.20369507982335305,0.12996263779530962,0.20399497297614674,0.13230478287554323,0.20835563267053486,0.07444035855859417,0.19339429330826713,0.06482265565004167,0.2119192648926049,0.07276766204232121,0.1721395781644943,0.030125211970067952,0.16144849511578332,0.7098946339023685
4,0.1591878650848777,0.24387650472044659,0.11422187767917234,0.23078643199486784,0.10992430353884462,0.20832260885380252,0.07295555594872824,0.1429317767507645,0.07964753234602462,0.18400200305742626,0.08274504962788823,0.19122048184187193,0.051597947347378784,0.12858006120790583,0.6594397368541709
5,0.0899309573177715,0.24195072887309874,0.10397658010942402,0.19636839265335357,0.1481832683816133,0.250692710768958,0.1058886521283966,0.1975922992194979,0.0726772445745707,0.19572352435854254,0.06876071974618322,0.1605002234423743,0.047404814606936206,0.12034988381927936,0.7263555262702088
6,0.1263148584878617,0.2092887285267974,0.12505686727377802,0.1897353919399992,0.1354860477734045,0.19982571999863835,0.09410890437322059,0.1778947769746826,0.08740458698867301,0.18912794384746437,0.075223710463037,0.18162819702105196,0.052343970717058146,0.15656029561433332,0.6081221078459342
7,0.10624435774835053,0.19054315958667073,0.1784784076629314,0.24872257232559272,0.11412977941207228,0.24221934429493783,0.07660369790130954,0.15944276520316442,0.10957782985245444,0.19999895796055592,0.06084195534296567,0.13095323444525547,0.05167834886161628,0.1305655894021227,0.6048912464365996
8,0.11188300318382795,0.24291581252568,0.10780461345725759,0.2207164719719194,0.13221401385294643,0.252977657804491,0.08504250219938674,0.17194818070148127,0.07021484916175119,0.1791880215381187,0.0611931421838481,0.18228405578433798,0.0417533357099961,0.13986433992495761,0.7797890805019718
9,0.1279159378330281,0.2728638698028747,0.1652942093449065,0.2445555529061554,0.08130513603478094,0.18804242501949778,0.09540097089799349,0.15681951708138725,0.08898197675532564,0.15763769926832508,0.08021234274093555,0.16678376901977665,0.042164582724292736,0.13202201057072024,0.6374496873374741
10,0.12992183146840938,0.2744252997625399,0.11801901647512987,0.19934764218496054,0.13045810198647173,0.22550336341338406,0.08636663512289132,0.16935697340966402,0.044486805495759306,0.18904020300971677,0.053150019159685,0.17006473334923622,0.05788311206628986,0.15197626309586204,0.759428956450727
11,0.1409065895939426,0.2577026270171891,0.11769522673659795,0.19666707202377626,0.13228497343310727,0.22362464011425262,0.07083205585767727,0.15204644022651476,0.09658933949132158,0.1930719059080507,0.05685553105004894,0.16926392126345755,0.040690042925163296,0.15176963435890004,0.6882924818242822
12,0.14916982745490442,0.2133537484935216,0.10967021369853928,0.2512023731536715,0.12089092462265594,0.2067841692418003,0.09449519654420831,0.1975676353693179,0.07605694650856622,0.1446040180108315,0.08034472981039412,0.19159195300326023,0.04159431875537945,0.12267394533294915,0.6555556852107045
13,0.13960227568911904,0.24743789087896403,0.11229174172698632,0.19145759488481068,0.10559569709590115,0.1786130973700027,0.07844367186086233,0.20133562650712275,0.11289548634958835,0.19249414691766478,0.07451232543812689,0.16208511810772872,0.04628839346038823,0.15694693371273408,0.6607408167580554
14,0.15741602509500036,0.22033832381525983,0.0828958144510247,0.19486058882995874,0.1527917500366295,0.2200900029725146,0.09122726582756889,0.20036829919986696,0.07344291167360394,0.1584240215739065,0.05249123038418385,0.1640803488905483,0.050823876827600444,0.18074954042233338,0.6778222514087766
15,0.16171014335951434,0.2759823038137719,0.10050691655393514,0.1992408610672499,0.08799676458725646,0.22088709070598037,0.061510811729063024,0.18345735013143183,0.08570495830465294,0.17794757487027152,0.0834497566208006,0.16831530528137037,0.04952137389652972,0.1437687890781718,0.7391985498964955
16,0.14150304669871422,0.2582687432523625,0.08382280469068426,0.1912343243830829,0.0902904062460516,0.21704042733126802,0.08288717139950941,0.19178655895039123,0.06333854259376336,0.1914041965329505,0.0779609974652521,0.20331792997921408,0.04182362330207794,0.16532122717467776,0.8367468152078941
17,0.11932415118187605,0.24466359486178163,0.08949570460960062,0.1963115312051205,0.11076410970097343,0.22475479123924616,0.08012680403219982,0.2173030398155671,0.07370000860589956,0.17002365005236078,0.07263457398136872,0.19964005485286318,0.045286584543079614,0.155971401318063,0.8173361266900045
18,0.13736730158768906,0.2208266846481059,0.10280598277693291,0.17535315040908767,0.12945013769390956,0.1874960689769589,0.13423510063130498,0.18455790892986565,0.07974050208020626,0.17437593098287654,0.06602063733390084,0.16670756616458998,0.06931557319378863,0.17174745459078306,0.5621295294045354
19,0.1620491393965258,0.26794780487472686,0.11951921885212027,0.24262455361020302,0.10423858472726903,0.1784843907673655,0.07582723495750786,0.18477197824585972,0.05796765919214101,0.18162818714597379,0.055997144782643955,0.15134587392074791,0.049591453363087346,0.16800677616382792,0.7496191294574095
20,0.09867405973222003,0.3022591154453861,0.1356098119239478,0.21830975425690666,0.06770627620459918,0.22551753303763128,0.07090417216301316,0.19072976521548157,0.06521071793179596,0.16551625875814197,0.06617547124253356,0.18974515355949245,0.057159775497525774,0.1464821350313247,0.8771194306087293
21,0.11623721770782777,0.2566228199028093,0.10590140719856614,0.20140120380588636,0.07667754808113772,0.1650784842848532,0.1099225984434258,0.23561686800652995,0.0690627983976952,0.17121284268043885,0.08111348283299873,0.16652928039747592,0.07265379343536416,0.1719696548249908,0.7368623078059688
22,0.15424917997683144,0.2215205915910898,0.09390852866611506,0.24801969509230787,0.09702835714757833,0.21223344904024494,0.0949442556447581,0.21880087647588445,0.06645872125466008,0.200126951641179,0.04507231692015747,0.16130152531834932,0.048254999358004216,0.1380805518728399,0.8001672820637906
23,0.13130125367164902,0.2434667899924658,0.11723006429103847,0.21593245304281555,0.13790231500134173,0.20324290811140347,0.05813129339974905,0.18849761340406793,0.05869154358839291,0.16747896855867248,0.08879816661348526,0.19473502774193766,0.04182507842445931,0.1527665241585214,0.7322405700197685
24,0.12189062388884508,0.26269507276252374,0.08605524991550555,0.19277539681553685,0.15875636937495136,0.24132349682740725,0.0745376401982295,0.1622645419217532,0.07825709217091889,0.15443195515461472,0.08558478237243294,0.17605315775957936,0.06026260166708596,0.14511201917061547,0.6693112808240613
25,0.10710885534869632,0.23017529019479646,0.09198742768193348,0.20630082832143729,0.1005035077857801,0.2232504068434195,0.11290341382973558,0.24302564098500093,0.057454274635647576,0.1586835180565003,0.08408353940776422,0.17625052992783002,0.0640873655604678,0.14418540142099037,0.7637432314999498
26,0.08756161918686364,0.20628020532641694,0.13207974901021607,0.2401709744663465,0.1341273492699739,0.22648197968645808,0.08292231863968072,0.208947715314398,0.0433611519109247,0.16331746928694788,0.07950200886385196,0.19058603089086748,0.0514398374877783,0.15322159065927585,0.7780119312614213
27,0.1274903522070338,0.1810054211384695,0.13486042944603352,0.18380116494096885,0.08097418809209198,0.18789189950696855,0.13486042944603352,0.18380116494096896,0.06965160713230391,0.19773463539250255,0.13300626444736155,0.19366403692375694,0.04072227441194239,0.15053613197356394,0.5568689096343986
28,0.10362954682655094,0.24357377695931914,0.12263572878407682,0.22762372387129945,0.12121718174839491,0.2481850373028798,0.10987747286680603,0.21234602955158,0.06599638036356634,0.1417104419227022,0.05149229486598806,0.12838661552815694,0.06471245611521871,0.15861331329346065,0.7208778768587963
29,0.1605635001418355,0.22466161061188397,0.13391736098007553,0.22427998241745314,0.08649140471316732,0.21190289390018954,0.07803245699068777,0.1951830156640592,0.07146765728154635,0.18134796868833675,0.07737874862057696,0.17871943584043365,0.04353190134127005,0.1325220628084843,0.6972339398616811
30,0.10805229711496907,0.21369990295528218,0.12482841344657654,0.22856864341751723,0.09163084188520261,0.22025553724443991,0.106695362625064,0.17482439888954238,0.09609293888292128,0.17855843335325053,0.09887465844879119,0.19872375424253036,0.04318815083469781,0.11600666665921477,0.6612746735235548
31,0.13677313339182773,0.22967356352183826,0.1367260518584916,0.24611558584507445,0.09113528827960818,0.18946157223523605,0.09532779756038208,0.1754787072731907,0.09085159406844044,0.1776414970565254,0.06316305740588178,0.19702425158148063,0.03760358647684125,0.1330243134451814,0.6968389819170538
32,0.1640428402369128,0.2583457209211953,0.1389216957999233,0.19083614095611232,0.09632440870613745,0.16997685786188127,0.14664399445132587,0.20831518453871434,0.07219645462608372,0.14415638090974642,0.05261512667147545,0.11054144301022487,0.08578060166203576,0.1613031496482311,0.4869497556922113
