Num,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Average
1,1.0,1.0,1.0,0.611729628244282,1.0,1.0,0.8307360226741711,0.9203522358454933
2,1.0,0.8064621275649582,0.7615749172594248,0.8944062902705854,1.0,0.7054660391530888,1.0,0.8811299106068653
3,0.26721252043337174,0.7764484026447794,1.0,1.0,0.9888827038530792,0.6768805734959399,1.0,0.815632028632453
4,1.0,0.8365114121565016,0.9122415189616628,1.0,0.7193072190321884,1.0,0.5105133335189652,0.854081926238474
5,0.8860440419946456,0.44066348855496834,0.8109172199653047,0.868570883745063,0.832011184190921,1.0,0.6731431414353667,0.7873357085551813
6,0.6564607324385365,0.7211497152597596,1.0,0.8992313677543042,0.8549964935069523,0.7848600113597151,0.5086065152072088,0.7750435479323537
7,0.7682832020836905,0.6609870766154765,0.6233520998544465,1.0,0.8921780983879899,0.8680918322094677,0.6660596247730373,0.7827074191320155
8,1.0,1.0,0.7066503864797858,1.0,1.0,0.9075664583015277,0.7496890795187674,0.9091294177571544
9,1.0,0.9143097482905911,1.0,0.7894387770071849,0.7693266155947163,0.8593828189711761,0.5638182945038492,0.8423251791953597
10,0.7550128935527333,0.9193318102497837,1.0,1.0,1.0,0.8804673137481577,0.8656527396468624,0.9172092510282196
11,0.652732369550816,0.7552778961644445,1.0,1.0,1.0,0.8459232842903276,0.9523840618273864,0.8866168016904249
12,1.0,0.6541212726792112,1.0,0.9579469573498054,1.0,0.5396637238733195,0.5394365768645478,0.8130240758238406
13,0.8724799290883556,0.35187431088855997,1.0,0.6895759695628833,1.0,0.9895218877320575,1.0,0.8433502996102652
14,0.5919841966089043,1.0,1.0,0.7152265155516658,0.9566222690953463,0.8747571229963784,1.0,0.8769414434646136
15,0.6466398356341652,0.9770989011790281,0.9194933388285481,0.6763326293471899,0.8711200546386592,0.8170054034444528,1.0,0.8439557375817205
16,1.0,0.6352975078151537,1.0,1.0,1.0,0.9847582031812374,0.6191729312586756,0.8913183774650095
17,1.0,0.5188901580335299,0.9380956626089727,1.0,0.8798340774763992,0.8019900838823271,0.7878408992254473,0.8466644116038109
18,0.3009506996192404,0.9516412291299432,1.0,1.0,0.7184451038095665,1.0,0.6883305287537966,0.8084810801875068
19,0.5623550949906204,0.5872187332720338,0.8888365470450258,1.0,0.9748938800195843,0.722177708076052,1.0,0.8193545662004738
20,0.5113476878113666,0.8440062615010707,1.0,0.9866899830499631,0.9864586058809266,1.0,0.6502655353363431,0.8541097247970958
21,1.0,1.0,1.0,0.7803288895189564,0.9847746136061203,0.8269766021869568,1.0,0.9417257293302904
22,0.92814440238246,1.0,0.8571160699331677,1.0,1.0,0.6520090792845462,0.9525738120129345,0.912834766230444
23,1.0,1.0,1.0,0.48141413789620013,0.8504751425459983,0.7122049297484858,0.6851996442899269,0.8184705506400874
