Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.1432347525611025,0.15624735281761679,0.1279450369528708,0.20820095053605933,0.10410045821424654,0.20281595442785427,0.14323481521359435,0.25589007390574153,0.09785056430653295,0.14759962175561456,0.07620893807862313,0.12738565662811552,0.06369276024597084,0.14559306435605684,0.48746534885411774
2,0.18840676679638327,0.19762844181376296,0.09685324952127869,0.21052928926391482,0.0980633515260904,0.255430507479223,0.10060978702277497,0.21805621082319068,0.08135204641518264,0.12344019219908631,0.06172007440751887,0.20121957404554994,0.06983725916476483,0.09685324952127869,0.6063149302920128
3,0.15303122018261991,0.30525344521638637,0.11042652756100017,0.2414115490131514,0.11727091908905221,0.19757375992182322,0.08407714961709985,0.12362936970994985,0.07684760597675125,0.16816136041452032,0.09704466069905052,0.1530312201826199,0.061814684854974926,0.11042652756100017,0.5989744640389024
4,0.13951703990056225,0.19579798387186687,0.14204364614858064,0.22991536373035787,0.09789899193593343,0.21566728004457664,0.10783364002228832,0.1805275243920326,0.05927251404665342,0.15078468692696556,0.07427572415631727,0.14464131469975186,0.11495768186517892,0.14686660825893433,0.5284015238489715
5,0.13956644026980627,0.2161126044325227,0.15780771604018864,0.29011287522701185,0.100634628123272,0.13978705736472727,0.06021666682857428,0.22974514112759742,0.06373141467763115,0.12043341893296863,0.09670426557124343,0.15075834165506863,0.07658171370919913,0.15780771604018864,0.6095143095601703
6,0.15933247012018267,0.23401434969619314,0.09440337860887764,0.20430655519251198,0.13935166505316052,0.15933247012018267,0.06972966154869507,0.18880675721775525,0.06769308562253584,0.1394593748806707,0.08139972858865667,0.18236392239541388,0.1170071237778505,0.16279945717731334,0.542165773360082
7,0.12554285541225668,0.20039589693786544,0.08735264416682438,0.18359714475530278,0.15995606212101787,0.25108571082451336,0.11225284260049244,0.1506343984609267,0.06514141581888293,0.1747052883336487,0.07529617250802255,0.17272697835114528,0.08636348917557266,0.15494910053352817,0.5761890363938609
8,0.18250464414149534,0.18250464414149534,0.11825166487867825,0.20779018174976374,0.15526512906521805,0.23650337766470364,0.09947084338657548,0.2035985766737581,0.09125232207074767,0.15526512906521803,0.06717260297868884,0.13128573386094808,0.0437619112869827,0.12537323903572667,0.48464176438322726
9,0.1578896235478149,0.18469523665180518,0.11465514311885483,0.16922396566394596,0.15086794459616795,0.19924971135554362,0.061375209767314955,0.16292820110442094,0.08146410055221047,0.23751408066456606,0.06156505397975039,0.1527624246910088,0.0660449756946213,0.19976432861197474,0.6122758974865306
10,0.14503193599466263,0.25085993434637405,0.10967973229498588,0.22199549464670423,0.16034381230598957,0.16034384389813328,0.08361994679286781,0.19834705578690823,0.07975326004232665,0.14503193599466263,0.09880361029810417,0.17254293346473587,0.06396677183855899,0.10967973229498588,0.5176018608650085
11,0.12172330713773831,0.22935426363136474,0.1553163578342606,0.24934303124988771,0.14756976514073336,0.1833706093935859,0.08275717017022734,0.14807236014691008,0.08705748273126311,0.1554197087863247,0.09168530469679297,0.18748731673416102,0.05733856590784118,0.1035047564389091,0.5131040927622864
