Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.14638267875583186,0.16045787421829402,0.12291113040311849,0.2112240058546017,0.10561200292730089,0.20473871690337284,0.1463827039579854,0.24582226080623698,0.09828830333062154,0.15080426966030205,0.07784170312038176,0.12328392805125012,0.0598677180527169,0.1463827039579854,0.4854275189040863
2,0.1942092176568794,0.2043143262294765,0.09826821327526473,0.20618462625388917,0.09986917728021176,0.2523909165252696,0.09476223268196342,0.2214166450240437,0.08155943345280163,0.12273988421732632,0.061369920260617127,0.19031215933769915,0.0730718229513578,0.09953142485319953,0.5937799648818082
3,0.15133876845147823,0.31372478079925603,0.11023497452141935,0.22695738883745958,0.11241677536734204,0.20610839988079022,0.08639822210084969,0.12401510976309056,0.07115472802985415,0.1727965209496983,0.10105162326357432,0.15133876845147826,0.06200755488154528,0.11045638470216404,0.6107947067678738
4,0.14566190484149075,0.19865885294553523,0.13322886113433458,0.24178328804451207,0.09932942647276757,0.20573784254913957,0.10286892127456977,0.1815759537399202,0.05686087491485281,0.14148205048849846,0.06953199004101322,0.1520565935161781,0.12089164402225604,0.15033179601493168,0.5432527545974306
5,0.14498548635959346,0.23213107268447128,0.16315816479470754,0.2897911158611316,0.09637280790401716,0.14725329267076173,0.05134791678490252,0.2151502316330435,0.07116065757292028,0.10357646189867943,0.0965970386203772,0.15360089876161576,0.07171668965907085,0.16315816479470757,0.6093224766088219
6,0.1666377225212368,0.23731667341040322,0.0907887488421082,0.2040032544152651,0.14299757606767613,0.1666377225212368,0.06572314325148076,0.1815774976842164,0.0672647119217153,0.13144633959891686,0.08253212152756872,0.1804082945396209,0.11760195064341729,0.16506424305513745,0.5329080504495934
7,0.1308974604190455,0.19591919708501995,0.08531305810624604,0.1852060213897295,0.15523948322613984,0.261794920838091,0.11968859669895804,0.14769532033756524,0.0629532468004484,0.17062611621249205,0.07384764009487875,0.1688601181404575,0.08443005907022876,0.15752876158069934,0.5752609111681092
8,0.18496997233180412,0.19309586777113694,0.11809168754058441,0.2087060932557155,0.159569311159849,0.23618360346178172,0.09985158064458277,0.19786504242777017,0.09100423622448932,0.159569311159849,0.06533214205243758,0.1226705233446721,0.04089017444822403,0.12220045417710312,0.4805817911960574
9,0.17144149901612654,0.18991751848387134,0.11601010762580773,0.18428700073861254,0.1501845848825313,0.2032760240700289,0.058050262258118365,0.15337130843210753,0.07668562181546275,0.2356733041475913,0.06326494359997085,0.14133432934671247,0.06439865229040945,0.1921048432926488,0.5999286570231459
10,0.14538782443539328,0.24221894198257782,0.11030113699214063,0.21889436992101502,0.16784169790892214,0.16784169790892214,0.0796301108114367,0.19393530891429894,0.08191802867912686,0.14538782443539328,0.09503761988026993,0.17788403562832072,0.0634202655100419,0.11030113699214063,0.5129266315653371
