Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],Sum_of_Width
1,0.09703507022165933,0.1912378155700269,0.17556836856147898,0.25076453837190094,0.0773233954297985,0.1474140010356258,0.06125993797323696,0.18446250630145272,0.03753369177269698,0.14136158938473592,0.07798424048324815,0.20107309348610722,0.04025138066882354,0.1498561970411932,0.04841648535381904,0.11845768834419584,0.7692548590704771
2,0.08805020195449395,0.20339969569962296,0.0901368271988954,0.24849693839704057,0.10294896179037338,0.2205477816905195,0.08199646454103679,0.15507331789160475,0.0761423325868847,0.2155021435827111,0.060117018996676985,0.15771341986417214,0.026304469872268185,0.12069815829270326,0.021706067756400726,0.13116619988459566,0.9051953106059398
3,0.10450782561929461,0.19667169027776232,0.09706726022545777,0.1589780406789758,0.07255811724842913,0.23434163508989908,0.07934307978775985,0.2194698831286587,0.05305751996407959,0.15527285674453334,0.06323076954610123,0.16634842594246363,0.09988745941926157,0.1658987592319152,0.029079857482369426,0.10428681961303876,0.8025362214144938
4,0.12812718112333718,0.18691799787742394,0.10440986535417876,0.20264824680201599,0.07365664721284279,0.2097917901822049,0.07251987556060867,0.19709950968434742,0.07115106422064577,0.19607814356507644,0.03907545238340991,0.15102557018828905,0.04377242581519235,0.17685853585531902,0.02415427478396773,0.12271341939113999,0.8862664270916337
5,0.0773635084191989,0.21785862991073174,0.10207632090749688,0.19408623404973518,0.10257403061066893,0.193266734808387,0.06702249544789139,0.18172835288759728,0.05128726530533446,0.19475170037507344,0.07261954330357727,0.20189110470049607,0.0486219378485175,0.14736359474583016,0.026570922030044804,0.1209176246494189,0.9037279522545397
6,0.12794650753810258,0.20495553729033236,0.12776536041714545,0.21171301027532832,0.0730979148468944,0.22668190116396436,0.061378950531288834,0.14798320045961266,0.08340972144000572,0.17894730322507954,0.04916064661616403,0.16329701600427482,0.03146505794623138,0.16498840985245322,0.022358758463127126,0.12485070392999503,0.8468341644020809
7,0.10900006608842396,0.20218560354177215,0.11788743509885444,0.1994847954964306,0.057059788138536974,0.19761892399435466,0.05285671575887837,0.15815078443308614,0.04879865073720666,0.2084732801579657,0.08135046227239875,0.2131451157849237,0.035922841798564135,0.12031836067324883,0.032228118081518625,0.1655190579438363,0.9297918440512362
8,0.11391414345531546,0.18000164948261602,0.12411839151459386,0.2134558686242209,0.12171825970705039,0.1871228177025397,0.06145857647682457,0.17729236045356944,0.07412984010797422,0.18089725278481647,0.043717169650529464,0.16395402054320865,0.03514933657024631,0.1897646481462175,0.017832707018499556,0.11547295776177749,0.8159231509979323
9,0.12055962683038819,0.19378950977895545,0.14017272138107156,0.21955214744328824,0.07828008437627923,0.2016368687548155,0.07610603731738429,0.17566816945177163,0.0914606180877977,0.16050000464267736,0.04922875489449549,0.1492204456100037,0.03593127371934233,0.13275002312569048,0.04227647728699886,0.13286723729903993,0.7319688122124847
10,0.1363735311537781,0.19948920893302924,0.1462950615875914,0.20253071799171307,0.07353676851368578,0.17792588230058448,0.06301850045706586,0.20252169630300376,0.03947598592306321,0.16445940553802746,0.05124591966733814,0.13329762032145576,0.06443534150517238,0.1869287828906889,0.03511259762908452,0.12335297928471801,0.7810125871264414
