Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],Sum_of_Width
1,0.08830866867386766,0.22630553743077117,0.16671717795806595,0.24232918057213915,0.06457688527228386,0.1211645902860696,0.04483908181912619,0.23172167707315844,0.025579635099373412,0.2046366203624764,0.044818214009639895,0.2179964673114265,0.030292577621542638,0.13493499179981241,0.04415433433693385,0.1116243603733124,0.9814268504183327
2,0.07895916832294292,0.21200912406750516,0.0682649389486852,0.25719580247632595,0.07895916832294293,0.23159630125553807,0.07895916832294293,0.12016565189807334,0.06989367602350308,0.26308745019271446,0.05631019534830539,0.12409275712830056,0.021428447184707666,0.17227585197785492,8.864714467537996e-7,0.16680141205821075,1.0944487021090465
3,0.10095944882996023,0.22017694318648545,0.09120427614234576,0.12854901833921656,0.05683744417012915,0.24448617721524654,0.06425544093304549,0.23681222940910504,0.054009972012141826,0.21603961799897736,0.05047972441498013,0.15139934958079887,0.09959685191738853,0.12922027484948195,0.015216830043091248,0.14075640095760594,0.9348800230738354
4,0.1356615563872191,0.1977855509273261,0.10269221630502368,0.2050107020373259,0.06790973687314254,0.22622892176357662,0.06642816677850755,0.1938018620048257,0.054077463577789975,0.21246280755226898,0.008771684381596825,0.15867271485557485,0.0454978436577296,0.20076520474363013,0.0025574108276601613,0.12167615732680229,1.0328078424226612
5,0.060315746842123506,0.3618932144258576,0.08481002178618126,0.18402525750003831,0.07831613285983516,0.17817857053411365,0.0644697231916281,0.15459682325957674,0.0391580664299175,0.2191859131079673,0.05654001452412086,0.21742690699888922,0.03483386678222901,0.14167112100503843,0.01779696038292083,0.10678166036956255,1.1275189344020875
6,0.11055214480598174,0.21432833170650367,0.09261019965214028,0.25337907117317904,0.05527607240299101,0.22136373999121195,0.03842475051024565,0.13520771650270969,0.09271916606675101,0.1637099075539134,0.05527607240299086,0.16587747388668642,9.090136207315329e-7,0.2222406386211048,0.012002891727576452,0.1670309139823932,1.0862755868354046
7,0.10743007251371117,0.19350600992960137,0.11165364276656972,0.3112164745897718,0.05371503625685563,0.1839450725366331,0.04928371363758043,0.1469017759072132,0.05015539930792424,0.18922565520257048,0.08147158724352765,0.2241010024427971,0.025165522560620872,0.08514279313219485,0.01657528414425826,0.17051095782816986,1.0090994831379039
8,0.13021875163267416,0.15350033152880532,0.1302190830987079,0.20731500026098126,0.1188819113799623,0.1798634113256359,0.04504258286815252,0.1625363934159479,0.05944095568998115,0.18010768739838365,0.03104564837177,0.26043750326534837,0.025208558579053603,0.21346534005908782,0.008805328779187532,0.09391151234632068,0.9022743592010217
9,0.11200903463403587,0.2058554737874466,0.13348116376182742,0.24313008718159151,0.0647904203282405,0.20433571350554627,0.05289030578803862,0.22365155254207753,0.08880534342551442,0.15744880520014565,0.044493721253942436,0.1259859445061956,0.02382367460344067,0.10765714268740119,0.034031254822487395,0.17761036197206803,0.891350162764945
10,0.12745100177254853,0.21685188463780572,0.16268268120675528,0.190385665790662,0.06165929550440731,0.1741052952981701,0.04973129153267619,0.2983871362049123,0.03082964775220366,0.16723629646575977,0.04903169987127006,0.10930220807792798,0.04904143056310672,0.19634829118326952,0.021429004590800167,0.09552716954772471,0.8962878944124643
11,0.07512438188012356,0.1744636624960494,0.12451616312549092,0.28222206706970887,0.05867818214109059,0.23471155500541402,0.07125813086706652,0.23020800212181877,0.035629065433533266,0.20695047958771942,0.03336625190278736,0.18742935058925875,0.04202923527846083,0.09776434529365653,0.020507728664037772,0.12514139854378353,1.0777817214148184
12,0.1108008410539298,0.20053463486725587,0.15970039560338903,0.18971125957646467,0.0554004205269649,0.2233382106206348,0.05832877165934372,0.22069925489686407,0.05233023022980597,0.17831505817144497,0.05832877165934365,0.15112904850600892,9.933219643987542e-7,0.21293359463745873,0.043470922292260364,0.08497759237686624,0.9232773073059963
13,0.1308264884698889,0.25841859928968725,0.0005387683808020698,0.2108444309234793,0.11464709189126768,0.26497321797834555,0.06832465550575446,0.17887280543304288,0.027957709864287753,0.17887280543304285,0.07433651251075324,0.184688680084577,0.05531783154767238,0.12775828932611127,4.2341737211486044e-5,0.12357977162407592,1.0560172001847241
14,0.153228953301239,0.23758845639507942,0.05028561259131528,0.20206901549909217,0.019629787551683927,0.2020690154990922,0.07661447665061953,0.1275008176229383,0.05751089108161272,0.20759084490681015,0.056948178302799184,0.21148307760064652,0.07424783681630079,0.18468748318339473,0.022316025708004634,0.11622952728937115,0.9784364759928497
15,0.11483071794262574,0.16585704245956107,0.06802950106682341,0.24463483056698268,0.04817172881389662,0.20197100631463355,0.0481717288138966,0.1566273019190579,0.0340147505334118,0.2595677748406026,0.12978388742030134,0.16977281025841218,0.019741374338934067,0.1375120298742677,0.04738601427459731,0.15392750056199542,0.9797405935910263
16,0.13634135263016853,0.32113829665137356,0.06411059379151252,0.14681220520812985,0.07259296568932798,0.2936244104162597,0.04104558209136666,0.21640958811511518,0.03408533815754208,0.22365717827889203,0.02272355877169474,0.09546141082289684,0.06272012725018064,0.0923456912219149,0.024765943282914288,0.15216575762071047,1.083229076670585
17,0.15051659092236744,0.1791122723052699,0.09397736472507531,0.22454554246019326,0.08600033338804257,0.200042497618911,0.0007494921305890744,0.2152232109451297,0.042609367532903564,0.20849937821939918,0.044241592664672355,0.1621344520352895,0.025746060677438513,0.19826001978955785,0.017043747013161435,0.15129807757199934,1.0782309018914995
18,0.08410651392834516,0.2993638515586082,0.08410651392834517,0.18970097182089854,0.11112287234694267,0.20671160864603455,0.04735238169492938,0.14648361283297265,0.0717386143818073,0.1840661321143347,0.019623154031472172,0.14944843702510435,0.01167434200265845,0.17221940776828767,0.02508004751242419,0.19720153840683471,1.0903911203461507
19,0.10285954849364315,0.26148128115139435,0.08307784825494859,0.209376955447644,0.0908293594696967,0.26868599207101773,0.08854161485010244,0.1445744109895543,0.018855901958674495,0.16738321925436975,9.286349243959714e-7,0.1922128051665202,0.03343162385514854,0.16060248040861877,0.021687560176128565,0.15639846981761418,1.1214312286134667
20,0.12373291013015068,0.14371093683294517,0.06524264895714077,0.21273147921909755,0.06410633763196046,0.29916121370057575,0.06663140567729395,0.1708703542320879,0.032661483373542334,0.261291279082814,0.03205316881598021,0.13214835497093333,0.059019387718603294,0.1289296359647121,0.025963727388871215,0.18174567630329122,1.0611778606129143
21,0.13318474992779644,0.27516398366268063,0.10447596747390817,0.17023099448250162,0.06449285552338906,0.19845402040033028,0.05821333673526329,0.28118912164388393,0.04788363136461393,0.14018053957920984,0.04219968235613081,0.19583225365045054,0.025097942237959022,0.12409988638190149,0.03482532249130273,0.10447571208867812,0.979253023779273
