Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],Sum_of_Width
1,0.1103851832816592,0.20987462314494654,0.10310316504472469,0.19057637232441807,0.0625800328563615,0.18437403735072,0.08355082783056379,0.14290705303518017,0.08974762832865979,0.17955769484532147,0.07071998457315731,0.11970763565279952,0.08210625429920548,0.14435162656653847,0.09528818616220903,0.1311696947035349,0.6050374752469183
2,0.10660616483916249,0.15949575996090246,0.06523392270236805,0.20481477127061015,0.12176596702256855,0.18350687703929586,0.08962927587210624,0.2554622257773865,0.057542052915971614,0.1864744880302333,0.07472478913953887,0.1304678454047361,0.05522502856518245,0.13018740078187074,0.039873939990225614,0.13898949068784094,0.7787977179057523
3,0.10073878062832178,0.18977226804194666,0.15255951910940477,0.18071553752763733,0.07994248091830618,0.12547985160605582,0.1556694057748859,0.1611351392247349,0.07742241536422458,0.1668672840542016,0.07200012240447076,0.10073878062832178,0.06236499061192338,0.1616496514680272,0.058098941909088236,0.15484483072844915,0.4824066865587489
4,0.09159045012274604,0.20135521205268447,0.1015935230198193,0.1913521391556112,0.066418735279046,0.24175702701378748,0.08085170605107239,0.12629215819235803,0.0784278389158035,0.17692862772993045,0.06178573021468113,0.1845512269727641,0.05659123778989994,0.15055262645353049,0.08835823801644592,0.10159352301981929,0.7487650811809714
5,0.14314629677203838,0.2140881732034462,0.1070440866017231,0.19335309860572264,0.1325718392515263,0.17882428364155076,0.07981530409131046,0.16030393176657198,0.07777528310688389,0.1346376036026522,0.06951607460871631,0.13979236569043854,0.08837142268126952,0.15174781317661293,0.04438038562226623,0.08463203757727067,0.5147586145285318
6,0.0987606393306628,0.2304499401427978,0.09698808383777482,0.2620185987532443,0.07841715590399409,0.14286550135168136,0.06562963177383213,0.19752127866132563,0.07540882214635693,0.18774208828880085,0.07856717125403004,0.15081764429271385,0.06713902721031802,0.11893676603379584,0.04219575619826137,0.10654189482041031,0.7937874246895398
7,0.1893644368531455,0.24932949397145068,0.12425552418566235,0.197305919923675,0.10141953546972578,0.19345360891726948,0.08847674378576362,0.14722690988303036,0.07281997707110724,0.11558716161147325,0.060100348273185,0.1283067904093955,0.06415339520469775,0.11759896793341133,0.05779358080573663,0.09280760570127075,0.48323291670195256
8,0.09826510575593383,0.22907381968958318,0.08691497965654793,0.19842162927347817,0.0655540008494723,0.1544706027390669,0.06797042392733947,0.12382181812283104,0.14489389883437948,0.24437988032277458,0.05390989872627756,0.13110800169894463,0.09504463275553052,0.14489389883437948,0.07040647354695942,0.09087093526650167,0.6340811718951191
9,0.1011008019457299,0.22888479597740785,0.1093460706849604,0.20433158122620332,0.09067713550634851,0.15120139972662178,0.08286340460963633,0.2308142473015274,0.07560069986331089,0.1277940933409131,0.06993315054097266,0.1011008019457299,0.09803065878315992,0.16573975425414017,0.06355494869854156,0.099026455594796,0.6177862587346793
10,0.12022597442573026,0.23453152146310607,0.1199538098254063,0.16782362674114984,0.11668411925066405,0.2510626980530761,0.0982684545503927,0.12039511127821413,0.048847170486547735,0.1259391384268636,0.05445654034851785,0.12941686830335225,0.12039361127821406,0.13964265699703107,0.03970051986054522,0.11265817871118865,0.5629395999479636
11,0.10977288603597266,0.21142658837420128,0.2084167553483223,0.22978335411468234,0.11447310774112164,0.14227421264426515,0.09293184759888336,0.18705309062246528,0.08030468040751093,0.11767456803890122,0.06233220213316386,0.11024342495421964,0.05789629993295664,0.130298755875391,0.052186378579059264,0.09293184759888336,0.4433716844460186
12,0.11080545158320455,0.1780210890062911,0.14586170773263174,0.1976128693380187,0.12186367390424133,0.2216109031664091,0.07818007214008879,0.1445356366410343,0.05836949770485224,0.14586170773263174,0.06188202009376353,0.1253988210409731,0.057601499518946594,0.16511420926217651,0.057102045624844146,0.1301787955098925,0.6166680633948542
13,0.11947734310959812,0.19479563401579897,0.12800703490158505,0.1751653901052907,0.07997952324764346,0.23895468621919624,0.07191297505402665,0.17042461867395814,0.08277782936132194,0.1814931905145371,0.06741620043367161,0.14382595010805327,0.05150586819666629,0.0904829422115788,0.0757737789454884,0.12800703490158505,0.6462988934999968
14,0.09226852060423739,0.21387258479837085,0.06409775282647974,0.20276102283174613,0.09991811034244447,0.14479246590079692,0.10693629239918544,0.22691295032904857,0.10977466067188621,0.15708411498633965,0.07239623295039846,0.1006402749392652,0.06524188710669257,0.13752688297549576,0.09538432136749235,0.11039192497012011,0.5879644434623665
15,0.10524076095832921,0.15171647593174467,0.11933915456769237,0.1711346313027928,0.12471410022447386,0.23867830913538474,0.0869620641664149,0.13702384436693033,0.055331815121474705,0.11738493131800426,0.11549459487527525,0.1508710412129276,0.04678816473977644,0.17392412833282977,0.07329501470438743,0.1321009690415618,0.5456686612843518
