Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],Sum_of_Width
1,0.11805711678651784,0.1970161677082107,0.11552512716094746,0.20846019243310257,0.07624300719544765,0.17934280337445807,0.09046870068140787,0.1524860143908953,0.09256070353943045,0.1861575992465695,0.09266498627320838,0.16292082429669733,0.04865016696818399,0.12063392963022534,0.03607539327944842,0.12273726703524898,0.6595095962308157
2,0.0918875980926141,0.16156556488380786,0.18823883030428068,0.2345919763677073,0.12883954314641427,0.18823883030428068,0.07995672421161731,0.1964359098826386,0.07250412678915678,0.15991344842323463,0.07756821511578907,0.16693263490341267,0.038579775656591916,0.09759676432926921,0.035008809429132044,0.08214124816005305,0.5748327545088078
3,0.11901810399312454,0.24117270031000607,0.07505175044926804,0.26733836125529303,0.08254000468715364,0.17215335555662672,0.0755762833131423,0.16653008648437234,0.06278370830575258,0.14080267016706766,0.06177904812439085,0.18032732167312376,0.03551698045385224,0.14194630020359614,0.040195450051667664,0.13726787497156206,0.895077341243296
4,0.08336408201724134,0.15913385097286298,0.10920424784941767,0.20527666357325958,0.08867194894781177,0.16643333166531638,0.1538361952973326,0.18910767038471493,0.07956692548643149,0.1848789455946188,0.048651136652033036,0.14518693492621254,0.07259346746310628,0.169904465526998,0.03498588579322488,0.10920424784941767,0.6582522209868018
5,0.12844980405772546,0.20240354821878595,0.07221525379910756,0.17029934298702465,0.10120177410939299,0.27280686237362195,0.08514967149351232,0.1573649252926199,0.0640522473687401,0.1583346184202937,0.06489300308288436,0.15749386270614946,0.042195240882052704,0.15165615071936747,0.03641939846712157,0.13506429602159997,0.8108472134789259
6,0.1393264165678557,0.20670665914682804,0.08569511052763737,0.1679461817675574,0.14190153113619172,0.19907426155317318,0.09920476409491662,0.14190153113619172,0.11533510070550591,0.17139022105527474,0.06720008285471418,0.1255255982952375,0.05546548799828656,0.12126471875430513,0.022735792838469035,0.13932654156785568,0.5462714265528463
7,0.1126466162462946,0.229010069543072,0.09158597106310454,0.1718673486355757,0.06200464983515386,0.2252932324925892,0.1126466162462946,0.20065394601046246,0.07832788330618534,0.14320906881512568,0.07832775830618534,0.12482252250829655,0.07639878210161949,0.15665576661237068,0.04496379721456548,0.09158597106310454,0.6861958513611937
8,0.11833875226215163,0.2268551358830122,0.08112786367910532,0.1562467922386012,0.0769205539068957,0.25608061317965325,0.1134275679415061,0.17684473516725385,0.07563487138906598,0.196681972521967,0.046201568606708675,0.13683931341017735,0.07437378788721366,0.15126974277813196,0.020753591935138746,0.09240313721341735,0.7864428847844284
9,0.14227200242420496,0.18741704402702292,0.09496252687799389,0.19668508653798372,0.09283818081726104,0.20948800777880755,0.0945982883958052,0.18263604891344765,0.08519746606182538,0.16902754216592714,0.05932326596388477,0.17039493212365076,0.05719301298461817,0.11118977303388555,0.05217853349787649,0.0945982883958052,0.6428734459530605
10,0.14354216545746953,0.1957369055796235,0.09697727462670941,0.23517237110556488,0.120757111400213,0.16454144320548886,0.06037855570010651,0.17952797614489435,0.10839383525510068,0.16682758353158436,0.061245679058494595,0.10839383525510068,0.07839079036852162,0.1416044418251349,0.017752920085780083,0.120757111400213,0.6251233360952092
