Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Average
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.953320147134822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9941650183918528
12,0.9934844368074823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991855546009353
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.8716175583455675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.983952194793196
18,0.8874243605483765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.985928045068547
19,1.0,0.9406980355832525,1.0,1.0,1.0,1.0,1.0,1.0,0.9925872544479066
20,0.8346775288337922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.979334691104224
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,0.9992548249500809,0.9444425214637033,1.0,1.0,1.0,1.0,1.0,1.0,0.992962168301723
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0.7437854332126186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9679731791515773
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,0.9815117988441133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9976889748555142
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,0.9708153337900916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9963519167237614
35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,0.8838961649980502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9854870206247563
39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,0.9093940312051422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9886742539006428
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,0.9153367079519762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989417088493997
45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,0.9370720825709267,0.996042800741524,1.0,1.0,1.0,1.0,1.0,1.0,0.9916393604140563
49,0.8960494178532274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9870061772316534
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,0.6825743904543984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9603217988067998
54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,0.7315701027880107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9664462628485013
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,0.9992699257276106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999087407159513
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,0.8227096885704009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9778387110713
62,0.9778581914118193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972322739264774
63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,0.4184638470947339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9273079808868417
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,0.8807123518021674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9850890439752709
68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,0.9385597629672086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923199703709011
71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,0.9084428624597473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9885553578074684
73,0.9220796940558698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9902599617569837
74,0.7694862803961605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97118578504952
75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,1.0,1.0,0.8268062088340007,1.0,1.0,1.0,1.0,1.0,0.97835077610425
77,0.8373484819050326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9796685602381291
78,0.9779618675719169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972452334464896
79,1.0,0.9470258662746786,1.0,1.0,1.0,1.0,1.0,1.0,0.9933782332843348
80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,0.976612219814115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9970765274767643
82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,0.8095532043883221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761941505485403
86,1.0,0.8160223907733244,1.0,1.0,1.0,1.0,1.0,1.0,0.9770027988466655
87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,0.9412105438091914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9926513179761489
91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,0.9543329004673377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9942916125584171
93,0.977239463955568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997154932994446
94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9916847114083106,0.9989605889260388
96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,0.9419289778036801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9927411222254601
98,0.8925850700852288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9865731337606536
99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
