Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],Sum_of_Width
1,0.03814518430047796,0.24515248256131628,0.038528458303905166,0.22057132814954744,0.02601681323850924,0.21945429573175376,0.032557935614679144,0.24658192403908025,0.03252166006446092,0.21388694140212955,0.029981127841872297,0.2341303795710658,0.01866983532227182,0.20436338782644403,0.0028907868715367688,0.19654745916094998,1.561376396884574
2,0.035775822190963306,0.2221294939022914,0.06646939789200924,0.2581541188914732,0.05159925309738906,0.2566693671665375,0.025799626548694537,0.2056088467603452,0.027825699442248365,0.1823337701322731,0.027453915988403316,0.2187251886950996,0.013912849721124209,0.20012675573744657,0.012397276214073888,0.19501861761962747,1.4775323178101882
3,0.03590908015312012,0.25310743655086343,0.02063087308026807,0.21624124916138596,0.024252711313579995,0.2415711179065239,0.022711573217583013,0.22719682432701266,0.017954540076560062,0.23341917190404154,0.017930462131081317,0.2280700221973005,0.004715913220479758,0.2264536348468021,0.009426883357225467,0.2204085065561721,1.6929359269002047
4,0.020988463506568834,0.23252325852624922,0.03458197373765833,0.23227225357558326,0.03220250790444357,0.22655175205079936,0.048555937966272986,0.2562174716708926,0.024277968983136493,0.2288320054398818,0.016994803219800965,0.21720230396855672,0.021381649337442923,0.21067360944234426,0.009562362105602983,0.18718167856476559,1.582908666478146
5,0.03787849444657421,0.25464790738293047,0.022403947831042544,0.22459361223853097,0.026537565121350273,0.23062876379488004,0.021245909019150456,0.23696310807436746,0.016802155181406188,0.22855574868226256,0.02094556669417099,0.22821771647467243,4.200829848158635e-7,0.22913408294193216,0.00946962361164358,0.21197537842210068,1.6894326360233538
6,0.04377586834833106,0.2322654746746632,0.02879793652615968,0.21064491176982125,0.05213169990619552,0.2478965050075831,0.039675560837238645,0.21470409977762842,0.042297554057044905,0.23245453034988903,0.021887934174165527,0.2192197426233626,0.019137702606568302,0.188909567377305,0.005991749930557427,0.2002091620334863,1.492607987227478
7,0.03093268634783331,0.24633421520732515,0.02848042333254257,0.22090104536458907,0.02785707440616579,0.17929395487450303,0.03093268634783331,0.24179046483016847,0.023133244972384517,0.24367257494210154,0.023133244972384524,0.24192423667680493,0.013647207366228225,0.21522956689047051,0.010570350378359806,0.22216702309030537,1.6226261637525363
8,0.03709732068799294,0.24868136967356202,0.018894929992610658,0.21915380431605389,0.022264505340849707,0.21611270204421792,0.0322031408783081,0.24372542746530332,0.019024324352773857,0.22611913156598604,0.009447464996305294,0.22832345990330166,0.02473154712532864,0.23521466535084254,0.0025921511216453353,0.2164140551849184,1.6674892310083715
9,0.05404752192229866,0.24854965605345442,0.031263900371041785,0.2098751638554787,0.029299630148404237,0.2151284689710956,0.031230875777565333,0.22901821749976384,0.02702376096114932,0.22436439503409625,0.019845772275237858,0.2092826931682051,0.019517924650299112,0.22718853198262515,0.019517611747306176,0.20484587558197848,1.536506004293395
10,0.058249004533004155,0.24817224011800212,0.034531995191688945,0.2116069593602445,0.03424669619725114,0.24451057442869376,0.017123348098625587,0.21455588284002922,0.03447147811697945,0.23390378299609313,0.01769533581238304,0.2119280242486837,0.024004561039815575,0.2176385603786904,0.0014518454660706122,0.19590971117374445,1.556451471088363
11,0.02750671943035596,0.21473691892320618,0.027506719430355975,0.22381823166566042,0.040364942307206636,0.2219506599857567,0.05463458163961248,0.26049530227080026,0.03236448524729004,0.225974968860136,0.02919638695941671,0.2139503122554145,0.027317290819806234,0.22262234374035636,8.234614182224815e-5,0.17747779032280322,1.5220530560482675
12,0.035277136112770655,0.21329034962325946,0.05768369470417756,0.24603773995043338,0.029667491961140553,0.2030187405686765,0.044277451027056915,0.2538997916741813,0.03259479030816249,0.22929043029465226,0.0195313090965935,0.20860844307256,0.012704831991939183,0.20501513129466215,0.0004595257261148392,0.20864314259361955,1.535607538144089
13,0.04181916641106887,0.2540237173420713,0.021129787128920434,0.21561958533153056,0.04182003679386074,0.2507409194845492,0.013907520767442587,0.21721060734314407,0.020910018396930338,0.24543367161031798,0.015655331215709094,0.23456743908101457,0.015834131837654062,0.1888868513308978,0.006642014636818546,0.21579920128806981,1.6445639856231908
14,0.039729141854416006,0.22436285557210003,0.027144322770213378,0.21660650534350112,0.03413425165079091,0.21083253356496065,0.04435077764439034,0.2629376988539916,0.027144322770213468,0.23453375358590323,0.026395738456293193,0.21436320688075092,0.01995248167623302,0.20625370148320177,4.634791125618424e-7,0.21125824441392757,1.562296999396674
15,0.07768665755333028,0.2785334252711807,0.033415532305178776,0.2247461735970575,0.035902427123544994,0.2222987234123874,0.018130228127695148,0.22415018182581808,0.03739184424220617,0.23480030834261686,0.017951213561772497,0.19782470636404897,0.014416128236506636,0.1971736111774157,0.0058249616035957776,0.17975387725564448,1.5185620144923395
16,0.048029214701947515,0.2624893715321871,0.028820408346447446,0.22931384175563324,0.03551104373802909,0.2339602018348703,0.0216779483132223,0.22247713598090962,0.007858305354460662,0.20398927451346227,0.022467701660357494,0.2387893703747842,0.016666896618251374,0.23143850337655755,0.009605842940389507,0.18690493895849056,1.6187252766537896
17,0.028335705458678775,0.21045875967590144,0.08142032683201524,0.3068654415934043,0.0238096280024859,0.2062471893049568,0.04071016341600762,0.24862096133778352,0.020355081708003823,0.23012201797909615,0.003955751367758776,0.18010695388751236,0.009959041303506382,0.2024600423079385,0.01074769798174337,0.19582523784320727,1.5614132078596006
18,0.04831965810983828,0.20853775066871702,0.04342196723462419,0.24157918701511932,0.03825444442467562,0.24127954324537468,0.038254444424675606,0.20257371250970976,0.025826862899473894,0.1995611046979972,0.01706112292269115,0.2077936175054186,0.034122245845382294,0.23358194730342327,0.013054179326788888,0.2067782118660904,1.4833701496237006
19,0.04104132265548821,0.22535281196799464,0.031096514678935087,0.19906678268752995,0.04783174448543107,0.24244460178491356,0.04104132265548824,0.25023149598035915,0.03942323032690146,0.25647782450812645,0.012953423724457081,0.20995394760746777,0.006972509344283288,0.18573367265534577,0.013147516887380846,0.19723127804989754,1.5329848304832696
20,0.02857970077147253,0.20255793897032234,0.036092897312088174,0.24905159534165514,0.02625531954258734,0.20750991136800628,0.03622380337784422,0.24975841436017784,0.03034800889788282,0.24309812876137318,0.0180464486560441,0.20002918382199555,0.012236895046508678,0.21606435496756163,0.01638497601459962,0.22776242278988057,1.591663900761945
21,0.04126974318728743,0.2446396488393464,0.0423042058743214,0.2245342641232775,0.03219712330942864,0.22130064250583742,0.014948855687751958,0.21240038689810645,0.042673588522481175,0.23760535354442497,0.031659122080702005,0.24444225176848564,0.01704204561960196,0.19726958942764852,0.0062078481388372405,0.1895053304724616,1.5433949351591767
22,0.03570047913885586,0.22506880580445496,0.030617947830575674,0.219471008817975,0.01785023956942793,0.22443570384838463,0.0329272503301203,0.24278963433549988,0.039950814495133775,0.26079442561384325,0.02663387633008916,0.2363525291335168,0.013626392363900992,0.22402136246700605,4.564689093528502e-7,0.16975907345230612,1.6053850869459736
23,0.029037521838415174,0.23652060037526954,0.054881970516036875,0.21646704713812898,0.05115180926152818,0.22271722536331107,0.033271112737752774,0.21137796639473294,0.03114020307402179,0.1996549112388478,0.03327111273775273,0.22556336326968277,0.017628392953500393,0.1921489075484002,0.02636445121286801,0.21880340433975118,1.446506851336249
24,0.036066976758570374,0.23812644753368847,0.05175465954935153,0.25333846547680844,0.029674320098878038,0.2118588262661903,0.026658770730267553,0.17822976855472597,0.03787549610661631,0.2376666042639824,0.021557207044347763,0.21799193275287798,0.01953314838995538,0.22263883627308703,0.001085234633889729,0.21594330556676297,1.5515883733762472
