Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],Sum_of_Width
1,0.1407132320475984,0.20176783044859992,0.19704382465733455,0.24197965811967379,0.08579364058687597,0.15922945771268054,0.045645397827490615,0.21398479452530597,0.053261822659502175,0.14279733395835986,0.07011256030046745,0.17443892350624543,0.03980736442817014,0.08279632141972743,0.04123221628187463,0.10939562152009297,0.652779882421372
2,0.12597143437190145,0.1415686962939286,0.12597143437190148,0.1739660199510902,0.0707843481469643,0.20389588610761833,0.08432366492964498,0.1635537908974966,0.08698300997554509,0.21118889221444115,0.05048854447333558,0.14650453150560486,0.0817768954487483,0.15751523121103422,0.04620019535966255,0.12930742474108226,0.6550009458445925
3,0.10419626120433186,0.20829947637493462,0.07823084816651249,0.20961989476478318,0.15622298145914476,0.23137121731429314,0.09759775609036657,0.1395368850509549,0.058859543115557245,0.1625345760528482,0.06498194018431304,0.0731536721711414,0.0577266208567244,0.1579178584470818,0.057842804328573284,0.14190766441843905,0.6486824891889527
4,0.13957645968459226,0.2307457341269919,0.15716013907867243,0.24128354992139656,0.11714391628054563,0.13957650214481152,0.07592164216720301,0.17010247450852828,0.07655033563121802,0.15445037210490684,0.031226983511742787,0.15716013907867243,0.06482931685023553,0.11194654749134307,0.06191686392552606,0.07040902349361369,0.5513486857405285
5,0.13167527836010295,0.19337178123092355,0.12264846484752137,0.2873619975189098,0.04405097524676556,0.14307497456406112,0.05652074197401496,0.13167527836010295,0.06045637819130962,0.0881019504935311,0.14368098069263535,0.18656402072758693,0.061735851234403026,0.12264846484752137,0.07153748728203056,0.15489537442857998,0.6153876843424334
6,0.17264304694849686,0.26093250473515844,0.09563436404120004,0.15174043708595364,0.08380312509201074,0.11611977772538043,0.0711080688211267,0.2190530631320866,0.04632159965938004,0.21332420646338013,0.049134623652390616,0.17264304694849683,0.06498939818567061,0.14888334272183262,0.057534092390836095,0.07613530239659952,0.7176633624177765
7,0.19512165468957768,0.23588921954626962,0.07079788606227659,0.16734409475806106,0.08367204737903053,0.13568577752163077,0.045228541503707864,0.14159577212455315,0.07862973984875654,0.15695359413695908,0.1255776767969829,0.19599370742044048,0.052317864712319674,0.14712106485039383,0.06457307196040471,0.10349828668863569,0.5681630340938872
8,0.18555446601991823,0.23189432192238965,0.11187438802090138,0.14371026068148293,0.1143610235685279,0.23899116701928652,0.07223342191765826,0.14024141337424667,0.10946879958133335,0.21670040852019,0.02519961100078933,0.09277723300995912,0.0574978901004463,0.10327965789012139,0.04674713779141557,0.10946879958133329,0.5541265239980193
9,0.12723332087701314,0.17692027455868803,0.12808383874856982,0.3085570805417001,0.08787181799551728,0.22154822292201093,0.06970598104743382,0.15923067509102223,0.09654940627568437,0.14358686253875919,0.07217234389656535,0.10962668247736229,0.0548133013630015,0.09384160221401082,0.02217475070409131,0.12808383874856982,0.6827904781842469
10,0.1400736573656371,0.14043128489716644,0.13244502558885954,0.20947962933159908,0.1032401070428099,0.1575313810302547,0.09095884445766474,0.22577532515338777,0.05236983736351005,0.12695969422822867,0.05601765835972605,0.1401330865433971,0.05251044346559794,0.18191768891532947,0.03975525037093424,0.15040108588589723,0.665258351970521
