Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],Sum_of_Width
1,0.11484820604361756,0.21574661656837588,0.16625285194862516,0.26693138158615903,0.06463897065998464,0.1847716616235994,0.009052223398388758,0.23337153562516974,0.033539511244375084,0.1573305517481189,0.05665785698722942,0.209529971170733,0.030514918702207697,0.08357558740903782,0.032332711127458454,0.14090544415691963,0.9843254997762265
2,0.1041102162709264,0.14577267881532013,0.1041102162709264,0.21685329526809127,0.052055108135463185,0.24381569315956508,0.05916794591952045,0.1916170727162057,0.059167945919520466,0.20862393485941128,0.033724601248451724,0.19411860900346908,0.060293745540642193,0.1677889966909593,0.03227523678678026,0.12650470339474726,0.990189967815538
3,0.08853851768740718,0.22206753762253603,0.05378206401833197,0.2519188611503609,0.10756412803666394,0.2744344839796271,0.08326884371069429,0.16024281680253893,0.029612041924806373,0.1968753899195669,0.052705907882428585,0.08431999763228178,2.780648589295794e-6,0.1968753899195669,0.04654764626078722,0.15124359280381253,1.0759561396605821
4,0.11282275196553189,0.2619913117911178,0.11447805376618435,0.2619913117911178,0.10061408932285955,0.1476425431867675,0.06003948200583279,0.18937900801839966,0.06003948200583284,0.19370261171801398,0.01421681550770903,0.2012281786457191,0.03254283950446195,0.12237015981890856,0.05312017094746227,0.07382119000408087,0.9042526299482507
5,0.09747383665096351,0.19060760180183686,0.08506202566257118,0.2965353304589565,0.025151837452893403,0.19530556713474245,0.03688786313142165,0.15003111707817787,0.048736918325481784,0.15885755532518359,0.11488151519109573,0.1868629767826677,0.05030367490578683,0.16557845327059625,0.047692609749446946,0.15003111707817787,0.9876194378606781
6,0.11622329828927792,0.2724801125234458,0.06292020295685145,0.15921173314229675,0.06292020295685147,0.12547736311962845,0.041946801971234335,0.22593363551257584,0.02843572307850562,0.34866989486783406,0.024996314511241013,0.19266777935508786,0.04602027039319547,0.17319390820680186,0.04208252296669137,0.07682023614848106,1.148909325752303
7,0.14073356599257167,0.23730232832311732,0.04913790511985732,0.18275028006411487,0.06332485479261017,0.19577669369024073,0.02810342185318423,0.18288979927652574,0.06091676002137161,0.2568121964362501,0.08850522464469764,0.19374420655321786,0.030717918953897094,0.14505844500309586,0.04691118866419056,0.09731521061105736,0.9832983199152395
8,0.11191999986703065,0.24842953598895048,0.09550876604048454,0.15833986018892038,0.09926445522562667,0.3166797203778407,0.05633361165580449,0.1574247497617562,0.07889560547077998,0.2298359853800876,0.008014354853320143,0.1051968311243113,0.0386611985089703,0.11558209492706933,0.038938244852112856,0.1409749857769345,0.944927527051741
9,0.10225527894726646,0.1903877589229372,0.10225527894726645,0.33418929880458365,0.07282641466701135,0.24623576450962303,0.05985333665842515,0.18231355483643474,0.08291447346153873,0.14932145917040682,0.062041207109402086,0.1319857061571941,0.04145693716942778,0.10031165692474955,0.009629486382960838,0.13202238733077198,0.9335351733134022
10,0.11847452334947411,0.1350478066274591,0.10530634765859898,0.21990804290177648,0.06040916532939135,0.19385112126975396,0.06371547666529316,0.23320395027091592,0.03666298325566502,0.18207332691705277,0.039260513317558865,0.15173197427892027,0.039491507783158034,0.24860064406358603,0.01869618217597848,0.15356643413541748,1.0359666009297641
