Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],Sum_of_Width
1,0.11840777846301183,0.23323524566232523,0.146031655902579,0.2181835236469275,0.0701186948042781,0.14999470108995347,0.036780270240592675,0.2717985933804996,0.026170368131029645,0.18019472816750517,0.048622058202796886,0.20565898029889296,0.02456781022733239,0.13598944263583004,0.024022929975866365,0.11022321917057928,1.0105568681050265
2,0.0821408888484598,0.18031876830947552,0.08679910737848051,0.1789756250902652,0.05831256423797764,0.21803753030125717,0.05920854765555354,0.17505234014738014,0.06386701618557426,0.24714092060146564,0.030952465337415414,0.15708102510920277,0.062083972274636065,0.18984952611353093,0.03282044355229375,0.1773592588570317,1.0476299890592182
3,0.08537672558122304,0.21755517628326027,0.053408490839143896,0.2484707972000421,0.09452154950615663,0.2505748704257798,0.06330067656513956,0.1563677620437303,0.03228376475911951,0.21452221543197814,0.037186379339430496,0.1482506151987988,0.027546219195536938,0.159567301356324,0.05371497756523613,0.1573524787091004,1.1053224332980278
4,0.10933662638159089,0.1706894974021264,0.12261225413289564,0.24935438012529446,0.10467696483537452,0.18977241567911207,0.04567879320455496,0.22400656490427112,0.04567873070455494,0.19359940271184942,0.011746595475677682,0.1848665149391515,0.05532713480060746,0.11816932806271707,0.055326988967274116,0.11915780767294779,0.8992318229949396
5,0.11787543580221872,0.219772240328916,0.09430608539447317,0.28531918359184205,0.02812538033557124,0.1610472668896865,0.045699528014385794,0.16785905936026602,0.04594000367195107,0.11166295668640425,0.13039509866473997,0.20815282675205385,0.016625167846836708,0.12628191495654884,0.05060915736719929,0.19032869433690658,0.9408482858052483
6,0.12615089377110467,0.2623091932402064,0.08640535688441332,0.18019379205144603,0.05963880831536832,0.16403916650335507,0.06332990986750026,0.27747597593977,0.026267562724909682,0.200193824840596,0.02335473661761071,0.18382204230168797,0.04000745425122333,0.12908953673214235,0.04563526033054433,0.1320864856281215,1.0584200344746508
7,0.15468764775026342,0.22925083400188068,0.05665333745699229,0.19601597814591776,0.06831273183687947,0.1478812284782383,0.028982453770960002,0.16044199946896187,0.05818773633396026,0.15264471328098114,0.0985620776980283,0.22135971382487293,0.040536214602591776,0.17606159354042944,0.058928765121367924,0.15149297468767442,0.8702980708579132
8,0.13828878669809305,0.2887949647023198,0.07661583371730875,0.20885824080790144,0.10435581658070354,0.19229370314890318,0.04533344776114243,0.1682018949247997,0.08617651803770207,0.2014981317377982,0.009247954117176682,0.12576758076922515,0.03830779185865438,0.14144921681581385,0.03374524707521118,0.1410648712472466,0.9358572083080159
9,0.08433535944849142,0.1866181633062671,0.09054622379067097,0.3382582141618369,0.05368042269174599,0.22143045662691,0.04023883122626132,0.20721179844870052,0.07066768439226767,0.1666305474847087,0.04833588350670341,0.16932785855716534,0.042652376438369326,0.1300336608439659,0.0043626015211481,0.1456699175547873,1.1303612339686837
10,0.11369464367433425,0.1926547721970615,0.11766303429933427,0.1910601161321109,0.06261086003608703,0.19494334676560016,0.07647721421761947,0.2110230491537763,0.027829889337870076,0.1476275504697319,0.0353051100867917,0.20058991690661201,0.03332413333957357,0.17734389862494082,0.02826339872218585,0.1895890660363702,1.0096634325724074
11,0.078146495167886,0.2651368055197302,0.06723687099328719,0.17287126142776832,0.04243338860850201,0.1503731110345761,0.054715818153795205,0.20519408924178428,0.039263276275994775,0.19716622553056798,0.05958375764342286,0.2647430925744516,0.06710904008924568,0.19770773537659314,0.008089738583397493,0.13022929377899706,1.1668432289689374
12,0.08228220388389974,0.23028706943934762,0.09557914662120072,0.23265223480350683,0.05422579788640826,0.22044585625489146,0.0532472395115014,0.17545665081321885,0.03740136445631703,0.22441581383107023,0.013406253125407247,0.17268071077884303,0.03960011928219391,0.15800040365569934,0.057093726953184605,0.1532254087033097,1.134328296559774
13,0.11892365487376873,0.21276957247266842,0.07382615258645661,0.194851037792419,0.04960368804549774,0.20977920284972895,0.04304576412808524,0.16884974267254457,0.04254597816568762,0.15445765935685335,0.04679604972024677,0.2744743348773049,0.03742128547956583,0.1773143469596657,0.035360082728019,0.15998144729148747,1.1049546885453447
14,0.12835283248882964,0.20480719494914099,0.07009138917735402,0.22592575774882073,0.03290387349694571,0.2623734212498083,0.04951546368341392,0.14059499059853442,0.028739259662398597,0.2400787465149281,0.050012833312535296,0.13591294891789335,0.04558682840735163,0.23041689594540782,0.029992590512406346,0.1246949733342312,1.1296098585175298
15,0.04678375356835648,0.27295935478868344,0.10267012468860007,0.23012946871265094,0.04606198126450974,0.20111091280514723,0.04431970941112081,0.14678456449581428,0.07028113964445455,0.2508827682432177,0.039748933820065786,0.16174110316458967,0.03562978665696622,0.1446734369616094,0.06477690188933433,0.14144605988487935,1.0994553381131842
16,0.0829081175070189,0.2279415702896082,0.04590629093126316,0.24903781716808354,0.09145592194751329,0.2052344595100095,0.07683106002118248,0.20122799369687497,0.09126241229048149,0.19595800056041104,0.024797536339520733,0.14457926658455497,0.043222371214063526,0.14561167372481007,0.031579993825801345,0.14244551438880285,1.0240725918463103
17,0.1343669677331687,0.2007742765566981,0.05548707756225368,0.23935516542368634,0.044277174510719594,0.2472931564668489,0.03179798713908997,0.18273104715720012,0.0455343348134761,0.24628054529221682,0.05273893470253126,0.15397724379857025,0.061945843908016225,0.14887513095704133,0.026115278917878623,0.12844983506060398,1.095472801425732
18,0.13013306290028173,0.2349139855122071,0.07582505978423097,0.18245787278400263,0.029903706542930113,0.1846000392644989,0.05595768639327988,0.17280288368808824,0.07570700095472109,0.16349428299494762,0.1153899673771621,0.21391867709808426,0.03767497419657093,0.11994383463319681,0.05831744965210295,0.14895951622369477,0.8421821843974405
19,0.12072048279243315,0.2297702124896998,0.06223666489698289,0.28030731684574817,0.08536591931730847,0.18161201943398098,0.05031348473749833,0.1500200951790653,0.04200085633508002,0.19175248490970967,0.03396988981569223,0.11819384985955073,0.04149102659798862,0.17659021412873283,0.0688619377615029,0.16679354489902581,0.9900794754910267
